Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Raheem Sterling,MCI,F,1,ColmL,MCI 5<br/>@WHU 0 F,34.25,34.25,100%,0%
Erik Pieters,BUR,D,2,Seanmacd,SOU 0<br/>@BUR 3 F,30.95,30.95,10%,0%
Riyad Mahrez,MCI,"M,F",3,ColmOF,MCI 5<br/>@WHU 0 F,30.25,30.25,99%,0%
Ashley Barnes,BUR,F,4,Seanmacd,SOU 0<br/>@BUR 3 F,29,29,79%,0%
David de Gea,MUN,G,5,Seanmacd,CHE 0<br/>@MUN 4 F,25,25,99%,0%
Paul Pogba,MUN,M,6,ColmL,CHE 0<br/>@MUN 4 F,24.6,24.6,100%,0%
Harry Kane,TOT,F,7,MKFC,AVL 1</br>@TOT 3 F,24,24,100%,0%
Kevin De Bruyne,MCI,M,8,Eoghanoc,MCI 5<br/>@WHU 0 F,23.75,23.75,100%,0%
Mohamed Salah,LIV,F,9,Damo,NOR 1<br/>@LIV 4 F,23.5,23.5,100%,0%
Divock Origi,LIV,F,10,W (Thu),NOR 1<br/>@LIV 4 F,22.25,22.25,64%,0%
Lewis Dunk,BHA,D,11,Seanmacd,WAT 0</br>@BHA 3 F,22.25,22.25,60%,0%
Aaron Wan-Bissaka,MUN,D,12,MKFC,CHE 0<br/>@MUN 4 F,22.05,22.05,100%,0%
Johann Gudmundsson,BUR,M,13,MKFC,SOU 0<br/>@BUR 3 F,21.85,21.85,76%,0%
Marcus Rashford,MUN,F,14,ColmL,CHE 0<br/>@MUN 4 F,21.35,21.35,100%,0%
Nick Pope,BUR,G,15,FA,SOU 0<br/>@BUR 3 F,21.25,21.25,40%,0%
Virgil van Dijk,LIV,D,16,Seanmacd,NOR 1<br/>@LIV 4 F,20.85,20.85,100%,0%
Ricardo Pereira,LEI,D,17,mcavinur,WOL 0</br>@LEI 0 F,20.5,20.5,100%,0%
Kyle Walker,MCI,D,18,MKFC,MCI 5<br/>@WHU 0 F,20.1,20.1,100%,0%
Ainsley Maitland-Niles,ARS,M,19,FA,ARS 1</br>@NEW 0 F,20.05,20.05,25%,0%
Willy Boly,WOL,D,20,Eoghanoc,WOL 0</br>@LEI 0 F,19.6,19.6,99%,0%
Shane Duffy,BHA,D,21,Seanmacd,WAT 0</br>@BHA 3 F,19.5,19.5,95%,0%
Ben Mee,BUR,D,22,FA,SOU 0<br/>@BUR 3 F,19.3,19.3,43%,0%
John McGinn,AVL,M,23,FA,AVL 1</br>@TOT 3 F,19.25,19.25,58%,0%
Harry Maguire,MUN,D,24,ColmOF,CHE 0<br/>@MUN 4 F,18.9,18.9,100%,0%
Seamus Coleman,EVE,D,25,ColmL,EVE 0<br/>@CRY 0 F,18.65,18.65,98%,0%
Pedro,CHE,F,26,ZKL,CHE 0<br/>@MUN 4 F,18.5,18.5,95%,0%
Michael Keane,EVE,D,27,Eoghanoc,EVE 0<br/>@CRY 0 F,18.2,18.2,99%,0%
Jonny Evans,LEI,D,28,mcavinur,WOL 0</br>@LEI 0 F,18,18,28%,0%
Aymeric Laporte,MCI,D,29,Damo,MCI 5<br/>@WHU 0 F,17.95,17.95,100%,0%
Yerry Mina,EVE,D,30,Damo,EVE 0<br/>@CRY 0 F,17.65,17.65,34%,0%
Chris Mepham,BOU,D,31,FA,SHU 1</br>@BOU 1 F,17.65,17.65,4%,0%
Luke Shaw,MUN,D,32,ColmL,CHE 0<br/>@MUN 4 F,17.6,17.6,98%,0%
Matthew Lowton,BUR,D,33,FA,SOU 0<br/>@BUR 3 F,17.6,17.6,3%,0%
Trent Alexander-Arnold,LIV,D,34,ColmOF,NOR 1<br/>@LIV 4 F,17.55,17.55,100%,0%
Roberto Firmino,LIV,"M,F",35,Eoghanoc,NOR 1<br/>@LIV 4 F,17.5,17.5,100%,0%
Mat Ryan,BHA,G,36,FA,WAT 0</br>@BHA 3 F,17.5,17.5,17%,0%
Anthony Martial,MUN,F,37,Seanmacd,CHE 0<br/>@MUN 4 F,17.25,17.25,100%,0%
Ederson,MCI,G,38,ColmL,MCI 5<br/>@WHU 0 F,17,17,100%,0%
Ryan Bennett,WOL,D,39,ZKL,WOL 0</br>@LEI 0 F,17,17,33%,0%
James Tarkowski,BUR,D,40,Eoghanoc,SOU 0<br/>@BUR 3 F,16.65,16.65,92%,0%
Teemu Pukki,NOR,F,41,ColmOF,NOR 1<br/>@LIV 4 F,16.6,16.6,88%,0%
Wilfred Ndidi,LEI,M,42,ZKL,WOL 0</br>@LEI 0 F,16.55,16.55,93%,0%
Vicente Guaita,CRY,G,43,FA,EVE 0<br/>@CRY 0 F,16.25,16.25,25%,0%
Davy Propper,BHA,M,44,FA,WAT 0</br>@BHA 3 F,16.2,16.2,7%,0%
John Stones,MCI,D,45,Damo,MCI 5<br/>@WHU 0 F,16.15,16.15,89%,0%
James McArthur,CRY,M,46,FA,EVE 0<br/>@CRY 0 F,16.1,16.1,57%,0%
Caglar Soyuncu,LEI,D,47,FA,WOL 0</br>@LEI 0 F,16.05,16.05,6%,0%
Bernd Leno,ARS,G,48,Damo,ARS 1</br>@NEW 0 F,15.75,15.75,83%,0%
Isaac Hayden,NEW,M,49,FA,ARS 1</br>@NEW 0 F,15.7,15.7,13%,0%
Joel Ward,CRY,D,50,FA,EVE 0<br/>@CRY 0 F,15.6,15.6,2%,0%
Tyrone Mings,AVL,D,51,FA,AVL 1</br>@TOT 3 F,15.55,15.55,24%,0%
Tanguy Ndombele,TOT,M,52,Damo,AVL 1</br>@TOT 3 F,15.5,15.5,97%,0%
Nacho Monreal,ARS,D,53,FA,ARS 1</br>@NEW 0 F,15.4,15.4,37%,0%
Fabinho,LIV,M,54,mcavinur,NOR 1<br/>@LIV 4 F,15.25,15.25,64%,0%
Philip Billing,BOU,M,55,ZKL,SHU 1</br>@BOU 1 F,15.25,15.25,39%,0%
Martin Montoya,BHA,D,56,FA,WAT 0</br>@BHA 3 F,15.1,15.1,4%,0%
Dan Burn,BHA,D,57,FA,WAT 0</br>@BHA 3 F,15.1,15.1,1%,0%
Gabriel Jesus,MCI,F,58,mcavinur,MCI 5<br/>@WHU 0 F,15,15,98%,0%
Jordan Pickford,EVE,G,59,ZKL,EVE 0<br/>@CRY 0 F,15,15,98%,0%
Kasper Schmeichel,LEI,G,60,MKFC,WOL 0</br>@LEI 0 F,15,15,69%,0%
Oleksandr Zinchenko,MCI,"D,M",61,ColmOF,MCI 5<br/>@WHU 0 F,14.9,14.9,93%,0%
Ben Chilwell,LEI,D,62,Eoghanoc,WOL 0</br>@LEI 0 F,14.8,14.8,100%,0%
Moussa Sissoko,TOT,M,63,FA,AVL 1</br>@TOT 3 F,14.5,14.5,25%,0%
Andreas Pereira,MUN,M,64,FA,CHE 0<br/>@MUN 4 F,14.5,14.5,13%,0%
Oliver Norwood,SHU,M,65,FA,SHU 1</br>@BOU 1 F,14.25,14.25,17%,0%
Martin Kelly,CRY,D,66,FA,EVE 0<br/>@CRY 0 F,14.15,14.15,2%,0%
Emiliano Buendia,NOR,M,67,ColmL,NOR 1<br/>@LIV 4 F,14.1,14.1,80%,0%
