GW,HOME,AWAY
1,LIV,NOR
1,WHU,MCI
1,BUR,SOU
1,CRY,EVE
1,WAT,BHA
1,BOU,SHU
1,TOT,AVL
1,NEW,ARS
1,LEI,WOL
1,MUN,CHE
2,ARS,BUR
2,AVL,BOU
2,EVE,WAT
2,SOU,LIV
2,BHA,WHU
2,NOR,NEW
2,MCI,TOT
2,SHU,CRY
2,CHE,LEI
2,WOL,MUN
3,AVL,EVE
3,NOR,CHE
3,MUN,CRY
3,WAT,WHU
3,BHA,SOU
3,SHU,LEI
3,LIV,ARS
3,BOU,MCI
3,TOT,NEW
3,WOL,BUR
4,SOU,MUN
4,CHE,SHU
4,NEW,WAT
4,MCI,BHA
4,WHU,NOR
4,CRY,AVL
4,LEI,BOU
4,BUR,LIV
4,EVE,WOL
4,ARS,TOT
5,LIV,NEW
5,MUN,LEI
5,TOT,CRY
5,WOL,CHE
5,BHA,BUR
5,SHU,SOU
5,NOR,MCI
5,BOU,EVE
5,WAT,ARS
5,AVL,WHU
6,SOU,BOU
6,LEI,TOT
6,EVE,SHU
6,MCI,WAT
6,BUR,NOR
6,NEW,BHA
6,WHU,MUN
6,CRY,WOL
6,CHE,LIV
6,ARS,AVL
7,SHU,LIV
7,AVL,BUR
7,CHE,BHA
7,TOT,SOU
7,CRY,NOR
7,WOL,WAT
7,BOU,WHU
7,EVE,MCI
7,LEI,NEW
7,MUN,ARS
8,BHA,TOT
8,LIV,LEI
8,BUR,EVE
8,WAT,SHU
8,NOR,AVL
8,WHU,CRY
8,MCI,WOL
8,ARS,BOU
8,SOU,CHE
8,NEW,MUN
9,EVE,WHU
9,BOU,NOR
9,AVL,BHA
9,CHE,NEW
9,LEI,BUR
9,TOT,WAT
9,WOL,SOU
9,CRY,MCI
9,MUN,LIV
9,SHU,ARS
10,SOU,LEI
10,MCI,AVL
10,BHA,EVE
10,WAT,BOU
10,WHU,SHU
10,BUR,CHE
10,NEW,WOL
10,ARS,CRY
10,LIV,TOT
10,NOR,MUN
11,BOU,MUN
11,ARS,WOL
11,AVL,LIV
11,BHA,NOR
11,MCI,SOU
11,SHU,BUR
11,WHU,NEW
11,WAT,CHE
11,CRY,LEI
11,EVE,TOT
12,NOR,WAT
12,CHE,CRY
12,BUR,WHU
12,NEW,BOU
12,SOU,EVE
12,TOT,SHU
12,LEI,ARS
12,MUN,BHA
12,WOL,AVL
12,LIV,MCI
13,WHU,TOT
13,BOU,WOL
13,ARS,SOU
13,BHA,LEI
13,CRY,LIV
13,EVE,NOR
13,WAT,BUR
13,MCI,CHE
13,SHU,MUN
13,AVL,NEW
14,NEW,MCI
14,BUR,CRY
14,CHE,WHU
14,LIV,BHA
14,TOT,BOU
14,SOU,WAT
14,NOR,ARS
14,WOL,SHU
14,LEI,EVE
14,MUN,AVL
15,CRY,BOU
15,BUR,MCI
15,LEI,WAT
15,MUN,TOT
15,WOL,WHU
15,CHE,AVL
15,SOU,NOR
15,LIV,EVE
15,SHU,NEW
15,ARS,BHA
16,EVE,CHE
16,BOU,LIV
16,TOT,BUR
16,WAT,CRY
16,MCI,MUN
16,AVL,LEI
16,NEW,SOU
16,NOR,SHU
16,BHA,WOL
16,WHU,ARS
17,LIV,WAT
17,BUR,NEW
17,CHE,BOU
17,LEI,NOR
17,SHU,AVL
17,SOU,WHU
17,MUN,EVE
17,WOL,TOT
17,ARS,MCI
17,CRY,BHA
18,WHU,LIV
18,EVE,ARS
18,BOU,BUR
18,AVL,SOU
18,BHA,SHU
18,NEW,CRY
18,NOR,WOL
18,MCI,LEI
18,WAT,MUN
18,TOT,CHE
19,TOT,BHA
19,BOU,ARS
19,AVL,NOR
19,CHE,SOU
19,CRY,WHU
19,EVE,BUR
19,SHU,WAT
19,MUN,NEW
19,LEI,LIV
19,WOL,MCI
20,BHA,BOU
20,NEW,EVE
20,SOU,CRY
20,WAT,AVL
20,NOR,TOT
20,WHU,LEI
20,BUR,MUN
20,ARS,CHE
20,LIV,WOL
20,MCI,SHU
21,BHA,CHE
21,BUR,AVL
21,NEW,LEI
21,SOU,TOT
21,WAT,WOL
21,MCI,EVE
21,NOR,CRY
21,WHU,BOU
21,ARS,MUN
21,LIV,SHU
22,SHU,WHU
22,CRY,ARS
22,CHE,BUR
22,EVE,BHA
22,LEI,SOU
22,MUN,NOR
22,WOL,NEW
22,TOT,LIV
22,BOU,WAT
22,AVL,MCI
23,WAT,TOT
23,ARS,SHU
23,BHA,AVL
23,MCI,CRY
23,NOR,BOU
23,SOU,WOL
23,WHU,EVE
23,NEW,CHE
23,BUR,LEI
23,LIV,MUN
24,BOU,BHA
24,AVL,WAT
24,EVE,NEW
24,SHU,MCI
24,CRY,SOU
24,CHE,ARS
24,LEI,WHU
24,TOT,NOR
24,MUN,BUR
24,WOL,LIV
25,LEI,CHE
25,BOU,AVL
25,CRY,SHU
25,LIV,SOU
25,NEW,NOR
25,WAT,EVE
25,WHU,BHA
25,MUN,WOL
25,BUR,ARS
25,TOT,MCI
26,EVE,CRY
26,BHA,WAT
26,SHU,BOU
26,MCI,WHU
26,WOL,LEI
26,SOU,BUR
26,NOR,LIV
26,AVL,TOT
26,ARS,NEW
26,CHE,MUN
27,CHE,TOT
27,BUR,BOU
27,CRY,NEW
27,SHU,BHA
27,SOU,AVL
27,LEI,MCI
27,MUN,WAT
27,WOL,NOR
27,ARS,EVE
27,LIV,WHU
28,NOR,LEI
28,AVL,SHU
28,BHA,CRY
28,BOU,CHE
28,NEW,BUR
28,WHU,SOU
28,WAT,LIV
28,MCI,ARS
28,EVE,MUN
28,TOT,WOL
29,LIV,BOU
29,ARS,WHU
29,CRY,WAT
29,SHU,NOR
29,SOU,NEW
29,WOL,BHA
29,BUR,TOT
29,CHE,EVE
29,MUN,MCI
29,LEI,AVL
30,WAT,LEI
30,BOU,CRY
30,BHA,ARS
30,MCI,BUR
30,NEW,SHU
30,NOR,SOU
30,AVL,CHE
30,WHU,WOL
30,TOT,MUN
30,EVE,LIV
31,TOT,WHU
31,BUR,WAT
31,CHE,MCI
31,LIV,CRY
31,NEW,AVL
31,NOR,EVE
31,LEI,BHA
31,MUN,SHU
31,SOU,ARS
31,WOL,BOU
32,BOU,NEW
32,ARS,NOR
32,AVL,WOL
32,BHA,MUN
32,CRY,BUR
32,SHU,TOT
32,WAT,SOU
32,MCI,LIV
32,WHU,CHE
32,EVE,LEI
33,NEW,WHU
33,BUR,SHU
33,LEI,CRY
33,MUN,BOU
33,NOR,BHA
33,SOU,MCI
33,TOT,EVE
33,CHE,WAT
33,LIV,AVL
33,WOL,ARS
34,BOU,TOT
34,ARS,LEI
34,CRY,CHE
34,EVE,SOU
34,MCI,NEW
34,WAT,NOR
34,WHU,BUR
34,AVL,MUN
34,SHU,WOL
34,BHA,LIV
35,BOU,LEI
35,BHA,MCI
35,LIV,BUR
35,MUN,SOU
35,NOR,WHU
35,WAT,NEW
35,WOL,EVE
35,SHU,CHE
35,TOT,ARS
35,AVL,CRY
36,ARS,LIV
36,BUR,WOL
36,CHE,NOR
36,CRY,MUN
36,EVE,AVL
36,LEI,SHU
36,MCI,BOU
36,NEW,TOT
36,SOU,BHA
36,WHU,WAT
37,BOU,SOU
37,AVL,ARS
37,BHA,NEW
37,LIV,CHE
37,MUN,WHU
37,NOR,BUR
37,SHU,EVE
37,TOT,LEI
37,WAT,MCI
37,WOL,CRY
38,ARS,WAT
38,BUR,BHA
38,CHE,WOL
38,CRY,TOT
38,EVE,BOU
38,LEI,MUN
38,MCI,NOR
38,NEW,LIV
38,SOU,SHU
38,WHU,AVL
