name,Transfermarkt_name
Aaron Connolly,Aaron Connolly
Aaron Cresswell,Aaron Cresswell
Aaron Lennon,Aaron Lennon
Aaron Mooy,Aaron Mooy
Aaron Ramsdale,Aaron Ramsdale
Aaron Tshibola,Aaron Tshibola
Aaron Wan-Bissaka,Aaron Wan-Bissaka
Abdoulaye Doucoure,Abdoulaye Doucouré
Adalberto Penaranda,Adalberto Peñaranda
Adam Idah,Adam Idah
Adam Lallana,Adam Lallana
Adam Legzdins,Adam Legzdins
Adam Lewis,Adam Lewis
Adam Masina,Adam Masina
Adam Smith,Adam Smith
Adam Webster,Adam Webster
Adama Traoré,Adama Traoré
Adama Traore,Adama Traore
Adrian,Adrián
Adrian Bernabe,Adrian Bernabe
Adrian Mariappa,Adrian Mariappa
Adrien Silva,Adrien Silva
Ahmed El Mohamady,Ahmed Elmohamady
Ainsley Maitland-Niles,Ainsley Maitland-Niles
Akin Famewo,Akin Famewo
Albian Ajeti,Albian Ajeti
Alex Cochrane,Alex Cochrane
Alex Iwobi,Alex Iwobi
Alex McCarthy,Alex McCarthy
Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain
Alexander Tettey,Alexander Tettey
Alexandre Lacazette,Alexandre Lacazette
Alexis Mac Allister,Alexis Mac Allister
Alexis Sanchez,Alexis Sanchez
Alfie Whiteman,Alfie Whiteman
Ali Koiki,Ali Koiki
Alireza Jahanbakhsh,Alireza Jahanbakhsh
Alisson,Alisson
Allan Saint-Maximin,Allan Saint-Maximin
Allan Souza,Allan Souza
Alpha Richard Dionkou,Alpha Richard Dionkou
Andi Janjeva,Andi Janjeva
Andre Gomes,André Gomes
Andre Gray,Andre Gray
Andre Green,Andre Green
Andreas Christensen,Andreas Christensen
Andreas Pereira,Andreas Pereira
Andreas Sondergaard,Andreas Sondergaard
Andrew Crofts,Andrew Crofts
Andrew Robertson,Andrew Robertson
Andrew Surman,Andrew Surman
Andriy Yarmolenko,Andriy Yarmolenko
Andros Townsend,Andros Townsend
Andy Carroll,Andy Carroll
Andy King,Andy King
Andy Lonergan,Andy Lonergan
Angel Gomes,Angel Gomes
Angelino,Angelino
Angelo Ogbonna,Angelo Ogbonna
Angus Gunn,Angus Gunn
Anthony Driscoll-Glennon,Anthony Driscoll-Glennon
Anthony Gordon,Anthony Gordon
Anthony Martial,Anthony Martial
Antonio Rudiger,Antonio Rüdiger
Anwar El Ghazi,Anwar El Ghazi
Archie Davies,Archie Davies
Archie Mair,Archie Mair
Armando Broja,Armando Broja
Arnau Puigmal Martinez,Arnau Puigmal Martinez
Arnaut Danjuma Groeneveld,Arnaut Danjuma
Arthur Masuaku,Arthur Masuaku
Artur Boruc,Artur Boruc
Ashley Barnes,Ashley Barnes
Ashley Westwood,Ashley Westwood
Ashley Young,Ashley Young
Asmir Begovic,Asmir Begovic
Austin Samuels,Austin Samuels
Axel Tuanzebe,Axel Tuanzebe
Aymeric Laporte,Aymeric Laporte
Ayoze Perez,Ayoze Pérez
Bailey Peacock-Farrell,Bailey Peacock-Farrell
Bartosz Kaputska,Bartosz Kaputska
Bayli Spencer-Adams,Bayli Spencer-Adams
