GW,TYPE HOME,TYPE AWAY,HOME,AWAY,HOME_AMPLIFIER,AWAY_AMP,RESULT,MATCH
1,2,19,LIV,NOR,5,-5,4-1,LIVNOR
1,12,1,WHU,MCI,-2,2,0-5,WHUMCI
1,16,14,BUR,SOU,0,0,3-0,BURSOU
1,10,7,CRY,EVE,0,0,0-0,CRYEVE
1,15,18,WAT,BHA,1,-1,0-3,WATBHA
1,11,20,BOU,SHU,3,-3,1-1,BOUSHU
1,4,17,TOT,AVL,4,-4,3-1,TOTAVL
1,13,5,NEW,ARS,-2,2,0-1,NEWARS
1,8,9,LEI,WOL,1,-1,0-0,LEIWOL
1,6,3,MUN,CHE,0,0,4-0,MUNCHE
2,6,12,ARS,BUR,2,-2,2-1,ARSBUR
2,18,11,AVL,BOU,-1,1,1-2,AVLBOU
2,7,17,EVE,WAT,3,-3,1-0,EVEWAT
2,15,2,SOU,LIV,-3,3,1-2,SOULIV
2,16,13,BHA,WHU,0,0,1-1,BHAWHU
2,19,14,NOR,NEW,-1,1,3-1,NORNEW
2,1,3,MCI,TOT,1,-1,2-2,MCITOT
2,20,10,SHU,CRY,-2,2,1-0,SHUCRY
2,4,8,CHE,LEI,1,-1,1-1,CHELEI
2,9,5,WOL,MUN,-1,1,1-1,WOLMUN
3,20,7,AVL,EVE,-3,3,2-0,AVLEVE
3,18,4,NOR,CHE,-3,3,2-3,NORCHE
3,5,12,MUN,CRY,2,-2,1-2,MUNCRY
3,17,13,WAT,WHU,-1,1,1-3,WATWHU
3,16,14,BHA,SOU,0,0,0-2,BHASOU
3,19,8,SHU,LEI,-2,2,1-2,SHULEI
3,2,6,LIV,ARS,1,-1,3-1,LIVARS
3,10,1,BOU,MCI,-2,2,1-3,BOUMCI
3,3,15,TOT,NEW,3,-3,0-1,TOTNEW
3,9,11,WOL,BUR,1,-1,1-1,WOLBUR
4,14,5,SOU,MUN,-2,2,1-1,SOUMUN
4,3,20,CHE,SHU,5,-5,2-2,CHESHU
4,15,19,NEW,WAT,1,-1,1-1,NEWWAT
4,1,18,MCI,BHA,5,-5,4-0,MCIBHA
4,12,17,WHU,NOR,2,-2,2-0,WHUNOR
4,10,16,CRY,AVL,2,-2,1-0,CRYAVL
4,8,11,LEI,BOU,1,-1,3-1,LEIBOU
4,13,2,BUR,LIV,-2,2,0-3,BURLIV
4,7,9,EVE,WOL,1,-1,3-2,EVEWOL
4,6,4,ARS,TOT,0,0,2-2,ARSTOT
5,2,15,LIV,NEW,4,-4,3-1,LIVNEW
5,6,7,MUN,LEI,1,-1,1-0,MUNLEI
5,3,9,TOT,CRY,2,-2,4-0,TOTCRY
5,11,4,WOL,CHE,-1,1,2-5,WOLCHE
5,17,14,BHA,BUR,0,0,1-1,BHABUR
5,16,12,SHU,SOU,-1,1,0-1,SHUSOU
5,20,1,NOR,MCI,-4,4,3-2,NORMCI
5,13,8,BOU,EVE,-1,1,3-1,BOUEVE
5,18,5,WAT,ARS,-3,3,2-2,WATARS
5,19,10,AVL,WHU,-2,2,0-0,AVLWHU
6,12,11,SOU,BOU,0,0,1-3,SOUBOU
6,7,3,LEI,TOT,-1,1,2-1,LEITOT
6,8,19,EVE,SHU,3,-3,0-2,EVESHU
6,1,17,MCI,WAT,4,-4,8-0,MCIWAT
6,14,16,BUR,NOR,1,-1,2-0,BURNOR
6,15,18,NEW,BHA,1,-1,0-0,NEWBHA
6,9,5,WHU,MUN,-1,1,2-0,WHUMUN
6,10,13,CRY,WOL,1,-1,1-1,CRYWOL
6,4,2,CHE,LIV,0,0,1-2,CHELIV
6,6,20,ARS,AVL,4,-4,3-2,ARSAVL
7,16,2,SHU,LIV,-3,3,0-1,SHULIV
7,20,12,AVL,BUR,-2,2,2-1,AVLBUR
7,3,17,CHE,BHA,4,-4,2-0,CHEBHA
7,4,13,TOT,SOU,3,-3,2-1,TOTSOU
7,11,18,CRY,NOR,2,-2,2-0,CRYNOR
7,14,19,WOL,WAT,2,-2,2-0,WOLWAT
7,10,8,BOU,WHU,0,0,2-2,BOUWHU
7,9,1,EVE,MCI,-2,2,1-3,EVEMCI
7,7,15,LEI,NEW,2,-2,5-0,LEINEW
7,5,6,MUN,ARS,1,-1,1-1,MUNARS
8,17,4,BHA,TOT,-3,3,3-0,BHATOT
