,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/11/19,A,Chelsea,(4.),Man Utd ,Man Utd (5.),4:0,CB,,,,,,90',,,,Andreas Christensen
1,2,8/18/19,H,Chelsea,(19.),Leicester ,Leicester (12.),1:1,CB,,,,,,90',,,,Andreas Christensen
2,3,8/24/19,A,Chelsea,(15.),Norwich ,Norwich (11.),2:3,CB,,,,,,90',,,,Andreas Christensen
3,4,8/31/19,H,Chelsea,(13.),Sheffield Utd. ,Sheffield Utd. (9.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Christensen
4,5,9/14/19,A,Chelsea,(11.),Wolves ,Wolves (17.),2:5,CB,,,64',,,90',,,,Andreas Christensen
5,6,9/22/19,H,Chelsea,(6.),Liverpool ,Liverpool (1.),1:2,CB,,,,,,42',,,,Andreas Christensen
6,7,9/28/19,H,Chelsea,(11.),Brighton ,Brighton (15.),2:0,CB,,,23',,,90',,,,Andreas Christensen
7,8,10/6/19,A,Chelsea,(7.),Southampton ,Southampton (14.),1:4,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Christensen
8,9,10/19/19,H,Chelsea,(5.),Newcastle ,Newcastle (16.),1:0,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,,,Andreas Christensen
9,10,10/26/19,A,Chelsea,(4.),Burnley ,Burnley (8.),2:4,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,,,Andreas Christensen
10,11,11/2/19,A,Chelsea,(4.),Watford ,Watford (20.),1:2,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,,,Andreas Christensen
11,12,11/9/19,H,Chelsea,(4.),Crystal Palace ,Crystal Palace (9.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Christensen
12,13,11/23/19,A,Chelsea,(3.),Man City ,Man City (4.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Christensen
13,14,11/30/19,H,Chelsea,(4.),West Ham ,West Ham (17.),0:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Christensen
14,15,12/4/19,H,Chelsea,(4.),Aston Villa ,Aston Villa (15.),2:1,CB,,,,,,90',,,,Andreas Christensen
15,16,12/7/19,A,Chelsea,(4.),Everton ,Everton (18.),3:1,CB,,,,,,90',,,,Andreas Christensen
16,17,12/14/19,H,Chelsea,(4.),Bournemouth ,Bournemouth (15.),0:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Christensen
17,18,12/22/19,A,Chelsea,(4.),Spurs ,Spurs (5.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Christensen
18,19,12/26/19,H,Chelsea,(4.),Southampton ,Southampton (17.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Christensen
19,20,12/29/19,A,Chelsea,(4.),Arsenal ,Arsenal (11.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Christensen
20,21,1/1/20,A,Chelsea,(4.),Brighton ,Brighton (14.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Christensen
21,22,1/11/20,H,Chelsea,(4.),Burnley ,Burnley (15.),3:0,CB,,,,,,90',,,,Andreas Christensen
22,23,1/18/20,A,Chelsea,(4.),Newcastle ,Newcastle (13.),1:0,CB,,,,,,90',,,,Andreas Christensen
23,24,1/21/20,H,Chelsea,(4.),Arsenal ,Arsenal (10.),2:2,CB,,,59',,,90',,,,Andreas Christensen
24,25,2/1/20,A,Chelsea,(4.),Leicester ,Leicester (3.),2:2,CB,,,,,,90',,,,Andreas Christensen
25,26,2/17/20,H,Chelsea,(4.),Man Utd ,Man Utd (7.),0:2,CB,,,,,,45',,,,Andreas Christensen
26,27,2/22/20,H,Chelsea,(4.),Spurs ,Spurs (5.),2:1,CB,,,65',,,90',,,,Andreas Christensen
27,28,2/29/20,A,Chelsea,(4.),Bournemouth ,Bournemouth (16.),2:2,CB,,,71',,,90',,,,Andreas Christensen
28,29,3/8/20,H,Chelsea,(4.),Everton ,Everton (11.),4:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andreas Christensen
