,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,3,8/25/19,A,Leicester,(2.),St. Mirren ,St. Mirren (5.),0:1,,,,,,,6',,,,Andy King
1,4,9/1/19,H,Leicester,(2.),Celtic ,Celtic (1.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andy King
2,5,9/14/19,H,Leicester,(2.),Livingston FC ,Livingston FC (3.),3:1,,,,,,,15',,,,Andy King
3,6,9/22/19,A,Leicester,(2.),St. Johnstone ,St. Johnstone (11.),0:4,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
4,7,9/28/19,H,Leicester,(2.),Aberdeen FC ,Aberdeen FC (3.),5:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andy King
5,8,10/6/19,H,Leicester,(2.),Hamilton Acad. ,Hamilton Acad. (8.),5:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
6,9,10/20/19,A,Leicester,(1.),Heart of Midl. ,Heart of Midl. (9.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
7,10,10/27/19,H,Leicester,(2.),Motherwell FC ,Motherwell FC (3.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
8,11,10/30/19,A,Leicester,(2.),Ross County ,Ross County (6.),0:4,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
9,13,11/10/19,A,Leicester,(2.),Livingston FC ,Livingston FC (7.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
10,14,11/24/19,A,Leicester,(2.),Hamilton Acad. ,Hamilton Acad. (10.),1:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
11,15,12/1/19,H,Leicester,(2.),Heart of Midl. ,Heart of Midl. (9.),5:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
12,16,12/4/19,A,Leicester,(2.),Aberdeen FC ,Aberdeen FC (3.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
13,18,12/15/19,A,Leicester,(2.),Motherwell FC ,Motherwell FC (3.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
14,19,12/20/19,A,Leicester,(2.),Hibernian FC ,Hibernian FC (6.),0:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
15,20,12/26/19,H,Leicester,(2.),Kilmarnock FC ,Kilmarnock FC (5.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
16,21,12/29/19,A,Leicester,(2.),Celtic ,Celtic (1.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy King
