,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,2,8/10/19,H,Brighton,(8.),Stoke City ,Stoke City (19.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
1,3,8/17/19,A,Brighton,(2.),Barnsley FC ,Barnsley FC (15.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
2,4,8/21/19,H,Brighton,(2.),Nottm Forest ,Nottm Forest (9.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
3,5,8/24/19,H,Brighton,(5.),Brentford ,Brentford (18.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
4,6,8/31/19,A,Brighton,(3.),Reading ,Reading (11.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
5,7,9/14/19,H,Brighton,(2.),Birmingham ,Birmingham (9.),0:1,CM,,,,,,12',,,,Beram Kayal
6,8,9/21/19,A,Brighton,(3.),Wigan ,Wigan (21.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
7,9,9/28/19,H,Brighton,(8.),Leeds ,Leeds (1.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
8,10,10/2/19,H,Brighton,(6.),Swansea ,Swansea (2.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
9,11,10/5/19,A,Brighton,(8.),Fulham ,Fulham (5.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
10,12,10/19/19,H,Brighton,(10.),Derby ,Derby (13.),3:0,CM,,,,,,12',,,,Beram Kayal
11,13,10/23/19,A,Brighton,(7.),Bristol City ,Bristol City (9.),2:1,CM,,,14',,,72',,,,Beram Kayal
12,14,10/26/19,A,Brighton,(10.),West Brom ,West Brom (1.),2:2,CM,,,,,,3',,,,Beram Kayal
13,15,11/3/19,H,Brighton,(10.),Preston NE ,Preston NE (2.),0:1,RM,,,65',,,89',,,,Beram Kayal
14,16,11/9/19,A,Brighton,(10.),Millwall ,Millwall (17.),2:1,CM,,,,,,23',,,,Beram Kayal
15,17,11/23/19,H,Brighton,(11.),Cardiff ,Cardiff (14.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
16,18,11/26/19,A,Brighton,(13.),Luton ,Luton (22.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
17,19,11/30/19,H,Brighton,(17.),Sheff Wed ,Sheff Wed (10.),1:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
18,20,12/7/19,A,Brighton,(17.),Middlesbrough ,Middlesbrough (20.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
19,21,12/10/19,H,Brighton,(17.),Huddersfield ,Huddersfield (21.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
20,22,12/13/19,H,Brighton,(18.),Hull City ,Hull City (14.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
21,23,12/21/19,A,Brighton,(17.),QPR ,QPR (13.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
22,24,12/26/19,H,Brighton,(18.),Bristol City ,Bristol City (10.),3:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
23,25,12/30/19,A,Brighton,(17.),Derby ,Derby (18.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
24,26,1/2/20,A,Brighton,(19.),Swansea ,Swansea (9.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
25,27,1/11/20,H,Brighton,(19.),West Brom ,West Brom (2.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Beram Kayal
