,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/12/19,A,Chelsea,,Derby U23,Derby U23,0:1,CM,,,,,,90',,,,Billy Gilmour
1,2,8/19/19,H,Chelsea,,Liverpool U23,Liverpool U23,3:0,CM,,,,,,90',,,,Billy Gilmour
2,3,8/23/19,A,Chelsea,,Man City U23,Man City U23,2:2,DM,1,,21',,,90',,,,Billy Gilmour
3,4,8/30/19,H,Chelsea,,Tottenham U23,Tottenham U23,2:2,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,,,Billy Gilmour
4,5,9/13/19,H,Chelsea,,Brighton U23,Brighton U23,2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Billy Gilmour
5,6,9/21/19,A,Chelsea,,Southampton U23,Southampton U23,0:2,CM,,1,,,,66',,,,Billy Gilmour
6,7,9/28/19,A,Chelsea,,Leicester U23,Leicester U23,2:2,CM,,1,,,,90',,,,Billy Gilmour
7,8,10/18/19,H,Chelsea,,Arsenal U23,Arsenal U23,3:1,DM,,1,,,,90',,,,Billy Gilmour
8,10,11/2/19,H,Chelsea,,Blackburn U23,Blackburn U23,2:1,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,,,Billy Gilmour
9,11,11/23/19,A,Chelsea,,Wolves U23,Wolves U23,1:1,DM,,,,,,90',,,,Billy Gilmour
10,12,12/7/19,H,Chelsea,,Derby U23,Derby U23,3:3,CM,,,,,,90',,,,Billy Gilmour
11,13,12/14/19,A,Chelsea,,Liverpool U23,Liverpool U23,1:1,CM,,,,,,90',,,,Billy Gilmour
12,14,1/6/20,A,Chelsea,,Tottenham U23,Tottenham U23,0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Billy Gilmour
13,15,1/11/20,H,Chelsea,,Man City U23,Man City U23,2:1,CM,,,,,,45',,,,Billy Gilmour
14,9,1/24/20,A,Chelsea,,Everton U23,Everton U23,2:2,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,,,Billy Gilmour
15,16,1/31/20,H,Chelsea,,Leicester U23,Leicester U23,2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Billy Gilmour
16,17,2/17/20,A,Chelsea,,Arsenal U23,Arsenal U23,1:2,DM,1,1,,,,90',,,,Billy Gilmour
