,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,H,Liverpool U23,,Tottenham U23,Tottenham U23,0:4,CM,,,,,,90',,,,Curtis Jones
1,2,8/19/19,A,Liverpool U23,,Chelsea U23,Chelsea U23,3:0,LW,,,,,,90',,,,Curtis Jones
2,3,8/26/19,A,Liverpool U23,,Southampton U23,Southampton U23,2:4,LW,1,1,,,,90',,,,Curtis Jones
3,4,8/31/19,H,Liverpool U23,,Man City U23,Man City U23,1:4,LW,,1,,,,90',,,,Curtis Jones
4,5,9/14/19,H,Liverpool U23,,Derby U23,Derby U23,3:3,LM,1,1,90',,,90',,,,Curtis Jones
5,6,9/20/19,A,Liverpool U23,,Leicester U23,Leicester U23,2:2,LM,1,,,,,90',,,,Curtis Jones
6,7,9/28/19,A,Liverpool U23,,Arsenal U23,Arsenal U23,2:2,LW,2,,,,,90',,,,Curtis Jones
7,8,10/20/19,H,Liverpool U23,,Wolves U23,Wolves U23,4:3,LM,,1,,,,90',,,,Curtis Jones
8,9,10/26/19,H,Liverpool U23,,Blackburn U23,Blackburn U23,0:0,LM,,,,,,59',,,,Curtis Jones
9,10,11/2/19,H,Liverpool U23,,Everton U23,Everton U23,2:1,RM,,,,,,90',,,,Curtis Jones
10,11,11/22/19,A,Liverpool U23,,Brighton U23,Brighton U23,3:5,LM,2,,,,,90',,,,Curtis Jones
11,12,12/6/19,A,Liverpool U23,,Tottenham U23,Tottenham U23,4:0,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,,,Curtis Jones
12,13,12/14/19,H,Liverpool U23,,Chelsea U23,Chelsea U23,1:1,LM,1,,,,,45',,,,Curtis Jones
13,14,1/5/20,A,Liverpool U23,,Man City U23,Man City U23,1:0,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,,,Curtis Jones
14,15,1/13/20,H,Liverpool U23,,Southampton U23,Southampton U23,5:0,LW,1,1,,,,90',,,,Curtis Jones
15,16,2/1/20,H,Liverpool U23,,Arsenal U23,Arsenal U23,3:0,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,,,Curtis Jones
16,17,2/17/20,A,Liverpool U23,,Wolves U23,Wolves U23,1:2,LW,,,,,,90',,,,Curtis Jones
