,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/24/19,H,Wolves,(1.),Asteras Tripoli ,Asteras Tripoli (9.),1:0,LW,,,,,,90',,,,Daniel Podence
1,2,9/1/19,A,Wolves,(2.),AE Larisa ,AE Larisa (3.),0:1,RW,,,,,,82',,,,Daniel Podence
2,3,9/14/19,H,Wolves,(2.),Volos NPS ,Volos NPS (1.),5:0,LW,,1,37',,,90',,,,Daniel Podence
3,4,9/22/19,A,Wolves,(1.),Panathinaikos ,Panathinaikos (9.),1:1,RW,,,,,,90',,,,Daniel Podence
4,5,9/28/19,H,Wolves,(1.),PAS Lamia ,PAS Lamia (9.),2:0,LW,,,,,,78',,,,Daniel Podence
5,6,10/6/19,A,Wolves,(1.),Aris Saloniki ,Aris Saloniki (6.),1:2,LW,,,,,,38',,,,Daniel Podence
6,7,10/19/19,H,Wolves,(1.),OFI Crete ,OFI Crete (2.),2:1,RW,,1,,,,90',,,,Daniel Podence
7,8,10/27/19,H,Wolves,(1.),AEK Athens ,AEK Athens (2.),2:0,LW,,1,,,,90',,,,Daniel Podence
8,9,11/2/19,A,Wolves,(1.),AO Xanthi ,AO Xanthi (12.),0:0,LW,,,,,,82',,,,Daniel Podence
9,10,11/10/19,H,Wolves,(1.),Atromitos Athen ,Atromitos Athen (7.),2:0,RW,1,,,,,90',,,,Daniel Podence
10,11,11/23/19,A,Wolves,(1.),Panionios ,Panionios (14.),1:1,RW,,,,,,90',,,,Daniel Podence
11,12,12/1/19,H,Wolves,(1.),PAOK Salonika ,PAOK Salonika (2.),1:1,LW,,1,,,,90',,,,Daniel Podence
12,13,12/7/19,A,Wolves,(1.),Panetolikos ,Panetolikos (14.),0:3,RW,1,,,,,56',,,,Daniel Podence
13,14,12/15/19,A,Wolves,(1.),Asteras Tripoli ,Asteras Tripoli (11.),0:5,RW,1,,,,,37',,,,Daniel Podence
14,15,12/18/19,H,Wolves,(1.),AE Larisa ,AE Larisa (6.),4:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Daniel Podence
15,16,12/22/19,A,Wolves,(1.),Volos NPS ,Volos NPS (10.),0:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Daniel Podence
16,17,1/5/20,H,Wolves,(1.),Panathinaikos ,Panathinaikos (7.),1:0,RW,,,,,,60',,,,Daniel Podence
17,18,1/12/20,A,Wolves,(1.),PAS Lamia ,PAS Lamia (8.),0:4,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Daniel Podence
18,19,1/19/20,H,Wolves,(1.),Aris Saloniki ,Aris Saloniki (4.),4:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Daniel Podence
19,20,1/22/20,A,Wolves,(1.),OFI Crete ,OFI Crete (5.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Daniel Podence
20,21,1/26/20,A,Wolves,(1.),AEK Athens ,AEK Athens (3.),0:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Daniel Podence
