,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,H,Aston Villa,(10.),Southampton ,Southampton (14.),3:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Danny Drinkwater
1,2,8/17/19,A,Aston Villa,(4.),Arsenal ,Arsenal (7.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Danny Drinkwater
2,3,8/25/19,A,Aston Villa,(10.),Wolves ,Wolves (12.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Danny Drinkwater
3,4,8/31/19,H,Aston Villa,(6.),Liverpool ,Liverpool (1.),0:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Danny Drinkwater
4,5,9/14/19,A,Aston Villa,(12.),Brighton ,Brighton (16.),1:1,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,,,Danny Drinkwater
5,6,9/21/19,H,Aston Villa,(14.),Norwich ,Norwich (13.),2:0,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,,,Danny Drinkwater
6,7,9/28/19,A,Aston Villa,(9.),Aston Villa ,Aston Villa (18.),2:2,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,,,Danny Drinkwater
7,8,10/5/19,H,Aston Villa,(11.),Everton ,Everton (15.),1:0,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,,,Danny Drinkwater
8,9,10/19/19,A,Aston Villa,(7.),Leicester ,Leicester (4.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Danny Drinkwater
9,10,10/26/19,H,Aston Villa,(8.),Chelsea ,Chelsea (4.),2:4,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Danny Drinkwater
10,11,11/2/19,A,Aston Villa,(13.),Sheffield Utd. ,Sheffield Utd. (8.),3:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Danny Drinkwater
11,12,11/9/19,H,Aston Villa,(14.),West Ham ,West Ham (13.),3:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Danny Drinkwater
12,13,11/23/19,A,Aston Villa,(10.),Watford ,Watford (18.),0:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Danny Drinkwater
13,14,11/30/19,H,Aston Villa,(7.),Crystal Palace ,Crystal Palace (13.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Danny Drinkwater
14,15,12/3/19,H,Aston Villa,(10.),Man City ,Man City (3.),1:4,CM,,,,,,59',,,,Danny Drinkwater
15,16,12/7/19,A,Aston Villa,(12.),Spurs ,Spurs (8.),5:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Danny Drinkwater
16,17,12/14/19,H,Aston Villa,(13.),Newcastle ,Newcastle (11.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Danny Drinkwater
17,18,12/21/19,A,Aston Villa,(12.),Bournemouth ,Bournemouth (14.),0:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Danny Drinkwater
18,19,12/26/19,A,Aston Villa,(10.),Everton ,Everton (15.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Danny Drinkwater
19,20,12/28/19,H,Aston Villa,(12.),Man Utd ,Man Utd (8.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Danny Drinkwater
20,21,1/1/20,H,Aston Villa,(13.),Aston Villa ,Aston Villa (18.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Danny Drinkwater
21,,,,Aston Villa,,,,,,,,,,,,,,,Danny Drinkwater
22,22,1/12/20,H,Aston Villa,(17.),Man City ,Man City (3.),1:6,DM,,,,,,79',,,,Danny Drinkwater
23,23,1/18/20,A,Aston Villa,(18.),Brighton ,Brighton (14.),1:1,CM,,,14',,,68',,,,Danny Drinkwater
24,24,1/21/20,H,Aston Villa,(18.),Watford ,Watford (17.),2:1,CM,,,,,,56',,,,Danny Drinkwater
25,25,2/1/20,A,Aston Villa,(16.),Bournemouth ,Bournemouth (18.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Danny Drinkwater
26,26,2/16/20,H,Aston Villa,(17.),Spurs ,Spurs (5.),2:3,CM,,,,,,60',,,,Danny Drinkwater
27,27,2/22/20,A,Aston Villa,(17.),Southampton ,Southampton (12.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Danny Drinkwater
28,29,3/9/20,A,Aston Villa,(19.),Leicester ,Leicester (3.),4:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Danny Drinkwater
