,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/2/19,A,West Ham,(19.),Luton ,Luton (23.),3:3,GK,,,,,,90',,,,Darren Randolph
1,2,8/10/19,H,West Ham,(12.),Brentford ,Brentford (21.),0:1,GK,,,,,,90',,,,Darren Randolph
2,3,8/17/19,A,West Ham,(18.),Blackburn ,Blackburn (24.),1:0,GK,,,,,,90',,,,Darren Randolph
3,4,8/20/19,H,West Ham,(23.),Wigan ,Wigan (20.),1:0,GK,,,,,,90',,,,Darren Randolph
4,5,8/24/19,H,West Ham,(16.),Millwall ,Millwall (9.),1:1,GK,,,,,,90',,,,Darren Randolph
5,6,8/31/19,A,West Ham,(17.),Bristol City ,Bristol City (4.),2:2,GK,,,,,,90',,,,Darren Randolph
6,7,9/14/19,H,West Ham,(18.),Reading ,Reading (16.),1:0,GK,,,,,,90',,,,Darren Randolph
7,8,9/21/19,A,West Ham,(13.),Cardiff ,Cardiff (14.),1:0,GK,,,,,,90',,,,Darren Randolph
8,9,9/28/19,H,West Ham,(15.),Sheff Wed ,Sheff Wed (9.),1:4,GK,,,,,,90',,,,Darren Randolph
9,10,10/1/19,H,West Ham,(19.),Preston NE ,Preston NE (5.),1:1,GK,,,,,,90',,,,Darren Randolph
10,11,10/4/19,A,West Ham,(20.),Birmingham ,Birmingham (14.),2:1,GK,,,,,,90',,,,Darren Randolph
11,12,10/19/19,H,West Ham,(20.),West Brom ,West Brom (1.),0:1,GK,,,,,,90',,,,Darren Randolph
12,13,10/23/19,A,West Ham,(21.),Huddersfield ,Huddersfield (22.),0:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
13,14,10/26/19,H,West Ham,(21.),Fulham ,Fulham (7.),0:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
14,15,11/2/19,A,West Ham,(22.),Derby ,Derby (16.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
15,16,11/9/19,A,West Ham,(22.),QPR ,QPR (9.),2:2,GK,,,90',,,90',,,,Darren Randolph
16,17,11/24/19,H,West Ham,(22.),Hull City ,Hull City (12.),2:2,GK,,,,,,90',,,,Darren Randolph
17,18,11/27/19,H,West Ham,(21.),Barnsley FC ,Barnsley FC (24.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
18,19,11/30/19,A,West Ham,(20.),Leeds ,Leeds (2.),4:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
19,20,12/7/19,H,West Ham,(20.),Charlton ,Charlton (17.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
20,21,12/10/19,A,West Ham,(19.),Nottm Forest ,Nottm Forest (5.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
21,22,12/14/19,A,West Ham,(20.),Swansea ,Swansea (11.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
22,23,12/20/19,H,West Ham,(20.),Stoke City ,Stoke City (22.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
23,24,12/26/19,H,West Ham,(20.),Huddersfield ,Huddersfield (19.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
24,25,12/29/19,A,West Ham,(19.),West Brom ,West Brom (1.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
25,26,1/1/20,A,West Ham,(16.),Preston NE ,Preston NE (7.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
26,27,1/11/20,H,West Ham,(16.),Derby ,Derby (17.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Darren Randolph
