,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,2,8/10/19,H,Arsenal,(1.),Nottm Forest ,Nottm Forest (16.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eddie Nketiah
1,3,8/17/19,A,Arsenal,(3.),Wigan ,Wigan (16.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Eddie Nketiah
2,4,8/21/19,H,Arsenal,(1.),Brentford ,Brentford (12.),1:0,CF,1,,,,,13',,,,Eddie Nketiah
3,5,8/24/19,A,Arsenal,(1.),Stoke City ,Stoke City (24.),0:3,CF,,,80',,,16',,,,Eddie Nketiah
4,6,8/31/19,H,Arsenal,(1.),Swansea ,Swansea (2.),0:1,CF,,,,,,29',,,,Eddie Nketiah
5,7,9/15/19,A,Arsenal,(3.),Barnsley FC ,Barnsley FC (21.),0:2,CF,1,1,,,,20',,,,Eddie Nketiah
6,8,9/21/19,H,Arsenal,(1.),Derby ,Derby (19.),1:1,CF,,,,,,11',,,,Eddie Nketiah
7,9,9/28/19,A,Arsenal,(1.),Charlton ,Charlton (8.),1:0,CF,,,,,,45',,,,Eddie Nketiah
8,10,10/1/19,H,Arsenal,(4.),West Brom ,West Brom (1.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Eddie Nketiah
9,11,10/5/19,A,Arsenal,(2.),Millwall ,Millwall (18.),2:1,CF,,,,,,28',,,,Eddie Nketiah
10,12,10/19/19,H,Arsenal,(5.),Birmingham ,Birmingham (12.),1:0,CF,,,,,,45',,,,Eddie Nketiah
11,13,10/22/19,A,Arsenal,(2.),Preston NE ,Preston NE (6.),1:1,CF,1,,,,,13',,,,Eddie Nketiah
12,14,10/26/19,A,Arsenal,(2.),Sheff Wed ,Sheff Wed (3.),0:0,CF,,,,,,45',,,,Eddie Nketiah
13,15,11/2/19,H,Arsenal,(3.),QPR ,QPR (9.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eddie Nketiah
14,16,11/9/19,H,Arsenal,(3.),Blackburn ,Blackburn (16.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eddie Nketiah
15,17,11/23/19,A,Arsenal,(3.),Luton ,Luton (21.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eddie Nketiah
16,18,11/26/19,A,Arsenal,(2.),Reading ,Reading (18.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Eddie Nketiah
17,19,11/30/19,H,Arsenal,(2.),Middlesbrough ,Middlesbrough (20.),4:0,CF,,,,,,11',,,,Eddie Nketiah
18,20,12/7/19,A,Arsenal,(2.),Huddersfield ,Huddersfield (19.),0:2,CF,,,,,,13',,,,Eddie Nketiah
19,21,12/10/19,H,Arsenal,(2.),Hull City ,Hull City (12.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Eddie Nketiah
20,22,12/14/19,H,Arsenal,(1.),Cardiff ,Cardiff (9.),3:3,CF,,,,,,13',,,,Eddie Nketiah
21,23,12/21/19,A,Arsenal,(2.),Fulham ,Fulham (6.),2:1,CF,,,,,,45',,,,Eddie Nketiah
22,24,12/26/19,H,Arsenal,(2.),Preston NE ,Preston NE (5.),1:1,CF,,,,,,26',,,,Eddie Nketiah
23,25,12/29/19,A,Arsenal,(2.),Birmingham ,Birmingham (16.),4:5,CF,,,73',,,81',,,,Eddie Nketiah
24,26,1/1/20,A,Arsenal,(1.),West Brom ,West Brom (2.),1:1,CF,,,,,,45',,,,Eddie Nketiah
