,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/3/19,H,Sheffield Utd.,(20.),Swindon Town ,Swindon Town (2.),0:2,GK,,,,,,90',,,,Jake Eastwood
1,2,8/10/19,A,Sheffield Utd.,(21.),Cheltenham ,Cheltenham (17.),4:1,GK,,,,,,90',,,,Jake Eastwood
2,3,8/17/19,H,Sheffield Utd.,(23.),Crawley Town ,Crawley Town (8.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
3,4,8/20/19,A,Sheffield Utd.,(22.),Cambridge Utd. ,Cambridge Utd. (9.),3:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
4,5,8/24/19,A,Sheffield Utd.,(23.),Macclesfield ,Macclesfield (24.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
5,6,8/31/19,H,Sheffield Utd.,(23.),Carlisle United ,Carlisle United (20.),0:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
6,7,9/7/19,A,Sheffield Utd.,(23.),Mansfield Town ,Mansfield Town (18.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
7,8,9/14/19,H,Sheffield Utd.,(23.),Morecambe FC ,Morecambe FC (19.),3:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
8,9,9/17/19,H,Sheffield Utd.,(22.),Oldham Athletic ,Oldham Athletic (19.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
9,10,9/21/19,A,Sheffield Utd.,(22.),Walsall ,Walsall (19.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
10,11,9/28/19,H,Sheffield Utd.,(22.),Bradford ,Bradford (6.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
11,12,10/5/19,A,Sheffield Utd.,(22.),Plymouth ,Plymouth (12.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
12,13,10/12/19,H,Sheffield Utd.,(21.),Northampt. Town ,Northampt. Town (14.),3:0,,,,,,,35',,,,Jake Eastwood
13,14,10/19/19,A,Sheffield Utd.,(21.),Newport County ,Newport County (5.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
14,15,10/22/19,H,Sheffield Utd.,(21.),Exeter City ,Exeter City (4.),3:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
15,16,10/26/19,A,Sheffield Utd.,(21.),Salford ,Salford (14.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Eastwood
16,17,11/2/19,H,Sheffield Utd.,(21.),Stevenage ,Stevenage (22.),0:0,GK,,,,,,90',,,,Jake Eastwood
17,18,11/16/19,A,Sheffield Utd.,(20.),Leyton Orient ,Leyton Orient (16.),0:2,GK,,,,,,90',,,,Jake Eastwood
18,19,11/23/19,H,Sheffield Utd.,(18.),Port Vale ,Port Vale (9.),2:1,GK,,,,,,90',,,,Jake Eastwood
19,20,12/7/19,A,Sheffield Utd.,(16.),Forest Green ,Forest Green (2.),0:2,GK,,,,,,90',,,,Jake Eastwood
