,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,7,9/7/19,A,Southampton,(2.),Wycombe ,Wycombe (5.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jake Hesketh
1,8,9/14/19,H,Southampton,(6.),Bristol Rovers ,Bristol Rovers (15.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jake Hesketh
2,9,9/17/19,A,Southampton,(8.),Rochdale ,Rochdale (17.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jake Hesketh
3,10,9/21/19,H,Southampton,(10.),Oxford United ,Oxford United (18.),0:6,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jake Hesketh
4,11,9/27/19,A,Southampton,(12.),Blackpool ,Blackpool (6.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jake Hesketh
5,12,10/5/19,H,Southampton,(14.),Sunderland ,Sunderland (5.),2:0,,,,,,,8',,,,Jake Hesketh
6,13,10/12/19,A,Southampton,(14.),Peterborough ,Peterborough (8.),2:0,,,,,,,9',,,,Jake Hesketh
7,14,10/18/19,H,Southampton,(15.),Shrewsbury ,Shrewsbury (12.),0:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Hesketh
8,15,10/22/19,A,Southampton,(15.),Portsmouth ,Portsmouth (11.),1:0,,,,,,,4',,,,Jake Hesketh
9,17,11/2/19,A,Southampton,(15.),AFC Wimbledon ,AFC Wimbledon (21.),1:1,,,,,,,45',,,,Jake Hesketh
10,18,11/16/19,A,Southampton,(15.),Gillingham FC ,Gillingham FC (17.),1:0,AM,,,,,,45',,,,Jake Hesketh
11,20,12/7/19,A,Southampton,(15.),Burton Albion ,Burton Albion (13.),0:2,AM,,,13',,,88',,,,Jake Hesketh
12,21,12/14/19,H,Southampton,(15.),Tranmere Rovers ,Tranmere Rovers (20.),1:0,AM,,,,,,90',,,,Jake Hesketh
13,22,12/21/19,A,Southampton,(14.),Coventry ,Coventry (9.),1:0,AM,,,,,,90',,,,Jake Hesketh
14,23,12/26/19,A,Southampton,(16.),Oxford United ,Oxford United (5.),1:0,AM,,,,,,73',,,,Jake Hesketh
15,24,12/29/19,H,Southampton,(16.),Ipswich ,Ipswich (2.),5:3,AM,1,1,,,,90',,,,Jake Hesketh
16,25,1/1/20,H,Southampton,(16.),Peterborough ,Peterborough (8.),2:1,AM,,,61',,,66',,,,Jake Hesketh
17,26,1/4/20,A,Southampton,(13.),Sunderland ,Sunderland (15.),3:1,AM,,,60',,,79',,,,Jake Hesketh
18,27,1/11/20,A,Southampton,(15.),Shrewsbury ,Shrewsbury (16.),1:1,RM,,,,,,44',,,,Jake Hesketh
19,16,1/14/20,H,Southampton,(16.),Bolton ,Bolton (23.),5:1,AM,,,,,,60',,,,Jake Hesketh
20,28,1/18/20,H,Southampton,(15.),Blackpool ,Blackpool (13.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Hesketh
21,29,1/25/20,A,Southampton,(15.),Ipswich ,Ipswich (3.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Hesketh
22,30,1/28/20,H,Southampton,(15.),Portsmouth ,Portsmouth (5.),0:2,,,,,,,16',,,,Jake Hesketh
23,31,2/1/20,A,Southampton,(15.),Southend United ,Southend United (22.),2:1,,,,,,,18',,,,Jake Hesketh
24,32,2/7/20,H,Southampton,(15.),Rotherham ,Rotherham (1.),0:1,AM,,,,,,72',,,,Jake Hesketh
25,33,2/11/20,H,Southampton,(15.),MK Dons ,MK Dons (19.),1:1,AM,,,,,,58',,,,Jake Hesketh
26,34,2/15/20,A,Southampton,(15.),Accrington ,Accrington (16.),4:3,AM,,,,,,90',,,,Jake Hesketh
27,35,2/22/20,H,Southampton,(16.),Gillingham FC ,Gillingham FC (10.),0:0,AM,,,13',,,57',,,,Jake Hesketh
28,37,3/7/20,H,Southampton,(17.),Burton Albion ,Burton Albion (12.),3:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jake Hesketh
