,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/3/19,A,West Ham,(21.),Swansea ,Swansea (11.),2:1,RW,,,,,,90',,,,Jarrod Bowen
1,2,8/10/19,H,West Ham,(17.),Reading ,Reading (24.),2:1,RW,1,1,,,,90',,,,Jarrod Bowen
2,3,8/17/19,A,West Ham,(13.),Brentford ,Brentford (14.),1:1,RW,1,,,,,90',,,,Jarrod Bowen
3,4,8/20/19,H,West Ham,(11.),Blackburn ,Blackburn (18.),0:1,RW,,,,,,90',,,,Jarrod Bowen
4,5,8/24/19,H,West Ham,(17.),Bristol City ,Bristol City (7.),1:3,RW,1,,,,,90',,,,Jarrod Bowen
5,6,8/31/19,A,West Ham,(20.),Millwall ,Millwall (10.),1:1,RW,,,54',,,90',,,,Jarrod Bowen
6,7,9/14/19,H,West Ham,(20.),Wigan ,Wigan (22.),2:2,RW,1,,,,,90',,,,Jarrod Bowen
7,8,9/21/19,A,West Ham,(20.),Luton ,Luton (16.),0:3,RW,,,,,,90',,,,Jarrod Bowen
8,9,9/28/19,H,West Ham,(14.),Cardiff ,Cardiff (13.),2:2,RW,,1,,,,90',,,,Jarrod Bowen
9,10,10/1/19,H,West Ham,(16.),Sheff Wed ,Sheff Wed (7.),1:0,RW,,,86',,,90',,,,Jarrod Bowen
10,11,10/5/19,A,West Ham,(13.),Huddersfield ,Huddersfield (23.),3:0,RW,,,,,,90',,,,Jarrod Bowen
11,12,10/19/19,H,West Ham,(16.),QPR ,QPR (9.),2:3,RW,1,,,,,90',,,,Jarrod Bowen
12,13,10/23/19,A,West Ham,(19.),Nottm Forest ,Nottm Forest (4.),1:2,RW,1,,88',,,90',,,,Jarrod Bowen
13,14,10/26/19,H,West Ham,(15.),Derby ,Derby (14.),2:0,CF,2,,,,,90',,,,Jarrod Bowen
14,15,11/2/19,A,West Ham,(13.),Fulham ,Fulham (7.),0:3,CF,1,,,,,90',,,,Jarrod Bowen
15,16,11/9/19,H,West Ham,(11.),West Brom ,West Brom (1.),0:1,CF,,,,,,90',,,,Jarrod Bowen
16,17,11/24/19,A,West Ham,(12.),Middlesbrough ,Middlesbrough (22.),2:2,RW,1,,,,,90',,,,Jarrod Bowen
17,18,11/27/19,H,West Ham,(14.),Preston NE ,Preston NE (3.),4:0,SS,2,1,,,,90',,,,Jarrod Bowen
18,19,11/30/19,A,West Ham,(9.),Barnsley FC ,Barnsley FC (24.),3:1,CF,,,,,,90',,,,Jarrod Bowen
19,20,12/7/19,H,West Ham,(12.),Stoke City ,Stoke City (23.),2:1,RW,2,,,,,90',,,,Jarrod Bowen
20,21,12/10/19,A,West Ham,(12.),Leeds ,Leeds (2.),2:0,RW,,,,,,90',,,,Jarrod Bowen
21,22,12/13/19,A,West Ham,(14.),Charlton ,Charlton (18.),2:2,RW,1,,,,,90',,,,Jarrod Bowen
22,23,12/21/19,H,West Ham,(14.),Birmingham ,Birmingham (15.),3:0,SS,,1,,,,90',,,,Jarrod Bowen
23,24,12/26/19,H,West Ham,(11.),Nottm Forest ,Nottm Forest (8.),0:2,RW,,,87',,,90',,,,Jarrod Bowen
24,25,12/29/19,A,West Ham,(13.),QPR ,QPR (14.),1:2,CF,,1,,,,90',,,,Jarrod Bowen
25,26,1/1/20,A,West Ham,(12.),Sheff Wed ,Sheff Wed (6.),0:1,RW,1,,,,,90',,,,Jarrod Bowen
26,27,1/11/20,H,West Ham,(9.),Fulham ,Fulham (5.),0:1,RW,,,67',,,90',,,,Jarrod Bowen
27,28,1/18/20,A,West Ham,(11.),Derby ,Derby (17.),1:0,RW,,,,,,90',,,,Jarrod Bowen
28,29,1/28/20,H,West Ham,(12.),Huddersfield ,Huddersfield (20.),1:2,SS,,1,,,,90',,,,Jarrod Bowen
