,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,H,Burnley,(10.),Southampton ,Southampton (14.),3:0,,,,,,,6',,,,Jay Rodríguez
1,2,8/17/19,A,Burnley,(4.),Arsenal ,Arsenal (7.),2:1,CF,,,,,,29',,,,Jay Rodríguez
2,3,8/25/19,A,Burnley,(10.),Wolves ,Wolves (12.),1:1,CF,,,,,,12',,,,Jay Rodríguez
3,4,8/31/19,H,Burnley,(6.),Liverpool ,Liverpool (1.),0:3,CF,,,,,,17',,,,Jay Rodríguez
4,5,9/14/19,A,Burnley,(12.),Brighton ,Brighton (16.),1:1,CF,,,,,,24',,,,Jay Rodríguez
5,6,9/21/19,H,Burnley,(14.),Norwich ,Norwich (13.),2:0,CF,,,,,,11',,,,Jay Rodríguez
6,7,9/28/19,A,Burnley,(9.),Aston Villa ,Aston Villa (18.),2:2,RW,1,,90',,,45',,,,Jay Rodríguez
7,8,10/5/19,H,Burnley,(11.),Everton ,Everton (15.),1:0,CF,,,,,,17',,,,Jay Rodríguez
8,9,10/19/19,A,Burnley,(7.),Leicester ,Leicester (4.),2:1,CF,,,,,,83',,,,Jay Rodríguez
9,10,10/26/19,H,Burnley,(8.),Chelsea ,Chelsea (4.),2:4,CF,1,,,,,90',,,,Jay Rodríguez
10,11,11/2/19,A,Burnley,(13.),Sheffield Utd. ,Sheffield Utd. (8.),3:0,CF,,,,,,78',,,,Jay Rodríguez
11,12,11/9/19,H,Burnley,(14.),West Ham ,West Ham (13.),3:0,,,,,,,9',,,,Jay Rodríguez
12,13,11/23/19,A,Burnley,(10.),Watford ,Watford (18.),0:3,CF,,,,,,15',,,,Jay Rodríguez
13,14,11/30/19,H,Burnley,(7.),Crystal Palace ,Crystal Palace (13.),0:2,CF,,,,,,28',,,,Jay Rodríguez
14,15,12/3/19,H,Burnley,(10.),Man City ,Man City (3.),1:4,CF,,,,,,31',,,,Jay Rodríguez
15,16,12/7/19,A,Burnley,(12.),Spurs ,Spurs (8.),5:0,SS,,,,,,90',,,,Jay Rodríguez
16,17,12/14/19,H,Burnley,(13.),Newcastle ,Newcastle (11.),1:0,,,,,,,5',,,,Jay Rodríguez
17,18,12/21/19,A,Burnley,(12.),Bournemouth ,Bournemouth (14.),0:1,CF,1,,,,,15',,,,Jay Rodríguez
18,19,12/26/19,A,Burnley,(10.),Everton ,Everton (15.),1:0,SS,,,,,,90',,,,Jay Rodríguez
19,20,12/28/19,H,Burnley,(12.),Man Utd ,Man Utd (8.),0:2,SS,,,,,,31',,,,Jay Rodríguez
20,21,1/1/20,H,Burnley,(13.),Aston Villa ,Aston Villa (18.),1:2,CF,,,,,,45',,,,Jay Rodríguez
21,22,1/11/20,A,Burnley,(15.),Chelsea ,Chelsea (4.),3:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jay Rodríguez
22,23,1/19/20,H,Burnley,(15.),Leicester ,Leicester (3.),2:1,CF,,1,,,,90',,,,Jay Rodríguez
23,24,1/22/20,A,Burnley,(14.),Man Utd ,Man Utd (5.),0:2,CF,1,,,,,90',,,,Jay Rodríguez
24,25,2/2/20,H,Burnley,(13.),Arsenal ,Arsenal (10.),0:0,CF,,,,,,90',,,,Jay Rodríguez
25,26,2/15/20,A,Burnley,(11.),Southampton ,Southampton (13.),1:2,CF,,,,,,90',,,,Jay Rodríguez
26,27,2/22/20,H,Burnley,(11.),Bournemouth ,Bournemouth (16.),3:0,CF,1,,,,,90',,,,Jay Rodríguez
27,28,2/29/20,A,Burnley,(10.),Newcastle ,Newcastle (14.),0:0,CF,,,,,,90',,,,Jay Rodríguez
28,29,3/7/20,H,Burnley,(9.),Spurs ,Spurs (7.),1:1,CF,,,,,,68',,,,Jay Rodríguez
