,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,3,8/25/19,A,Man Utd,(9.),Celtic ,Celtic (1.),3:1,GK,,,,,,90',,,,Joel Pereira
1,4,8/31/19,H,Man Utd,(11.),Hamilton Acad. ,Hamilton Acad. (9.),2:2,Knock,Knock,Knock,Knock,Knock,Knock,Knock,Knock,,,Joel Pereira
2,5,9/14/19,H,Man Utd,(11.),Motherwell FC ,Motherwell FC (5.),2:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Joel Pereira
3,6,9/22/19,A,Man Utd,(12.),Hibernian FC ,Hibernian FC (9.),1:2,GK,,,,,,90',,,,Joel Pereira
4,7,9/28/19,A,Man Utd,(8.),St. Mirren ,St. Mirren (10.),0:0,GK,,,,,,90',,,,Joel Pereira
5,8,10/5/19,H,Man Utd,(9.),Kilmarnock FC ,Kilmarnock FC (7.),0:1,GK,,,,,,90',,,,Joel Pereira
6,9,10/20/19,H,Man Utd,(9.),Rangers ,Rangers (1.),1:1,GK,,,,,,90',,,,Joel Pereira
7,10,10/26/19,A,Man Utd,(10.),Livingston FC ,Livingston FC (7.),0:0,GK,,,,,,90',,,,Joel Pereira
8,11,10/30/19,A,Man Utd,(9.),St. Johnstone ,St. Johnstone (12.),1:0,GK,,,,,,90',,,,Joel Pereira
9,13,11/9/19,H,Man Utd,(11.),St. Mirren ,St. Mirren (12.),5:2,GK,,,,,,90',,,,Joel Pereira
10,14,11/23/19,A,Man Utd,(9.),Kilmarnock FC ,Kilmarnock FC (5.),3:0,GK,,,,,,90',,,,Joel Pereira
11,15,12/1/19,A,Man Utd,(9.),Rangers ,Rangers (2.),5:0,GK,,,,,,90',,,,Joel Pereira
12,16,12/4/19,H,Man Utd,(11.),Livingston FC ,Livingston FC (7.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Joel Pereira
13,17,12/7/19,A,Man Utd,(9.),Motherwell FC ,Motherwell FC (4.),1:0,GK,,,,,,90',,,,Joel Pereira
14,18,12/14/19,H,Man Utd,(10.),St. Johnstone ,St. Johnstone (12.),0:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Joel Pereira
15,12,12/18/19,H,Man Utd,(11.),Celtic ,Celtic (1.),0:2,GK,,,,,,90',,,,Joel Pereira
16,19,12/21/19,A,Man Utd,(11.),Hamilton Acad. ,Hamilton Acad. (12.),2:1,GK,,,,,,90',,,,Joel Pereira
17,20,12/26/19,H,Man Utd,(12.),Hibernian FC ,Hibernian FC (7.),0:2,GK,,,,,,90',,,,Joel Pereira
18,21,12/29/19,H,Man Utd,(12.),Aberdeen FC ,Aberdeen FC (4.),1:1,GK,,,,,,90',,,,Joel Pereira
19,22,1/22/20,A,Man Utd,(12.),Ross County ,Ross County (8.),0:0,GK,,,,,,90',,,,Joel Pereira
20,23,1/26/20,H,Man Utd,(12.),Rangers ,Rangers (2.),2:1,GK,,,,,,90',,,,Joel Pereira
21,24,2/1/20,A,Man Utd,(12.),St. Johnstone ,St. Johnstone (8.),3:3,GK,,,,,,90',,,,Joel Pereira
22,25,2/5/20,H,Man Utd,(11.),Kilmarnock FC ,Kilmarnock FC (7.),2:3,GK,,,,,,90',,,,Joel Pereira
23,26,2/12/20,A,Man Utd,(12.),Celtic ,Celtic (1.),5:0,GK,,,,,,90',,,,Joel Pereira
24,27,2/15/20,H,Man Utd,(12.),Hamilton Acad. ,Hamilton Acad. (11.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Joel Pereira
25,29,3/3/20,A,Man Utd,(12.),Hibernian FC ,Hibernian FC (6.),1:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Joel Pereira
26,30,3/7/20,H,Man Utd,(12.),Motherwell FC ,Motherwell FC (3.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Joel Pereira
27,28,3/11/20,A,Man Utd,(12.),St. Mirren ,St. Mirren (10.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Joel Pereira
