,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,A,Everton,(12.),Crystal Palace ,Crystal Palace (11.),0:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
1,2,8/17/19,H,Everton,(11.),Watford ,Watford (17.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
2,3,8/23/19,A,Everton,(9.),Aston Villa ,Aston Villa (17.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jonas Lössl
3,4,9/1/19,H,Everton,(12.),Wolves ,Wolves (15.),3:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jonas Lössl
4,5,9/15/19,A,Everton,(6.),Bournemouth ,Bournemouth (15.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jonas Lössl
5,6,9/21/19,H,Everton,(11.),Sheffield Utd. ,Sheffield Utd. (15.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jonas Lössl
6,7,9/28/19,H,Everton,(14.),Man City ,Man City (2.),1:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
7,8,10/5/19,A,Everton,(15.),Burnley ,Burnley (11.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
8,9,10/19/19,H,Everton,(18.),West Ham ,West Ham (8.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
9,10,10/26/19,A,Everton,(15.),Brighton ,Brighton (16.),3:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
10,11,11/3/19,H,Everton,(16.),Spurs ,Spurs (11.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
11,12,11/9/19,A,Everton,(17.),Southampton ,Southampton (18.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
12,13,11/23/19,H,Everton,(15.),Norwich ,Norwich (20.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
13,14,12/1/19,A,Everton,(16.),Leicester ,Leicester (2.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
14,15,12/4/19,A,Everton,(17.),Liverpool ,Liverpool (1.),5:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
15,16,12/7/19,H,Everton,(18.),Chelsea ,Chelsea (4.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jonas Lössl
16,17,12/15/19,A,Everton,(14.),Man Utd ,Man Utd (5.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jonas Lössl
17,18,12/21/19,H,Everton,(16.),Arsenal ,Arsenal (10.),0:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jonas Lössl
18,19,12/26/19,H,Everton,(15.),Burnley ,Burnley (10.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jonas Lössl
19,20,12/28/19,A,Everton,(13.),Newcastle ,Newcastle (10.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jonas Lössl
20,21,1/1/20,A,Everton,(10.),Man City ,Man City (3.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jonas Lössl
21,22,1/11/20,H,Everton,(11.),Brighton ,Brighton (14.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
22,23,1/18/20,A,Everton,(11.),West Ham ,West Ham (16.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jonas Lössl
23,24,1/21/20,H,Everton,(11.),Newcastle ,Newcastle (12.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Jonas Lössl
