,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/4/19,H,Burnley,(7.),Leeds ,Leeds (1.),1:3,CM,,,,,,90',,,,Josh Brownhill
1,2,8/10/19,A,Burnley,(23.),Birmingham ,Birmingham (9.),1:1,CM,,,,,,90',,,,Josh Brownhill
2,3,8/17/19,H,Burnley,(21.),QPR ,QPR (5.),2:0,CM,,,,,,90',,,,Josh Brownhill
3,4,8/20/19,A,Burnley,(10.),Derby ,Derby (8.),1:2,CM,1,,75',,,90',,,,Josh Brownhill
4,5,8/24/19,A,Burnley,(7.),Hull City ,Hull City (17.),1:3,CM,,,,,,90',,,,Josh Brownhill
5,6,8/31/19,H,Burnley,(4.),Middlesbrough ,Middlesbrough (17.),2:2,CM,,,,,,90',,,,Josh Brownhill
6,7,9/14/19,A,Burnley,(5.),Stoke City ,Stoke City (24.),1:2,CM,,,60',,,90',,,,Josh Brownhill
7,8,9/21/19,H,Burnley,(4.),Swansea ,Swansea (2.),0:0,CM,,,,,,90',,,,Josh Brownhill
8,9,9/28/19,A,Burnley,(7.),Preston NE ,Preston NE (3.),3:3,CM,,1,,,,90',,,,Josh Brownhill
9,10,10/2/19,A,Burnley,(8.),Brentford ,Brentford (14.),1:1,CM,,,,,,90',,,,Josh Brownhill
10,11,10/5/19,H,Burnley,(7.),Reading ,Reading (21.),1:0,CM,,,,,,90',,,,Josh Brownhill
11,12,10/19/19,A,Burnley,(6.),Luton ,Luton (18.),3:0,CM,,,,,,90',,,,Josh Brownhill
12,13,10/23/19,H,Burnley,(9.),Charlton ,Charlton (7.),2:1,CM,1,,,,,90',,,,Josh Brownhill
13,14,10/27/19,H,Burnley,(4.),Wigan ,Wigan (19.),2:2,CM,,,,,,90',,,,Josh Brownhill
14,15,11/1/19,A,Burnley,(6.),Barnsley FC ,Barnsley FC (24.),2:2,CM,,,,,,30',,,,Josh Brownhill
15,16,11/10/19,A,Burnley,(6.),Cardiff ,Cardiff (14.),0:1,CM,1,,,,,90',,,,Josh Brownhill
16,17,11/23/19,H,Burnley,(6.),Nottm Forest ,Nottm Forest (4.),0:0,CM,,,,,,90',,,,Josh Brownhill
17,18,11/27/19,A,Burnley,(7.),West Brom ,West Brom (1.),4:1,AM,,,,,,90',,,,Josh Brownhill
18,19,11/30/19,H,Burnley,(7.),Huddersfield ,Huddersfield (19.),5:2,RM,1,1,,,,90',,,,Josh Brownhill
19,20,12/7/19,A,Burnley,(5.),Fulham ,Fulham (3.),1:2,RM,1,,,,,90',,,,Josh Brownhill
20,21,12/10/19,H,Burnley,(4.),Millwall ,Millwall (15.),1:2,RM,,,,,,90',,,,Josh Brownhill
21,22,12/14/19,H,Burnley,(5.),Blackburn ,Blackburn (10.),0:2,RM,,,,,,90',,,,Josh Brownhill
22,23,12/22/19,A,Burnley,(8.),Sheff Wed ,Sheff Wed (5.),1:0,CM,,,,,,90',,,,Josh Brownhill
23,24,12/26/19,A,Burnley,(10.),Charlton ,Charlton (18.),3:2,CM,,,18',,,90',,,,Josh Brownhill
24,25,12/29/19,H,Burnley,(10.),Luton ,Luton (22.),3:0,CM,,,,,,90',,,,Josh Brownhill
25,26,1/1/20,H,Burnley,(8.),Brentford ,Brentford (5.),0:4,CM,,,,,,90',,,,Josh Brownhill
26,27,1/11/20,A,Burnley,(11.),Wigan ,Wigan (22.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Josh Brownhill
27,28,1/18/20,H,Burnley,(9.),Barnsley FC ,Barnsley FC (22.),1:0,CM,,,,,,90',,,,Josh Brownhill
28,29,1/28/20,A,Burnley,(8.),Reading ,Reading (15.),0:1,CM,,,74',,,90',,,,Josh Brownhill
