,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,6,8/31/19,H,Bournemouth,(3.),Newport County ,Newport County (4.),0:2,LW,,,,,,59',,,,Kyle Taylor
1,7,9/7/19,A,Bournemouth,(8.),Cambridge Utd. ,Cambridge Utd. (12.),0:1,AM,,,,,,74',,,,Kyle Taylor
2,8,9/14/19,H,Bournemouth,(5.),Colchester Utd. ,Colchester Utd. (12.),1:0,AM,,,,,,60',,,,Kyle Taylor
3,9,9/17/19,A,Bournemouth,(3.),Carlisle United ,Carlisle United (14.),0:0,AM,,,,,,73',,,,Kyle Taylor
4,10,9/21/19,H,Bournemouth,(5.),Stevenage ,Stevenage (23.),0:0,,,,48',86',,86',,,,Kyle Taylor
5,11,9/28/19,A,Bournemouth,(5.),Salford ,Salford (16.),0:4,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
6,12,10/5/19,H,Bournemouth,(4.),Crawley Town ,Crawley Town (10.),3:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kyle Taylor
7,13,10/12/19,A,Bournemouth,(1.),Exeter City ,Exeter City (2.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kyle Taylor
8,14,10/19/19,H,Bournemouth,(4.),Mansfield Town ,Mansfield Town (14.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kyle Taylor
9,15,10/22/19,A,Bournemouth,(6.),Morecambe FC ,Morecambe FC (22.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kyle Taylor
10,17,11/2/19,A,Bournemouth,(3.),Cheltenham ,Cheltenham (2.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kyle Taylor
11,18,11/16/19,H,Bournemouth,(1.),Plymouth ,Plymouth (8.),0:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kyle Taylor
12,19,11/23/19,A,Bournemouth,(3.),Leyton Orient ,Leyton Orient (17.),2:4,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kyle Taylor
13,16,11/26/19,H,Bournemouth,(3.),Crewe Alexandra ,Crewe Alexandra (1.),0:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kyle Taylor
14,20,12/7/19,H,Bournemouth,(2.),Scunthorpe Utd. ,Scunthorpe Utd. (16.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kyle Taylor
15,21,12/14/19,A,Bournemouth,(5.),Northampt. Town ,Northampt. Town (8.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
16,22,12/21/19,H,Bournemouth,(7.),Swindon Town ,Swindon Town (1.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
17,23,12/26/19,A,Bournemouth,(7.),Stevenage ,Stevenage (23.),0:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
18,24,12/29/19,H,Bournemouth,(7.),Macclesfield ,Macclesfield (24.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
19,25,1/1/20,H,Bournemouth,(6.),Exeter City ,Exeter City (2.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
20,26,1/4/20,A,Bournemouth,(7.),Crawley Town ,Crawley Town (17.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
