,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/17/19,A,Newcastle,(10.),Bor. M'gladbach ,Bor. M'gladbach (4.),0:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Nabil Bentaleb
1,2,8/24/19,H,Newcastle,(11.),Bayern Munich ,Bayern Munich (8.),0:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Nabil Bentaleb
2,3,8/31/19,H,Newcastle,(12.),Hertha BSC ,Hertha BSC (11.),3:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Nabil Bentaleb
3,4,9/15/19,A,Newcastle,(10.),SC Paderborn ,SC Paderborn (15.),1:5,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,,,Nabil Bentaleb
4,5,9/20/19,H,Newcastle,(6.),1.FSV Mainz 05 ,1.FSV Mainz 05 (16.),2:1,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,,,Nabil Bentaleb
5,6,9/28/19,A,Newcastle,(5.),RB Leipzig ,RB Leipzig (1.),1:3,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,,,Nabil Bentaleb
6,7,10/5/19,H,Newcastle,(4.),1. FC Köln ,1. FC Köln (17.),1:1,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,,,Nabil Bentaleb
7,8,10/20/19,A,Newcastle,(6.),TSG Hoffenheim ,TSG Hoffenheim (12.),2:0,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,,,Nabil Bentaleb
8,9,10/26/19,H,Newcastle,(7.),Bor. Dortmund ,Bor. Dortmund (4.),0:0,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,,,Nabil Bentaleb
9,10,11/3/19,A,Newcastle,(7.),FC Augsburg ,FC Augsburg (17.),2:3,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,,,Nabil Bentaleb
10,11,11/9/19,H,Newcastle,(6.),F. Düsseldorf ,F. Düsseldorf (13.),3:3,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,Torn Meniscus,,,Nabil Bentaleb
11,12,11/23/19,A,Newcastle,(7.),Werder Bremen ,Werder Bremen (14.),1:2,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,,,Nabil Bentaleb
12,13,11/29/19,H,Newcastle,(5.),Union Berlin ,Union Berlin (11.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Nabil Bentaleb
13,14,12/7/19,A,Newcastle,(3.),Bay. Leverkusen ,Bay. Leverkusen (7.),2:1,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,,,Nabil Bentaleb
14,15,12/15/19,H,Newcastle,(4.),E. Frankfurt ,E. Frankfurt (11.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Nabil Bentaleb
15,16,12/18/19,A,Newcastle,(4.),VfL Wolfsburg ,VfL Wolfsburg (8.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Nabil Bentaleb
16,17,12/21/19,H,Newcastle,(5.),SC Freiburg ,SC Freiburg (6.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Nabil Bentaleb
17,18,1/17/20,H,Newcastle,(5.),Bor. M'gladbach ,Bor. M'gladbach (2.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Nabil Bentaleb
