,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,7,9/7/19,H,Bournemouth,(5.),Lincoln City ,Lincoln City (2.),3:1,,,,,,,31',,,,Nnamdi Ofoborh
1,8,9/14/19,A,Bournemouth,(2.),Gillingham FC ,Gillingham FC (17.),2:0,CM,,,,,,90',,,,Nnamdi Ofoborh
2,9,9/17/19,H,Bournemouth,(3.),Accrington ,Accrington (20.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Nnamdi Ofoborh
3,10,9/21/19,H,Bournemouth,(3.),Portsmouth ,Portsmouth (11.),1:0,,,,,,54',32',,,,Nnamdi Ofoborh
4,11,9/28/19,A,Bournemouth,(3.),Rochdale ,Rochdale (18.),0:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Nnamdi Ofoborh
5,12,10/5/19,H,Bournemouth,(2.),Peterborough ,Peterborough (8.),3:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Nnamdi Ofoborh
6,14,10/19/19,H,Bournemouth,(2.),Sunderland ,Sunderland (7.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Nnamdi Ofoborh
7,15,10/22/19,A,Bournemouth,(2.),Blackpool ,Blackpool (8.),1:1,,,,,,,5',,,,Nnamdi Ofoborh
8,16,10/26/19,A,Bournemouth,(2.),Rotherham ,Rotherham (11.),0:1,,,,,,,7',,,,Nnamdi Ofoborh
9,17,11/2/19,H,Bournemouth,(2.),Shrewsbury ,Shrewsbury (8.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Nnamdi Ofoborh
10,18,11/17/19,A,Bournemouth,(2.),Tranmere Rovers ,Tranmere Rovers (18.),0:2,,,,,,,12',,,,Nnamdi Ofoborh
11,19,11/23/19,H,Bournemouth,(1.),Doncaster ,Doncaster (3.),1:0,DM,,,,,,90',,,,Nnamdi Ofoborh
12,13,11/26/19,A,Bournemouth,(2.),Ipswich ,Ipswich (1.),0:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Nnamdi Ofoborh
13,21,12/14/19,H,Bournemouth,(1.),Burton Albion ,Burton Albion (13.),2:0,CM,,,,,,90',,,,Nnamdi Ofoborh
14,22,12/21/19,A,Bournemouth,(1.),Oxford United ,Oxford United (7.),1:0,,,,90',,,81',,,,Nnamdi Ofoborh
15,23,12/26/19,A,Bournemouth,(1.),Portsmouth ,Portsmouth (10.),2:0,DM,,,,,,90',,,,Nnamdi Ofoborh
16,24,12/29/19,H,Bournemouth,(1.),Coventry ,Coventry (10.),1:4,CM,,,,,,90',,,,Nnamdi Ofoborh
17,25,1/1/20,H,Bournemouth,(1.),Ipswich ,Ipswich (5.),1:1,DM,,,,,,90',,,,Nnamdi Ofoborh
18,27,1/11/20,A,Bournemouth,(1.),Sunderland ,Sunderland (13.),4:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Nnamdi Ofoborh
19,28,1/18/20,H,Bournemouth,(2.),Rochdale ,Rochdale (18.),2:1,,,,,,,3',,,,Nnamdi Ofoborh
20,26,1/21/20,A,Bournemouth,(1.),Peterborough ,Peterborough (9.),4:0,DM,,,,,,78',,,,Nnamdi Ofoborh
21,30,1/28/20,H,Bournemouth,(4.),Blackpool ,Blackpool (14.),2:1,,,,,,,5',,,,Nnamdi Ofoborh
22,31,2/1/20,A,Bournemouth,(2.),MK Dons ,MK Dons (20.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Nnamdi Ofoborh
23,32,2/8/20,H,Bournemouth,(4.),Bristol Rovers ,Bristol Rovers (13.),3:1,,,,,,,1',,,,Nnamdi Ofoborh
24,33,2/11/20,H,Bournemouth,(3.),Fleetwood ,Fleetwood (7.),0:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Nnamdi Ofoborh
25,34,2/15/20,A,Bournemouth,(6.),Bolton ,Bolton (23.),0:2,,,,,,,17',,,,Nnamdi Ofoborh
26,35,2/22/20,H,Bournemouth,(5.),Tranmere Rovers ,Tranmere Rovers (21.),3:1,,,,,,,18',,,,Nnamdi Ofoborh
27,36,2/29/20,A,Bournemouth,(4.),Doncaster ,Doncaster (11.),3:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Nnamdi Ofoborh
