,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,A,Sheffield Utd.,(7.),Bournemouth ,Bournemouth (18.),1:1,DM,,,,,,90',,,,Oliver Norwood
1,2,8/18/19,H,Sheffield Utd.,(9.),Crystal Palace ,Crystal Palace (13.),1:0,DM,,,,,,90',,,,Oliver Norwood
2,3,8/24/19,H,Sheffield Utd.,(8.),Leicester ,Leicester (13.),1:2,DM,,,,,,90',,,,Oliver Norwood
3,4,8/31/19,A,Sheffield Utd.,(9.),Chelsea ,Chelsea (13.),2:2,DM,,,,,,90',,,,Oliver Norwood
4,5,9/14/19,H,Sheffield Utd.,(10.),Southampton ,Southampton (13.),0:1,DM,,,,,,90',,,,Oliver Norwood
5,6,9/21/19,A,Sheffield Utd.,(15.),Everton ,Everton (11.),0:2,CM,,,16',,,64',,,,Oliver Norwood
6,7,9/28/19,H,Sheffield Utd.,(10.),Liverpool ,Liverpool (1.),0:1,CM,,,,,,77',,,,Oliver Norwood
7,8,10/5/19,A,Sheffield Utd.,(12.),Watford ,Watford (20.),0:0,DM,,,,,,90',,,,Oliver Norwood
8,9,10/21/19,H,Sheffield Utd.,(13.),Arsenal ,Arsenal (3.),1:0,DM,,,,,,85',,,,Oliver Norwood
9,10,10/26/19,A,Sheffield Utd.,(9.),West Ham ,West Ham (11.),1:1,DM,,,,,,63',,,,Oliver Norwood
10,11,11/2/19,H,Sheffield Utd.,(8.),Burnley ,Burnley (13.),3:0,DM,,,,,,90',,,,Oliver Norwood
11,12,11/9/19,A,Sheffield Utd.,(6.),Spurs ,Spurs (11.),1:1,DM,,,18',,,90',,,,Oliver Norwood
12,13,11/24/19,H,Sheffield Utd.,(5.),Man Utd ,Man Utd (7.),3:3,DM,,,,,,90',,,,Oliver Norwood
13,14,12/1/19,A,Sheffield Utd.,(6.),Wolves ,Wolves (5.),1:1,DM,,,,,,90',,,,Oliver Norwood
14,15,12/5/19,H,Sheffield Utd.,(7.),Newcastle ,Newcastle (14.),0:2,DM,,,,,,72',,,,Oliver Norwood
15,16,12/8/19,A,Sheffield Utd.,(9.),Norwich ,Norwich (19.),1:2,DM,,,40',,,65',,,,Oliver Norwood
16,17,12/14/19,H,Sheffield Utd.,(8.),Aston Villa ,Aston Villa (17.),2:0,DM,,,12',,,86',,,,Oliver Norwood
17,18,12/21/19,A,Sheffield Utd.,(7.),Brighton ,Brighton (13.),0:1,DM,,,,,,82',,,,Oliver Norwood
18,19,12/26/19,H,Sheffield Utd.,(5.),Watford ,Watford (20.),1:1,DM,1,,,,,90',,,,Oliver Norwood
19,20,12/29/19,A,Sheffield Utd.,(7.),Man City ,Man City (3.),2:0,DM,,,,,,90',,,,Oliver Norwood
20,21,1/2/20,A,Sheffield Utd.,(8.),Liverpool ,Liverpool (1.),2:0,DM,,,,,,78',,,,Oliver Norwood
21,22,1/10/20,H,Sheffield Utd.,(8.),West Ham ,West Ham (16.),1:0,DM,,,,,,90',,,,Oliver Norwood
22,23,1/18/20,A,Sheffield Utd.,(6.),Arsenal ,Arsenal (10.),1:1,CM,,,4',,,90',,,,Oliver Norwood
23,24,1/21/20,H,Sheffield Utd.,(7.),Man City ,Man City (2.),0:1,CM,,,24',,,90',,,,Oliver Norwood
24,25,2/1/20,A,Sheffield Utd.,(8.),Crystal Palace ,Crystal Palace (11.),0:1,CM,,,,,,90',,,,Oliver Norwood
25,26,2/9/20,H,Sheffield Utd.,(6.),Bournemouth ,Bournemouth (16.),2:1,CM,,,,,,90',,,,Oliver Norwood
26,27,2/22/20,H,Sheffield Utd.,(6.),Brighton ,Brighton (15.),1:1,DM,,,,,,90',,,,Oliver Norwood
27,29,3/7/20,H,Sheffield Utd.,(8.),Norwich ,Norwich (20.),1:0,AM,,,,,,90',,,,Oliver Norwood
