,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/16/19,A,Norwich,(9.),Bayern Munich ,Bayern Munich (1.),2:2,AM,,1,,,,78',,,,Ondrej Duda
1,2,8/25/19,H,Norwich,(9.),VfL Wolfsburg ,VfL Wolfsburg (6.),0:3,AM,,,36',,,75',,,,Ondrej Duda
2,3,8/31/19,A,Norwich,(11.),FC Schalke 04 ,FC Schalke 04 (12.),3:0,AM,,,,,,90',,,,Ondrej Duda
3,4,9/14/19,A,Norwich,(17.),1.FSV Mainz 05 ,1.FSV Mainz 05 (18.),2:1,AM,,,,,,69',,,,Ondrej Duda
4,5,9/21/19,H,Norwich,(18.),SC Paderborn ,SC Paderborn (17.),2:1,AM,,,,,,45',,,,Ondrej Duda
5,6,9/29/19,A,Norwich,(15.),1. FC Köln ,1. FC Köln (16.),0:4,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ondrej Duda
6,7,10/4/19,H,Norwich,(10.),F. Düsseldorf ,F. Düsseldorf (14.),3:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ondrej Duda
7,8,10/19/19,A,Norwich,(10.),Werder Bremen ,Werder Bremen (11.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ondrej Duda
8,9,10/26/19,H,Norwich,(10.),TSG Hoffenheim ,TSG Hoffenheim (11.),2:3,AM,,,,,,45',,,,Ondrej Duda
9,10,11/2/19,A,Norwich,(11.),Union Berlin ,Union Berlin (15.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ondrej Duda
10,11,11/9/19,H,Norwich,(11.),RB Leipzig ,RB Leipzig (3.),2:4,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ondrej Duda
11,12,11/24/19,A,Norwich,(12.),FC Augsburg ,FC Augsburg (15.),4:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ondrej Duda
12,13,11/30/19,H,Norwich,(15.),Bor. Dortmund ,Bor. Dortmund (6.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ondrej Duda
13,14,12/6/19,A,Norwich,(16.),E. Frankfurt ,E. Frankfurt (10.),2:2,AM,,,9',,,49',,,,Ondrej Duda
14,15,12/14/19,H,Norwich,(15.),SC Freiburg ,SC Freiburg (5.),1:0,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,,,Ondrej Duda
15,16,12/18/19,A,Norwich,(13.),Bay. Leverkusen ,Bay. Leverkusen (7.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ondrej Duda
16,17,12/21/19,H,Norwich,(13.),Bor. M'gladbach ,Bor. M'gladbach (2.),0:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ondrej Duda
