,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/17/19,H,Sheffield Utd.,(5.),SC Paderborn ,SC Paderborn (18.),3:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
1,2,8/24/19,A,Sheffield Utd.,(5.),F. Düsseldorf ,F. Düsseldorf (4.),1:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
2,3,8/31/19,H,Sheffield Utd.,(5.),TSG Hoffenheim ,TSG Hoffenheim (9.),0:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Panagiotis Retsos
3,4,9/14/19,A,Sheffield Utd.,(4.),Bor. Dortmund ,Bor. Dortmund (5.),4:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
4,5,9/21/19,H,Sheffield Utd.,(8.),Union Berlin ,Union Berlin (12.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
5,6,9/28/19,A,Sheffield Utd.,(7.),FC Augsburg ,FC Augsburg (12.),0:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
6,7,10/5/19,H,Sheffield Utd.,(6.),RB Leipzig ,RB Leipzig (2.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
7,8,10/18/19,A,Sheffield Utd.,(7.),E. Frankfurt ,E. Frankfurt (9.),3:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
8,9,10/26/19,H,Sheffield Utd.,(9.),Werder Bremen ,Werder Bremen (12.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
9,10,11/2/19,H,Sheffield Utd.,(8.),Bor. M'gladbach ,Bor. M'gladbach (1.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
10,11,11/10/19,A,Sheffield Utd.,(10.),VfL Wolfsburg ,VfL Wolfsburg (8.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
11,12,11/23/19,H,Sheffield Utd.,(8.),SC Freiburg ,SC Freiburg (4.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
12,13,11/30/19,A,Sheffield Utd.,(9.),Bayern Munich ,Bayern Munich (3.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
13,14,12/7/19,H,Sheffield Utd.,(7.),FC Schalke 04 ,FC Schalke 04 (3.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
14,15,12/14/19,A,Sheffield Utd.,(6.),1. FC Köln ,1. FC Köln (18.),2:0,CB,,,,,,24',,,,Panagiotis Retsos
15,16,12/18/19,H,Sheffield Utd.,(7.),Hertha BSC ,Hertha BSC (13.),0:1,,,,,,,45',,,,Panagiotis Retsos
16,17,12/21/19,A,Sheffield Utd.,(7.),1.FSV Mainz 05 ,1.FSV Mainz 05 (14.),0:1,RB,,,,,,45',,,,Panagiotis Retsos
17,18,1/19/20,A,Sheffield Utd.,(6.),SC Paderborn ,SC Paderborn (18.),1:4,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
18,19,1/26/20,H,Sheffield Utd.,(6.),F. Düsseldorf ,F. Düsseldorf (17.),3:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Panagiotis Retsos
