,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,H,Crystal Palace,(11.),Everton ,Everton (12.),0:0,LB,,,,,,90',,,,Patrick van Aanholt
1,2,8/18/19,A,Crystal Palace,(13.),Sheffield Utd. ,Sheffield Utd. (9.),1:0,LB,,,,,,90',,,,Patrick van Aanholt
2,3,8/24/19,A,Crystal Palace,(14.),Man Utd ,Man Utd (4.),1:2,LB,1,,,,,90',,,,Patrick van Aanholt
3,4,8/31/19,H,Crystal Palace,(10.),Aston Villa ,Aston Villa (16.),1:0,LB,,,,,,90',,,,Patrick van Aanholt
4,5,9/14/19,A,Crystal Palace,(4.),Spurs ,Spurs (9.),4:0,LB,,,,,,90',,,,Patrick van Aanholt
5,6,9/22/19,H,Crystal Palace,(12.),Wolves ,Wolves (19.),1:1,LB,,,,,,90',,,,Patrick van Aanholt
6,7,9/28/19,H,Crystal Palace,(12.),Norwich ,Norwich (16.),2:0,LB,,,,,,90',,,,Patrick van Aanholt
7,8,10/5/19,A,Crystal Palace,(9.),West Ham ,West Ham (5.),1:2,LB,1,,,,,90',,,,Patrick van Aanholt
8,9,10/19/19,H,Crystal Palace,(6.),Man City ,Man City (2.),0:2,LB,,,,,,90',,,,Patrick van Aanholt
9,10,10/27/19,A,Crystal Palace,(6.),Arsenal ,Arsenal (5.),2:2,LB,,,,,,90',,,,Patrick van Aanholt
10,11,11/3/19,H,Crystal Palace,(6.),Leicester ,Leicester (3.),0:2,LB,,,,,,90',,,,Patrick van Aanholt
11,12,11/9/19,A,Crystal Palace,(9.),Chelsea ,Chelsea (4.),2:0,LB,,,,,,90',,,,Patrick van Aanholt
12,13,11/23/19,H,Crystal Palace,(12.),Liverpool ,Liverpool (1.),1:2,LB,,,,,,90',,,,Patrick van Aanholt
13,14,11/30/19,A,Crystal Palace,(13.),Burnley ,Burnley (7.),0:2,LB,,,,,,90',,,,Patrick van Aanholt
14,15,12/3/19,H,Crystal Palace,(11.),Bournemouth ,Bournemouth (12.),1:0,LB,,,,,,29',,,,Patrick van Aanholt
15,16,12/7/19,A,Crystal Palace,(7.),Watford ,Watford (20.),0:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick van Aanholt
16,17,12/16/19,H,Crystal Palace,(10.),Brighton ,Brighton (12.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick van Aanholt
17,18,12/21/19,A,Crystal Palace,(9.),Newcastle ,Newcastle (11.),1:0,LB,,,,,,90',,,,Patrick van Aanholt
18,19,12/26/19,H,Crystal Palace,(12.),West Ham ,West Ham (16.),2:1,LB,,,,,,65',,,,Patrick van Aanholt
19,20,12/28/19,A,Crystal Palace,(9.),Southampton ,Southampton (14.),1:1,Knock,Knock,Knock,Knock,Knock,Knock,Knock,Knock,,,Patrick van Aanholt
20,21,1/1/20,A,Crystal Palace,(9.),Norwich ,Norwich (20.),1:1,Knock,Knock,Knock,Knock,Knock,Knock,Knock,Knock,,,Patrick van Aanholt
21,22,1/11/20,H,Crystal Palace,(9.),Arsenal ,Arsenal (10.),1:1,Knock,Knock,Knock,Knock,Knock,Knock,Knock,Knock,,,Patrick van Aanholt
22,23,1/18/20,A,Crystal Palace,(9.),Man City ,Man City (2.),2:2,Knock,Knock,Knock,Knock,Knock,Knock,Knock,Knock,,,Patrick van Aanholt
23,24,1/21/20,H,Crystal Palace,(9.),Southampton ,Southampton (13.),0:2,Knock,Knock,Knock,Knock,Knock,Knock,Knock,Knock,,,Patrick van Aanholt
24,25,2/1/20,H,Crystal Palace,(11.),Sheffield Utd. ,Sheffield Utd. (8.),0:1,LB,,,,,,90',,,,Patrick van Aanholt
25,26,2/8/20,A,Crystal Palace,(14.),Everton ,Everton (9.),3:1,LB,,,,,,90',,,,Patrick van Aanholt
26,27,2/22/20,H,Crystal Palace,(14.),Newcastle ,Newcastle (13.),1:0,LB,1,,,,,90',,,,Patrick van Aanholt
27,28,2/29/20,A,Crystal Palace,(13.),Brighton ,Brighton (15.),0:1,LB,,,,,,90',,,,Patrick van Aanholt
28,29,3/7/20,H,Crystal Palace,(12.),Watford ,Watford (17.),1:0,LB,,,,,,90',,,,Patrick van Aanholt
