,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,7,9/7/19,H,Newcastle,(5.),Lincoln City ,Lincoln City (2.),3:1,,,,,,,1',,,,Rolando Aarons
1,8,9/14/19,A,Newcastle,(2.),Gillingham FC ,Gillingham FC (17.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Rolando Aarons
2,9,9/17/19,H,Newcastle,(3.),Accrington ,Accrington (20.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Rolando Aarons
3,10,9/21/19,H,Newcastle,(3.),Portsmouth ,Portsmouth (11.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Rolando Aarons
4,11,9/28/19,A,Newcastle,(3.),Rochdale ,Rochdale (18.),0:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Rolando Aarons
5,12,10/5/19,H,Newcastle,(2.),Peterborough ,Peterborough (8.),3:3,,,,,,,47',,,,Rolando Aarons
6,14,10/19/19,H,Newcastle,(2.),Sunderland ,Sunderland (7.),1:0,LM,,,,,,90',,,,Rolando Aarons
7,15,10/22/19,A,Newcastle,(2.),Blackpool ,Blackpool (8.),1:1,,,,,,,20',,,,Rolando Aarons
8,16,10/26/19,A,Newcastle,(2.),Rotherham ,Rotherham (11.),0:1,LW,,,7',,,77',,,,Rolando Aarons
9,17,11/2/19,H,Newcastle,(2.),Shrewsbury ,Shrewsbury (8.),1:0,LW,1,,,,,80',,,,Rolando Aarons
10,18,11/17/19,A,Newcastle,(2.),Tranmere Rovers ,Tranmere Rovers (18.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Rolando Aarons
11,19,11/23/19,H,Newcastle,(1.),Doncaster ,Doncaster (3.),1:0,,,,,,,16',,,,Rolando Aarons
12,13,11/26/19,A,Newcastle,(2.),Ipswich ,Ipswich (1.),0:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Rolando Aarons
13,21,12/14/19,H,Newcastle,(1.),Burton Albion ,Burton Albion (13.),2:0,LW,,,,,,66',,,,Rolando Aarons
14,22,12/21/19,A,Newcastle,(1.),Oxford United ,Oxford United (7.),1:0,,,,,,,9',,,,Rolando Aarons
15,23,12/26/19,A,Newcastle,(1.),Portsmouth ,Portsmouth (10.),2:0,RW,,,64',,,67',,,,Rolando Aarons
16,24,12/29/19,H,Newcastle,(1.),Coventry ,Coventry (10.),1:4,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Rolando Aarons
17,25,1/1/20,H,Newcastle,(1.),Ipswich ,Ipswich (5.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Rolando Aarons
18,27,1/11/20,A,Newcastle,(1.),Sunderland ,Sunderland (13.),4:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Rolando Aarons
