,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,5,8/24/19,H,Crystal Palace,(11.),Crewe Alexandra ,Crewe Alexandra (1.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ryan Inniss
1,6,8/31/19,A,Crystal Palace,(4.),Forest Green ,Forest Green (3.),0:2,CB,,,,,,90',,,,Ryan Inniss
2,7,9/7/19,H,Crystal Palace,(2.),Port Vale ,Port Vale (9.),1:0,CB,,,,,,90',,,,Ryan Inniss
3,8,9/14/19,A,Crystal Palace,(2.),Northampt. Town ,Northampt. Town (17.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Inniss
4,9,9/17/19,A,Crystal Palace,(4.),Macclesfield ,Macclesfield (24.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Inniss
5,10,9/21/19,H,Crystal Palace,(6.),Exeter City ,Exeter City (1.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Inniss
6,11,9/28/19,A,Crystal Palace,(7.),Swindon Town ,Swindon Town (4.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Inniss
7,12,10/5/19,H,Crystal Palace,(6.),Carlisle United ,Carlisle United (16.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Inniss
8,14,10/19/19,H,Crystal Palace,(5.),Scunthorpe Utd. ,Scunthorpe Utd. (21.),2:1,CB,,,,,,90',,,,Ryan Inniss
9,15,10/22/19,H,Crystal Palace,(3.),Crawley Town ,Crawley Town (12.),1:1,CB,,,,,,90',,,,Ryan Inniss
10,16,10/26/19,A,Crystal Palace,(5.),Colchester Utd. ,Colchester Utd. (12.),3:1,CB,,,41',,,90',,,,Ryan Inniss
11,17,11/2/19,H,Crystal Palace,(7.),Salford ,Salford (12.),1:2,CB,,,,,,90',,,,Ryan Inniss
12,19,11/23/19,H,Crystal Palace,(11.),Oldham Athletic ,Oldham Athletic (21.),0:1,CB,,,89',,,90',,,,Ryan Inniss
13,20,12/7/19,A,Crystal Palace,(11.),Bradford ,Bradford (6.),1:0,CB,,,,,,90',,,,Ryan Inniss
14,21,12/14/19,H,Crystal Palace,(12.),Stevenage ,Stevenage (22.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Inniss
15,22,12/21/19,A,Crystal Palace,(12.),Morecambe FC ,Morecambe FC (23.),2:1,,,,,,,19',,,,Ryan Inniss
16,23,12/26/19,A,Crystal Palace,(13.),Exeter City ,Exeter City (2.),1:0,CB,,,,,,90',,,,Ryan Inniss
17,24,12/29/19,H,Crystal Palace,(14.),Leyton Orient ,Leyton Orient (19.),1:1,CB,,,,,,79',,,,Ryan Inniss
18,25,1/1/20,H,Crystal Palace,(13.),Cheltenham ,Cheltenham (8.),1:1,,,,45',,,90',,,,Ryan Inniss
19,27,1/11/20,A,Crystal Palace,(16.),Scunthorpe Utd. ,Scunthorpe Utd. (15.),1:2,CB,,1,40',,,90',,,,Ryan Inniss
20,28,1/18/20,H,Crystal Palace,(11.),Swindon Town ,Swindon Town (1.),2:0,CB,,,,,,90',,,,Ryan Inniss
21,29,1/25/20,A,Crystal Palace,(11.),Leyton Orient ,Leyton Orient (20.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Inniss
22,30,1/28/20,H,Crystal Palace,(11.),Macclesfield ,Macclesfield (22.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Inniss
23,31,2/1/20,A,Crystal Palace,(12.),Plymouth ,Plymouth (2.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Inniss
24,32,2/8/20,H,Crystal Palace,(13.),Cambridge Utd. ,Cambridge Utd. (18.),0:1,CB,,,,,,90',,,,Ryan Inniss
25,33,2/11/20,H,Crystal Palace,(13.),Walsall ,Walsall (14.),0:0,CB,,,,,,90',,,,Ryan Inniss
26,34,2/15/20,A,Crystal Palace,(15.),Mansfield Town ,Mansfield Town (21.),1:0,CB,,,49',,,90',,,,Ryan Inniss
27,35,2/22/20,H,Crystal Palace,(16.),Bradford ,Bradford (9.),2:1,CB,1,,38',,,90',,,,Ryan Inniss
28,18,2/25/20,A,Crystal Palace,(7.),Grimsby Town ,Grimsby Town (15.),4:2,CB,,,39',,,45',,,,Ryan Inniss
29,36,2/29/20,A,Crystal Palace,(16.),Oldham Athletic ,Oldham Athletic (20.),5:0,CB,,,,,,90',,,,Ryan Inniss
30,37,3/7/20,H,Crystal Palace,(16.),Morecambe FC ,Morecambe FC (22.),1:0,CB,,,,,,90',,,,Ryan Inniss
31,26,3/10/20,A,Crystal Palace,(14.),Carlisle United ,Carlisle United (21.),2:0,CB,,,,,44',44',,,,Ryan Inniss
