,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,7/26/19,H,Sheffield Utd.,(7.),KV Kortrijk ,KV Kortrijk (11.),2:1,DM,,,,,,90',,,,Sander Berge
1,2,8/3/19,A,Sheffield Utd.,(5.),KV Mechelen ,KV Mechelen (4.),3:1,DM,,,,,,90',,,,Sander Berge
2,3,8/10/19,H,Sheffield Utd.,(8.),Zulte Waregem ,Zulte Waregem (14.),0:2,DM,,,,,,88',,,,Sander Berge
3,4,8/17/19,A,Sheffield Utd.,(10.),Waasl.-Beveren ,Waasl.-Beveren (14.),0:4,DM,,,,,,90',,,,Sander Berge
4,5,8/23/19,H,Sheffield Utd.,(8.),RSC Anderlecht ,RSC Anderlecht (13.),1:0,DM,,,,,,90',,,,Sander Berge
5,6,9/1/19,A,Sheffield Utd.,(6.),Club Brugge ,Club Brugge (3.),1:1,DM,,,56',,,90',,,,Sander Berge
6,7,9/13/19,A,Sheffield Utd.,(7.),RSC Charleroi ,RSC Charleroi (10.),2:1,DM,,,,,,90',,,,Sander Berge
7,8,9/21/19,H,Sheffield Utd.,(9.),KV Oostende ,KV Oostende (10.),3:1,DM,1,,,,,90',,,,Sander Berge
8,9,9/28/19,A,Sheffield Utd.,(7.),Sint-Truiden ,Sint-Truiden (10.),3:3,DM,,,,,,90',,,,Sander Berge
9,10,10/6/19,H,Sheffield Utd.,(6.),Mouscron ,Mouscron (5.),2:1,DM,,,,,,90',,,,Sander Berge
10,11,10/19/19,A,Sheffield Utd.,(5.),Standard Liège ,Standard Liège (2.),1:0,DM,,,,,,90',,,,Sander Berge
11,12,10/26/19,H,Sheffield Utd.,(6.),Cercle Brugge ,Cercle Brugge (16.),1:0,DM,,,,,,38',,,,Sander Berge
12,13,10/30/19,H,Sheffield Utd.,(6.),Royal Antwerp ,Royal Antwerp (3.),2:2,CM,1,,,,,90',,,,Sander Berge
13,14,11/2/19,A,Sheffield Utd.,(7.),KAS Eupen ,KAS Eupen (13.),2:0,CM,,,,,,90',,,,Sander Berge
14,15,11/10/19,H,Sheffield Utd.,(8.),KAA Gent ,KAA Gent (3.),0:2,DM,,,,,,90',,,,Sander Berge
15,16,11/23/19,A,Sheffield Utd.,(8.),Mouscron ,Mouscron (9.),2:2,DM,,,,,,90',,,,Sander Berge
16,17,11/30/19,H,Sheffield Utd.,(8.),Sint-Truiden ,Sint-Truiden (11.),1:2,DM,,,,,,90',,,,Sander Berge
17,18,12/7/19,A,Sheffield Utd.,(8.),Cercle Brugge ,Cercle Brugge (16.),1:2,DM,1,,85',,,90',,,,Sander Berge
18,19,12/14/19,H,Sheffield Utd.,(8.),Waasl.-Beveren ,Waasl.-Beveren (15.),4:1,DM,1,,,,,90',,,,Sander Berge
19,20,12/22/19,A,Sheffield Utd.,(7.),RSC Anderlecht ,RSC Anderlecht (10.),2:0,DM,,,,,,90',,,,Sander Berge
20,21,12/26/19,H,Sheffield Utd.,(8.),KAS Eupen ,KAS Eupen (13.),2:1,DM,,,,,,90',,,,Sander Berge
21,22,1/19/20,A,Sheffield Utd.,(8.),Zulte Waregem ,Zulte Waregem (7.),0:3,DM,,,,,,61',,,,Sander Berge
22,23,1/25/20,A,Sheffield Utd.,(6.),KAA Gent ,KAA Gent (2.),4:1,CM,,,,,,90',,,,Sander Berge
