,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,A,Everton,(12.),Crystal Palace ,Crystal Palace (11.),0:0,RB,,,,,,90',,,,Seamus Coleman
1,2,8/17/19,H,Everton,(11.),Watford ,Watford (17.),1:0,RB,,,14',,,90',,,,Seamus Coleman
2,3,8/23/19,A,Everton,(9.),Aston Villa ,Aston Villa (17.),2:0,RB,,,85',,,90',,,,Seamus Coleman
3,4,9/1/19,H,Everton,(12.),Wolves ,Wolves (15.),3:2,RB,,,,,,90',,,,Seamus Coleman
4,5,9/15/19,A,Everton,(6.),Bournemouth ,Bournemouth (15.),3:1,RB,,,,,,90',,,,Seamus Coleman
5,6,9/21/19,H,Everton,(11.),Sheffield Utd. ,Sheffield Utd. (15.),0:2,RB,,,,,,71',,,,Seamus Coleman
6,7,9/28/19,H,Everton,(14.),Man City ,Man City (2.),1:3,RB,,1,,,,90',,,,Seamus Coleman
7,8,10/5/19,A,Everton,(15.),Burnley ,Burnley (11.),1:0,RB,,,43',56',,56',,,,Seamus Coleman
8,9,10/19/19,H,Everton,(18.),West Ham ,West Ham (8.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Seamus Coleman
9,10,10/26/19,A,Everton,(15.),Brighton ,Brighton (16.),3:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Seamus Coleman
10,11,11/3/19,H,Everton,(16.),Spurs ,Spurs (11.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Seamus Coleman
11,12,11/9/19,A,Everton,(17.),Southampton ,Southampton (18.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Seamus Coleman
12,13,11/23/19,H,Everton,(15.),Norwich ,Norwich (20.),0:2,RB,,,90',,,24',,,,Seamus Coleman
13,14,12/1/19,A,Everton,(16.),Leicester ,Leicester (2.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Seamus Coleman
14,15,12/4/19,A,Everton,(17.),Liverpool ,Liverpool (1.),5:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Seamus Coleman
15,16,12/7/19,H,Everton,(18.),Chelsea ,Chelsea (4.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Seamus Coleman
16,17,12/15/19,A,Everton,(14.),Man Utd ,Man Utd (5.),1:1,RB,,,,,,90',,,,Seamus Coleman
17,18,12/21/19,H,Everton,(16.),Arsenal ,Arsenal (10.),0:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Seamus Coleman
18,19,12/26/19,H,Everton,(15.),Burnley ,Burnley (10.),1:0,CB,,,,,,90',,,,Seamus Coleman
19,20,12/28/19,A,Everton,(13.),Newcastle ,Newcastle (10.),1:2,RM,,,,,,20',,,,Seamus Coleman
20,21,1/1/20,A,Everton,(10.),Man City ,Man City (3.),2:1,CB,,,,,,59',,,,Seamus Coleman
21,22,1/11/20,H,Everton,(11.),Brighton ,Brighton (14.),1:0,,,,,,,16',,,,Seamus Coleman
22,23,1/18/20,A,Everton,(11.),West Ham ,West Ham (16.),1:1,RB,,,,,,90',,,,Seamus Coleman
23,24,1/21/20,H,Everton,(11.),Newcastle ,Newcastle (12.),2:2,,,,,,,19',,,,Seamus Coleman
24,25,2/1/20,A,Everton,(12.),Watford ,Watford (19.),2:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Seamus Coleman
25,26,2/8/20,H,Everton,(9.),Crystal Palace ,Crystal Palace (14.),3:1,RB,,,,,,90',,,,Seamus Coleman
26,27,2/23/20,A,Everton,(9.),Arsenal ,Arsenal (10.),3:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Seamus Coleman
27,28,3/1/20,H,Everton,(11.),Man Utd ,Man Utd (5.),1:1,RB,,,,,,28',,,,Seamus Coleman
28,29,3/8/20,A,Everton,(11.),Chelsea ,Chelsea (4.),4:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Seamus Coleman
