,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/3/19,A,Spurs,(4.),Twente FC ,Twente FC (14.),1:1,RW,,,,,,90',,,,Steven Bergwijn
1,2,8/11/19,H,Spurs,(11.),ADO Den Haag ,ADO Den Haag (15.),3:1,AM,,1,45',,,90',,,,Steven Bergwijn
2,3,8/18/19,A,Spurs,(6.),Heracles Almelo ,Heracles Almelo (14.),0:2,AM,1,,67',,,90',,,,Steven Bergwijn
3,5,9/1/19,A,Spurs,(3.),RKC Waalwijk ,RKC Waalwijk (16.),1:3,AM,,,,,,90',,,,Steven Bergwijn
4,6,9/14/19,H,Spurs,(2.),Vitesse ,Vitesse (3.),5:0,LW,,,,,,62',,,,Steven Bergwijn
5,7,9/22/19,H,Spurs,(2.),Ajax ,Ajax (1.),1:1,LW,,,,,,90',,,,Steven Bergwijn
6,4,9/25/19,H,Spurs,(6.),FC Groningen ,FC Groningen (10.),3:1,AM,,2,,,,90',,,,Steven Bergwijn
7,8,9/29/19,A,Spurs,(2.),PEC Zwolle ,PEC Zwolle (13.),0:4,RW,,2,,,,74',,,,Steven Bergwijn
8,9,10/6/19,H,Spurs,(2.),VVV-Venlo ,VVV-Venlo (12.),4:1,AM,1,2,,,,90',,,,Steven Bergwijn
9,10,10/19/19,A,Spurs,(2.),FC Utrecht ,FC Utrecht (6.),3:0,LW,,,,,,90',,,,Steven Bergwijn
10,11,10/27/19,H,Spurs,(2.),AZ Alkmaar ,AZ Alkmaar (4.),0:4,Knock,Knock,Knock,Knock,Knock,Knock,Knock,Knock,,,Steven Bergwijn
11,12,11/2/19,A,Spurs,(3.),Sparta R. ,Sparta R. (10.),2:2,Knock,Knock,Knock,Knock,Knock,Knock,Knock,Knock,,,Steven Bergwijn
12,13,11/10/19,A,Spurs,(3.),Willem II ,Willem II (6.),2:1,Knock,Knock,Knock,Knock,Knock,Knock,Knock,Knock,,,Steven Bergwijn
13,14,11/24/19,H,Spurs,(3.),Heerenveen ,Heerenveen (8.),2:1,LW,2,,,,,64',,,,Steven Bergwijn
14,15,12/1/19,A,Spurs,(3.),FC Emmen ,FC Emmen (13.),1:1,LW,,,70',,,90',,,,Steven Bergwijn
15,16,12/7/19,H,Spurs,(3.),Fortuna Sittard ,Fortuna Sittard (14.),5:0,LW,1,1,,,,56',,,,Steven Bergwijn
16,17,12/15/19,A,Spurs,(3.),Feyenoord ,Feyenoord (8.),3:1,LW,,,28',,,90',,,,Steven Bergwijn
17,18,12/21/19,H,Spurs,(4.),PEC Zwolle ,PEC Zwolle (15.),4:1,CF,,2,,,,90',,,,Steven Bergwijn
18,19,1/19/20,A,Spurs,(3.),VVV-Venlo ,VVV-Venlo (16.),1:1,CF,,,,,,90',,,,Steven Bergwijn
19,20,1/26/20,H,Spurs,(4.),Twente FC ,Twente FC (13.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Steven Bergwijn
