,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/12/19,A,Brighton,,Derby U23,Derby U23,0:1,RB,,,40',,,90',,,,Tariq Lamptey
1,2,8/19/19,H,Brighton,,Liverpool U23,Liverpool U23,3:0,RB,,,,,,90',,,,Tariq Lamptey
2,3,8/23/19,A,Brighton,,Man City U23,Man City U23,2:2,RB,,,55',,,90',,,,Tariq Lamptey
3,4,8/30/19,H,Brighton,,Tottenham U23,Tottenham U23,2:2,RB,1,,,,,90',,,,Tariq Lamptey
4,5,9/13/19,H,Brighton,,Brighton U23,Brighton U23,2:1,RM,,,,,,90',,,,Tariq Lamptey
5,6,9/21/19,A,Brighton,,Southampton U23,Southampton U23,0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Tariq Lamptey
6,7,9/28/19,A,Brighton,,Leicester U23,Leicester U23,2:2,RB,,,,,,90',,,,Tariq Lamptey
7,8,10/18/19,H,Brighton,,Arsenal U23,Arsenal U23,3:1,RB,,,,,,76',,,,Tariq Lamptey
8,10,11/2/19,H,Brighton,,Blackburn U23,Blackburn U23,2:1,RB,,,,,,90',,,,Tariq Lamptey
9,11,11/23/19,A,Brighton,,Wolves U23,Wolves U23,1:1,RB,,,,,,90',,,,Tariq Lamptey
10,12,12/7/19,H,Brighton,,Derby U23,Derby U23,3:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Tariq Lamptey
11,13,12/14/19,A,Brighton,,Liverpool U23,Liverpool U23,1:1,RB,,,14',79',,79',,,,Tariq Lamptey
12,14,1/6/20,A,Brighton,,Tottenham U23,Tottenham U23,0:1,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,,,Tariq Lamptey
13,15,1/11/20,H,Brighton,,Man City U23,Man City U23,2:1,RB,,1,,,,90',,,,Tariq Lamptey
14,9,1/24/20,A,Brighton,,Everton U23,Everton U23,2:2,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,,,Tariq Lamptey
15,16,1/31/20,H,Brighton,,Leicester U23,Leicester U23,2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Tariq Lamptey
