,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,A,Tottenham U18,,Fulham U18,Fulham U18,4:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Troy Parrott
1,2,8/17/19,H,Tottenham U18,,Brighton U18,Brighton U18,2:3,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,,,Troy Parrott
2,3,8/24/19,H,Tottenham U18,,Norwich U18,Norwich U18,4:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Troy Parrott
3,4,8/31/19,A,Tottenham U18,,Swansea U18,Swansea U18,0:4,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Troy Parrott
4,5,9/14/19,H,Tottenham U18,,West Ham U18,West Ham U18,2:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Troy Parrott
5,6,9/21/19,A,Tottenham U18,,Southampton U18,Southampton U18,0:2,With youth team,With youth team,With youth team,With youth team,With youth team,With youth team,With youth team,With youth team,,,Troy Parrott
6,7,10/5/19,H,Tottenham U18,,Aston Villa U18,Aston Villa U18,2:4,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Troy Parrott
7,8,10/19/19,A,Tottenham U18,,Arsenal U18,Arsenal U18,2:2,With youth team,With youth team,With youth team,With youth team,With youth team,With youth team,With youth team,With youth team,,,Troy Parrott
8,9,11/9/19,H,Tottenham U18,,Chelsea U18,Chelsea U18,3:5,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Troy Parrott
9,11,12/7/19,H,Tottenham U18,,Reading U18,Reading U18,2:3,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,,,Troy Parrott
10,10,12/21/19,A,Tottenham U18,,Leicester U18,Leicester U18,3:4,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Troy Parrott
11,12,1/4/20,H,Tottenham U18,,Fulham U18,Fulham U18,4:1,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,,,Troy Parrott
12,13,1/11/20,A,Tottenham U18,,Brighton U18,Brighton U18,0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Troy Parrott
13,14,1/18/20,H,Tottenham U18,,Swansea U18,Swansea U18,3:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Troy Parrott
14,15,2/1/20,A,Tottenham U18,,Norwich U18,Norwich U18,1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Troy Parrott
15,16,2/22/20,A,Tottenham U18,,West Ham U18,West Ham U18,3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Troy Parrott
16,17,2/29/20,H,Tottenham U18,,Southampton U18,Southampton U18,6:1,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,With the pros,,,Troy Parrott
