,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/26/19,H,Newcastle,(3.),Lecce ,Lecce (18.),4:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
1,2,9/1/19,A,Newcastle,(1.),Cagliari Calcio ,Cagliari Calcio (16.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
2,3,9/14/19,H,Newcastle,(1.),Udinese Calcio ,Udinese Calcio (14.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
3,4,9/21/19,A,Newcastle,(1.),AC Milan ,AC Milan (7.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
4,5,9/25/19,H,Newcastle,(1.),Lazio ,Lazio (5.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
5,6,9/28/19,A,Newcastle,(1.),Sampdoria ,Sampdoria (20.),1:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
6,7,10/6/19,H,Newcastle,(1.),Juventus ,Juventus (2.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
7,8,10/20/19,A,Newcastle,(2.),Sassuolo ,Sassuolo (10.),3:4,RM,,,76',,,17',,,,Valentino Lazaro
8,9,10/26/19,H,Newcastle,(2.),Parma ,Parma (8.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
9,10,10/29/19,A,Newcastle,(2.),Brescia ,Brescia (18.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
10,11,11/2/19,A,Newcastle,(2.),Bologna ,Bologna (12.),1:2,RM,,,,,,85',,,,Valentino Lazaro
11,12,11/9/19,H,Newcastle,(2.),Hellas Verona ,Hellas Verona (9.),2:1,RM,,1,,,,85',,,,Valentino Lazaro
12,13,11/23/19,A,Newcastle,(2.),Torino ,Torino (12.),0:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
13,14,12/1/19,H,Newcastle,(2.),SPAL ,SPAL (19.),2:1,LM,,,,,,76',,,,Valentino Lazaro
14,15,12/6/19,H,Newcastle,(1.),AS Roma ,AS Roma (5.),0:0,RM,,,62',,,45',,,,Valentino Lazaro
15,16,12/15/19,A,Newcastle,(1.),Fiorentina ,Fiorentina (14.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
16,17,12/21/19,H,Newcastle,(1.),Genoa ,Genoa (19.),4:0,RM,,,,,,15',,,,Valentino Lazaro
17,18,1/6/20,A,Newcastle,(1.),SSC Napoli ,SSC Napoli (8.),1:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
18,19,1/11/20,H,Newcastle,(1.),Atalanta ,Atalanta (5.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
19,20,1/19/20,A,Newcastle,(2.),Lecce ,Lecce (17.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Valentino Lazaro
