,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/11/19,H,Leicester,(3.),Wolves ,Wolves (6.),0:0,AM,,,,,,90',,,,Youri Tielemans
1,2,8/18/19,A,Leicester,(12.),Chelsea ,Chelsea (19.),1:1,CM,,,,,,90',,,,Youri Tielemans
2,3,8/24/19,A,Leicester,(13.),Sheffield Utd. ,Sheffield Utd. (8.),1:2,CM,,,,,,89',,,,Youri Tielemans
3,4,8/31/19,H,Leicester,(4.),Bournemouth ,Bournemouth (11.),3:1,CM,1,1,,,,90',,,,Youri Tielemans
4,5,9/14/19,A,Leicester,(3.),Man Utd ,Man Utd (8.),1:0,CM,,,,,,90',,,,Youri Tielemans
5,6,9/21/19,H,Leicester,(5.),Spurs ,Spurs (3.),2:1,AM,,,,,,84',,,,Youri Tielemans
6,7,9/29/19,H,Leicester,(3.),Newcastle ,Newcastle (17.),5:0,AM,,,,,,90',,,,Youri Tielemans
7,8,10/5/19,A,Leicester,(3.),Liverpool ,Liverpool (1.),2:1,CM,,,,,,90',,,,Youri Tielemans
8,9,10/19/19,H,Leicester,(4.),Burnley ,Burnley (7.),2:1,CM,1,,,,,90',,,,Youri Tielemans
9,10,10/25/19,A,Leicester,(3.),Southampton ,Southampton (17.),0:9,CM,1,1,,,,90',,,,Youri Tielemans
10,11,11/3/19,A,Leicester,(3.),Crystal Palace ,Crystal Palace (6.),0:2,CM,,,,,,90',,,,Youri Tielemans
11,12,11/9/19,H,Leicester,(3.),Arsenal ,Arsenal (5.),2:0,CM,,1,,,,90',,,,Youri Tielemans
12,13,11/23/19,A,Leicester,(2.),Brighton ,Brighton (11.),0:2,CM,,,,,,90',,,,Youri Tielemans
13,14,12/1/19,H,Leicester,(2.),Everton ,Everton (16.),2:1,CM,,,,,,90',,,,Youri Tielemans
14,15,12/4/19,H,Leicester,(2.),Watford ,Watford (20.),2:0,CM,,,,,,69',,,,Youri Tielemans
15,16,12/8/19,A,Leicester,(2.),Aston Villa ,Aston Villa (16.),1:4,CM,,,,,,90',,,,Youri Tielemans
16,17,12/14/19,H,Leicester,(2.),Norwich ,Norwich (19.),1:1,CM,,,,,,90',,,,Youri Tielemans
17,18,12/21/19,A,Leicester,(2.),Man City ,Man City (3.),3:1,CM,,,,,,77',,,,Youri Tielemans
18,19,12/26/19,H,Leicester,(2.),Liverpool ,Liverpool (1.),0:4,CM,,,,,,90',,,,Youri Tielemans
19,20,12/28/19,A,Leicester,(2.),West Ham ,West Ham (17.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Youri Tielemans
20,21,1/1/20,A,Leicester,(2.),Newcastle ,Newcastle (11.),0:3,CM,,,59',,,90',,,,Youri Tielemans
21,22,1/11/20,H,Leicester,(2.),Southampton ,Southampton (12.),1:2,CM,,,,,,13',,,,Youri Tielemans
22,23,1/19/20,A,Leicester,(3.),Burnley ,Burnley (15.),2:1,CM,,,,,,16',,,,Youri Tielemans
23,24,1/22/20,H,Leicester,(3.),West Ham ,West Ham (16.),4:1,AM,,,,,,90',,,,Youri Tielemans
24,25,2/1/20,H,Leicester,(3.),Chelsea ,Chelsea (4.),2:2,AM,,2,,,,80',,,,Youri Tielemans
25,26,2/14/20,A,Leicester,(3.),Wolves ,Wolves (8.),0:0,AM,,,,,,75',,,,Youri Tielemans
26,27,2/22/20,H,Leicester,(3.),Man City ,Man City (2.),0:1,CM,,,,,,90',,,,Youri Tielemans
27,28,2/28/20,A,Leicester,(3.),Norwich ,Norwich (20.),1:0,,,,,,,17',,,,Youri Tielemans
28,29,3/9/20,H,Leicester,(3.),Aston Villa ,Aston Villa (19.),4:0,,,,,,,14',,,,Youri Tielemans
