,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,A,Brighton,(15.),Watford ,Watford (17.),0:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Yves Bissouma
1,2,8/17/19,H,Brighton,(5.),West Ham ,West Ham (20.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Yves Bissouma
2,3,8/24/19,H,Brighton,(5.),Southampton ,Southampton (19.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Yves Bissouma
3,4,8/31/19,A,Brighton,(8.),Man City ,Man City (2.),4:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Yves Bissouma
4,5,9/14/19,H,Brighton,(16.),Burnley ,Burnley (12.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Yves Bissouma
5,6,9/21/19,A,Brighton,(16.),Newcastle ,Newcastle (18.),0:0,CM,,,,,,8',,,,Yves Bissouma
6,7,9/28/19,A,Brighton,(15.),Chelsea ,Chelsea (11.),2:0,AM,,,,,,45',,,,Yves Bissouma
7,8,10/5/19,H,Brighton,(16.),Spurs ,Spurs (6.),3:0,CM,,,,,,10',,,,Yves Bissouma
8,9,10/19/19,A,Brighton,(14.),Aston Villa ,Aston Villa (15.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Yves Bissouma
9,10,10/26/19,H,Brighton,(16.),Everton ,Everton (15.),3:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Yves Bissouma
10,11,11/2/19,H,Brighton,(14.),Norwich ,Norwich (19.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Yves Bissouma
11,12,11/10/19,A,Brighton,(8.),Man Utd ,Man Utd (10.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Yves Bissouma
12,13,11/23/19,H,Brighton,(11.),Leicester ,Leicester (2.),0:2,CM,,,,,,13',,,,Yves Bissouma
13,14,11/30/19,A,Brighton,(12.),Liverpool ,Liverpool (1.),2:1,CM,,,,,,69',,,,Yves Bissouma
14,15,12/5/19,A,Brighton,(16.),Arsenal ,Arsenal (8.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Yves Bissouma
15,16,12/8/19,H,Brighton,(13.),Wolves ,Wolves (5.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Yves Bissouma
16,17,12/16/19,A,Brighton,(12.),Crystal Palace ,Crystal Palace (10.),1:1,CM,,,,,,85',,,,Yves Bissouma
17,18,12/21/19,H,Brighton,(13.),Sheffield Utd. ,Sheffield Utd. (7.),0:1,CM,,,87',,,34',,,,Yves Bissouma
18,19,12/26/19,A,Brighton,(13.),Spurs ,Spurs (7.),2:1,,,,,,,7',,,,Yves Bissouma
19,20,12/28/19,H,Brighton,(15.),Bournemouth ,Bournemouth (16.),2:0,CM,,,,,,89',,,,Yves Bissouma
20,21,1/1/20,H,Brighton,(14.),Chelsea ,Chelsea (4.),1:1,CM,,,,,,45',,,,Yves Bissouma
21,22,1/11/20,A,Brighton,(14.),Everton ,Everton (11.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Yves Bissouma
22,23,1/18/20,H,Brighton,(14.),Aston Villa ,Aston Villa (18.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Yves Bissouma
23,24,1/21/20,A,Brighton,(15.),Bournemouth ,Bournemouth (19.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Yves Bissouma
24,25,2/1/20,A,Brighton,(15.),West Ham ,West Ham (17.),3:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Yves Bissouma
25,26,2/8/20,H,Brighton,(15.),Watford ,Watford (19.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Yves Bissouma
26,27,2/22/20,A,Brighton,(15.),Sheffield Utd. ,Sheffield Utd. (6.),1:1,DM,,,10',,,90',,,,Yves Bissouma
27,28,2/29/20,H,Brighton,(15.),Crystal Palace ,Crystal Palace (13.),0:1,DM,,,,,,82',,,,Yves Bissouma
28,29,3/7/20,A,Brighton,(15.),Wolves ,Wolves (6.),0:0,CM,,,,,,90',,,,Yves Bissouma
