,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,08/10/2019,A,Everton,-12,Crystal Palace ,Crystal Palace (11.),00:00,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Cenk Tosun
1,2,8/17/19,H,Everton,-11,Watford ,Watford (17.),01:00,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Cenk Tosun
2,3,8/23/19,A,Everton,-9,Aston Villa ,Aston Villa (17.),02:00,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Cenk Tosun
3,4,09/01/2019,H,Everton,-12,Wolves ,Wolves (15.),03:02,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Cenk Tosun
4,5,9/15/19,A,Everton,-6,Bournemouth ,Bournemouth (15.),03:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Cenk Tosun
5,6,9/21/19,H,Everton,-11,Sheffield Utd. ,Sheffield Utd. (15.),00:02,CF,,,,,,35',,,,Cenk Tosun
6,7,9/28/19,H,Everton,-14,Man City ,Man City (2.),01:03,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Cenk Tosun
7,8,10/05/2019,A,Everton,-15,Burnley ,Burnley (11.),01:00,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Cenk Tosun
8,9,10/19/19,H,Everton,-18,West Ham ,West Ham (8.),02:00,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,,,Cenk Tosun
9,10,10/26/19,A,Everton,-15,Brighton ,Brighton (16.),03:02,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,Unknown Injury,,,Cenk Tosun
10,11,11/03/2019,H,Everton,-16,Spurs ,Spurs (11.),01:01,CF,1,,,,,22',,,,Cenk Tosun
11,12,11/09/2019,A,Everton,-17,Southampton ,Southampton (18.),01:02,CF,,,,,,74',,,,Cenk Tosun
12,13,11/23/19,H,Everton,-15,Norwich ,Norwich (20.),00:02,CF,,,,,,90',,,,Cenk Tosun
13,14,12/01/2019,A,Everton,-16,Leicester ,Leicester (2.),02:01,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Cenk Tosun
14,15,12/04/2019,A,Everton,-17,Liverpool ,Liverpool (1.),05:02,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Cenk Tosun
15,16,12/07/2019,H,Everton,-18,Chelsea ,Chelsea (4.),03:01,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Cenk Tosun
16,17,12/15/19,A,Everton,-14,Man Utd ,Man Utd (5.),01:01,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Cenk Tosun
17,18,12/21/19,H,Everton,-16,Arsenal ,Arsenal (10.),00:00,CF,,,,,,69',,,,Cenk Tosun
18,19,12/26/19,H,Everton,-15,Burnley ,Burnley (10.),01:00,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Cenk Tosun
19,20,12/28/19,A,Everton,-13,Newcastle ,Newcastle (10.),01:02,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Cenk Tosun
20,21,01/01/2020,A,Everton,-10,Man City ,Man City (3.),02:01,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Cenk Tosun
21,,,,Everton,,,,,,,,,,,,,,,Cenk Tosun
22,22,01/11/2020,H,Everton,-9,Arsenal ,Arsenal (10.),01:01,CF,,,,,,22',,,,Cenk Tosun
23,23,1/18/20,A,Everton,-9,Man City ,Man City (2.),02:02,CF,1,,,,,81',,,,Cenk Tosun
24,24,1/21/20,H,Everton,-9,Southampton ,Southampton (13.),00:02,CF,,,,,,69',,,,Cenk Tosun
25,25,02/01/2020,H,Everton,-11,Sheffield Utd. ,Sheffield Utd. (8.),00:01,Contused laceration,Contused laceration,Contused laceration,Contused laceration,Contused laceration,Contused laceration,Contused laceration,Contused laceration,,,Cenk Tosun
26,26,02/08/2020,A,Everton,-14,Everton ,Everton (9.),03:01,No eligibility,No eligibility,No eligibility,No eligibility,No eligibility,No eligibility,No eligibility,No eligibility,,,Cenk Tosun
27,27,2/22/20,H,Everton,-14,Newcastle ,Newcastle (13.),01:00,CF,,,,,,1',,,,Cenk Tosun
28,28,2/29/20,A,Everton,-13,Brighton ,Brighton (15.),00:01,,,,,,,3',,,,Cenk Tosun
29,,,,Everton,,,,,,,,,,,,,,,Cenk Tosun
30,29,03/08/2020,A,Everton,-11,Chelsea ,Chelsea (4.),04:00,Cruciate Ligament Surgery,Cruciate Ligament Surgery,Cruciate Ligament Surgery,Cruciate Ligament Surgery,Cruciate Ligament Surgery,Cruciate Ligament Surgery,Cruciate Ligament Surgery,Cruciate Ligament Surgery,,,Cenk Tosun
