Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
1,,,,,,,,,,,,,,,,,,Ibrahim Amadou
2,,,,,,,,,,,,,,,,,,Ibrahim Amadou
3,,,,,,,,,,,,,,,,,,Ibrahim Amadou
4,,,,,,,,,,,,,,54',,,,Ibrahim Amadou
5,,,,,,,,,,,,,,90',,,,Ibrahim Amadou
6,,,,,,,,,,,,,,90',,,,Ibrahim Amadou
7,,,,,,,,,,,,,,90',,,,Ibrahim Amadou
8,,,,,,,,,,,,,,90',,,,Ibrahim Amadou
9,,,,,,,,,,,,,,90',,,,Ibrahim Amadou
10,,,,,,,,,,,,,,90',,,,Ibrahim Amadou
11,,,,,,,,,,,,,,,,,,Ibrahim Amadou
12,,,,,,,,,,,,,,,,,,Ibrahim Amadou
13,,,,,,,,,,,,,,2',,,,Ibrahim Amadou
14,,,,,,,,,,,,,,90',,,,Ibrahim Amadou
15,,,,,,,,,,,,,,45',,,,Ibrahim Amadou
16,,,,,,,,,,,,,,,,,,Ibrahim Amadou
17,,,,,,,,,,,,,,,,,,Ibrahim Amadou
18,,,,,,,,,,,,,,,,,,Ibrahim Amadou
19,,,,,,,,,,,,,,,,,,Ibrahim Amadou
20,,,,,,,,,,,,,,,,,,Ibrahim Amadou
21,,,,,,,,,,,,,,,,,,Ibrahim Amadou
22,,,,,,,,,,,,,,25',,,,Ibrahim Amadou
