,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,08/11/2019,H,Newcastle,-13,Arsenal ,Arsenal (9.),00:01,CB,,,,,,90',,,,Jamaal Lascelles
1,2,8/17/19,A,Newcastle,-14,Norwich ,Norwich (16.),03:01,CB,,,,,,90',,,,Jamaal Lascelles
2,3,8/25/19,A,Newcastle,-18,Spurs ,Spurs (6.),00:01,CB,,,,,,82',,,,Jamaal Lascelles
3,4,8/31/19,H,Newcastle,-19,Watford ,Watford (20.),01:01,CB,,,,,,90',,,,Jamaal Lascelles
4,5,9/14/19,A,Newcastle,-14,Liverpool ,Liverpool (1.),03:01,CB,,,,,,90',,,,Jamaal Lascelles
5,6,9/21/19,H,Newcastle,-18,Brighton ,Brighton (16.),00:00,CB,,,,,,90',,,,Jamaal Lascelles
6,7,9/29/19,A,Newcastle,-17,Leicester ,Leicester (3.),05:00,CB,,,,,,90',,,,Jamaal Lascelles
7,8,10/06/2019,H,Newcastle,-19,Man Utd ,Man Utd (10.),01:00,CB,,,,,,90',,,,Jamaal Lascelles
8,9,10/19/19,A,Newcastle,-16,Chelsea ,Chelsea (5.),01:00,CB,,,,,,90',,,,Jamaal Lascelles
9,10,10/27/19,H,Newcastle,-18,Wolves ,Wolves (13.),01:01,CB,1,,66',,,90',,,,Jamaal Lascelles
10,11,11/02/2019,A,Newcastle,-17,West Ham ,West Ham (10.),02:03,CB,,,,,,90',,,,Jamaal Lascelles
11,12,11/09/2019,H,Newcastle,-15,Bournemouth ,Bournemouth (7.),02:01,CB,,,,,,20',,,,Jamaal Lascelles
12,13,11/25/19,A,Newcastle,-13,Aston Villa ,Aston Villa (17.),02:00,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,,,Jamaal Lascelles
13,14,11/30/19,H,Newcastle,-14,Man City ,Man City (3.),02:02,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,,,Jamaal Lascelles
14,15,12/05/2019,A,Newcastle,-14,Sheffield Utd. ,Sheffield Utd. (7.),00:02,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,,,Jamaal Lascelles
15,16,12/08/2019,H,Newcastle,-11,Southampton ,Southampton (17.),02:01,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,,,Jamaal Lascelles
16,17,12/14/19,A,Newcastle,-11,Burnley ,Burnley (13.),01:00,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,,,Jamaal Lascelles
17,18,12/21/19,H,Newcastle,-11,Crystal Palace ,Crystal Palace (9.),01:00,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,,,Jamaal Lascelles
18,19,12/26/19,A,Newcastle,-9,Man Utd ,Man Utd (8.),04:01,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,,,Jamaal Lascelles
19,20,12/28/19,H,Newcastle,-10,Everton ,Everton (13.),01:02,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,,,Jamaal Lascelles
20,21,01/01/2020,H,Newcastle,-11,Leicester ,Leicester (2.),00:03,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,Knee Injury,,,Jamaal Lascelles
21,22,01/11/2020,A,Newcastle,-13,Wolves ,Wolves (7.),01:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Jamaal Lascelles
22,23,1/18/20,H,Newcastle,-13,Chelsea ,Chelsea (4.),01:00,CB,,,,,,90',,,,Jamaal Lascelles
23,24,1/21/20,A,Newcastle,-12,Everton ,Everton (11.),02:02,CB,,,,,,90',,,,Jamaal Lascelles
24,25,02/01/2020,H,Newcastle,-14,Norwich ,Norwich (20.),00:00,CB,,,,,,90',,,,Jamaal Lascelles
25,26,2/16/20,A,Newcastle,-12,Arsenal ,Arsenal (10.),04:00,CB,,,,,,90',,,,Jamaal Lascelles
26,27,2/22/20,A,Newcastle,-13,Crystal Palace ,Crystal Palace (14.),01:00,CB,,,39',,,90',,,,Jamaal Lascelles
27,28,2/29/20,H,Newcastle,-14,Burnley ,Burnley (10.),00:00,CB,,,,,,90',,,,Jamaal Lascelles
28,29,03/07/2020,A,Newcastle,-14,Southampton ,Southampton (13.),00:01,CB,,,,,,90',,,,Jamaal Lascelles
