,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,19,12/26/19,H,Spurs,(7.),Brighton ,Brighton (13.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Japhet Tanganga
1,20,12/28/19,A,Spurs,(6.),Norwich ,Norwich (20.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Japhet Tanganga
2,21,1/1/20,A,Spurs,(6.),Southampton ,Southampton (15.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Japhet Tanganga
3,22,1/11/20,H,Spurs,(6.),Liverpool ,Liverpool (1.),0:1,RB,,,,,,90',,,,Japhet Tanganga
4,23,1/18/20,A,Spurs,(8.),Watford ,Watford (17.),0:0,LB,,,19',,,90',,,,Japhet Tanganga
5,24,1/22/20,H,Spurs,(8.),Norwich ,Norwich (20.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Japhet Tanganga
6,25,2/2/20,H,Spurs,(6.),Man City ,Man City (2.),2:0,LB,,,,,,90',,,,Japhet Tanganga
7,26,2/16/20,A,Spurs,(5.),Aston Villa ,Aston Villa (17.),2:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Japhet Tanganga
8,27,2/22/20,A,Spurs,(5.),Chelsea ,Chelsea (4.),2:1,RB,,,,,,90',,,,Japhet Tanganga
9,28,3/1/20,H,Spurs,(6.),Wolves ,Wolves (8.),2:3,CB,,,,,,76',,,,Japhet Tanganga
10,29,3/7/20,A,Spurs,(8.),Burnley ,Burnley (9.),1:1,RM,,,,,,90',,,,Japhet Tanganga
