,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,A,Sheffield Utd.,(6.),Bournemouth ,Bournemouth (18.),1:1,CB,,,,,,90',,,,John Egan
1,2,8/18/19,H,Sheffield Utd.,(9.),Crystal Palace ,Crystal Palace (13.),1:0,CB,,,,,,90',,,,John Egan
2,3,8/24/19,H,Sheffield Utd.,(8.),Leicester ,Leicester (13.),1:2,CB,,,,,,90',,,,John Egan
3,4,8/31/19,A,Sheffield Utd.,(9.),Chelsea ,Chelsea (13.),2:2,CB,,,,,,90',,,,John Egan
4,5,9/14/19,H,Sheffield Utd.,(10.),Southampton ,Southampton (13.),0:1,CB,,,,,,90',,,,John Egan
5,6,9/21/19,A,Sheffield Utd.,(15.),Everton ,Everton (11.),0:2,CB,,,,,,90',,,,John Egan
6,7,9/28/19,H,Sheffield Utd.,(10.),Liverpool ,Liverpool (1.),0:1,CB,,,,,,90',,,,John Egan
7,8,10/5/19,A,Sheffield Utd.,(12.),Watford ,Watford (20.),0:0,CB,,,,,,90',,,,John Egan
8,9,10/21/19,H,Sheffield Utd.,(13.),Arsenal ,Arsenal (3.),1:0,CB,,,,,,90',,,,John Egan
9,10,10/26/19,A,Sheffield Utd.,(9.),West Ham ,West Ham (11.),1:1,CB,,,,,,90',,,,John Egan
10,11,11/2/19,H,Sheffield Utd.,(8.),Burnley ,Burnley (13.),3:0,CB,,,,,,79',,,,John Egan
11,12,11/9/19,A,Sheffield Utd.,(6.),Spurs ,Spurs (11.),1:1,CB,,,,,,90',,,,John Egan
12,13,11/24/19,H,Sheffield Utd.,(5.),Man Utd ,Man Utd (7.),3:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,John Egan
13,14,12/1/19,A,Sheffield Utd.,(6.),Wolves ,Wolves (5.),1:1,CB,,,90',,,90',,,,John Egan
14,15,12/5/19,H,Sheffield Utd.,(7.),Newcastle ,Newcastle (14.),0:2,CB,,,,,,90',,,,John Egan
15,16,12/8/19,A,Sheffield Utd.,(9.),Norwich ,Norwich (19.),1:2,CB,,,37',,,90',,,,John Egan
16,17,12/14/19,H,Sheffield Utd.,(8.),Aston Villa ,Aston Villa (17.),2:0,CB,,,,,,90',,,,John Egan
17,18,12/21/19,A,Sheffield Utd.,(7.),Brighton ,Brighton (13.),0:1,CB,,,,,,90',,,,John Egan
18,19,12/26/19,H,Sheffield Utd.,(5.),Watford ,Watford (20.),1:1,CB,,,,,,90',,,,John Egan
19,20,12/29/19,A,Sheffield Utd.,(7.),Man City ,Man City (3.),2:0,CB,,,,,,90',,,,John Egan
20,21,1/2/20,A,Sheffield Utd.,(8.),Liverpool ,Liverpool (1.),2:0,CB,,,,,,90',,,,John Egan
21,22,1/10/20,H,Sheffield Utd.,(8.),West Ham ,West Ham (16.),1:0,CB,,,,,,90',,,,John Egan
22,23,1/18/20,A,Sheffield Utd.,(6.),Arsenal ,Arsenal (10.),1:1,CB,,,,,,90',,,,John Egan
23,24,1/21/20,H,Sheffield Utd.,(7.),Man City ,Man City (2.),0:1,CB,,,,,,90',,,,John Egan
24,25,2/1/20,A,Sheffield Utd.,(8.),Crystal Palace ,Crystal Palace (11.),0:1,CB,,,,,,90',,,,John Egan
25,26,2/9/20,H,Sheffield Utd.,(6.),Bournemouth ,Bournemouth (16.),2:1,CB,,,,,,90',,,,John Egan
26,27,2/22/20,H,Sheffield Utd.,(6.),Brighton ,Brighton (15.),1:1,CB,,,,,,90',,,,John Egan
27,29,3/7/20,H,Sheffield Utd.,(7.),Norwich ,Norwich (20.),1:0,CB,,,,,,90',,,,John Egan
28,28,6/17/20,A,Sheffield Utd.,(7.),Aston Villa ,Aston Villa (17.),0:0,CB,,,,,,90',,,,John Egan
