,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,H,Bournemouth,(18.),Sheffield Utd. ,Sheffield Utd. (6.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
1,2,8/17/19,A,Bournemouth,(8.),Aston Villa ,Aston Villa (15.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
2,3,8/25/19,H,Bournemouth,(7.),Man City ,Man City (3.),1:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
3,22,1/12/20,H,Bournemouth,(18.),Watford ,Watford (19.),0:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
4,23,1/18/20,A,Bournemouth,(19.),Norwich ,Norwich (20.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
5,24,1/21/20,H,Bournemouth,(19.),Brighton ,Brighton (15.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
6,25,2/1/20,H,Bournemouth,(18.),Aston Villa ,Aston Villa (16.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
7,26,2/9/20,A,Bournemouth,(16.),Sheffield Utd. ,Sheffield Utd. (6.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
8,27,2/22/20,A,Bournemouth,(16.),Burnley ,Burnley (11.),3:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
9,28,2/29/20,H,Bournemouth,(16.),Chelsea ,Chelsea (4.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
10,29,3/7/20,A,Bournemouth,(18.),Liverpool ,Liverpool (1.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Taylor
