,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,08/10/2019,H,Spurs,-8,Aston Villa ,Aston Villa (19.),03:01,RB,,,,,,90',,,,Kyle Walker-Peters (Prior)
1,2,8/17/19,A,Spurs,-6,Man City ,Man City (1.),02:02,RB,,,,,,90',,,,Kyle Walker-Peters (Prior)
2,3,8/25/19,H,Spurs,-6,Newcastle ,Newcastle (18.),00:01,RB,,,,,,62',,,,Kyle Walker-Peters (Prior)
3,4,09/01/2019,A,Spurs,-7,Arsenal ,Arsenal (3.),02:02,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Walker-Peters (Prior)
4,5,9/14/19,H,Spurs,-9,Crystal Palace ,Crystal Palace (4.),04:00,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Walker-Peters (Prior)
5,6,9/21/19,A,Spurs,-3,Leicester ,Leicester (5.),02:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Walker-Peters (Prior)
6,7,9/28/19,H,Spurs,-7,Southampton ,Southampton (13.),02:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Walker-Peters (Prior)
7,8,10/05/2019,A,Spurs,-6,Brighton ,Brighton (16.),03:00,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Walker-Peters (Prior)
8,9,10/19/19,H,Spurs,-9,Watford ,Watford (20.),01:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Walker-Peters (Prior)
9,10,10/27/19,A,Spurs,-7,Liverpool ,Liverpool (1.),02:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Walker-Peters (Prior)
10,11,11/03/2019,A,Spurs,-11,Everton ,Everton (16.),01:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Walker-Peters (Prior)
11,12,11/09/2019,H,Spurs,-11,Sheffield Utd. ,Sheffield Utd. (6.),01:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Walker-Peters (Prior)
12,13,11/23/19,A,Spurs,-14,West Ham ,West Ham (16.),02:03,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kyle Walker-Peters (Prior)
13,14,11/30/19,H,Spurs,-10,Bournemouth ,Bournemouth (11.),03:02,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Kyle Walker-Peters (Prior)
14,15,12/04/2019,A,Spurs,-5,Man Utd ,Man Utd (9.),02:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Walker-Peters (Prior)
15,16,12/07/2019,H,Spurs,-8,Burnley ,Burnley (12.),05:00,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Kyle Walker-Peters (Prior)
