,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/11/19,H,Leicester,(3.),Wolves ,Wolves (7.),0:0,RM,,,,,,14',,,,Marc Albrighton
1,2,8/18/19,A,Leicester,(12.),Chelsea ,Chelsea (19.),1:1,RM,,,,,,10',,,,Marc Albrighton
2,3,8/24/19,A,Leicester,(13.),Sheffield Utd. ,Sheffield Utd. (8.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
3,4,8/31/19,H,Leicester,(4.),Bournemouth ,Bournemouth (11.),3:1,RM,,,40',,,64',,,,Marc Albrighton
4,5,9/14/19,A,Leicester,(3.),Man Utd ,Man Utd (8.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
5,6,9/21/19,H,Leicester,(5.),Spurs ,Spurs (3.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
6,7,9/29/19,H,Leicester,(3.),Newcastle ,Newcastle (17.),5:0,LM,,1,,,,32',,,,Marc Albrighton
7,8,10/5/19,A,Leicester,(3.),Liverpool ,Liverpool (1.),2:1,RM,,,,,,45',,,,Marc Albrighton
8,9,10/19/19,H,Leicester,(4.),Burnley ,Burnley (7.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
9,10,10/25/19,A,Leicester,(3.),Southampton ,Southampton (17.),0:9,LM,,,,,,18',,,,Marc Albrighton
10,11,11/3/19,A,Leicester,(3.),Crystal Palace ,Crystal Palace (6.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
11,12,11/9/19,H,Leicester,(3.),Arsenal ,Arsenal (5.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
12,13,11/23/19,A,Leicester,(2.),Brighton ,Brighton (11.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
13,14,12/1/19,H,Leicester,(2.),Everton ,Everton (16.),2:1,LM,,,,,,8',,,,Marc Albrighton
14,15,12/4/19,H,Leicester,(2.),Watford ,Watford (20.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
15,16,12/8/19,A,Leicester,(2.),Aston Villa ,Aston Villa (16.),1:4,RM,,,,,,14',,,,Marc Albrighton
16,17,12/14/19,H,Leicester,(2.),Norwich ,Norwich (19.),1:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
17,18,12/21/19,A,Leicester,(2.),Man City ,Man City (3.),3:1,RM,,,,,,26',,,,Marc Albrighton
18,19,12/26/19,H,Leicester,(2.),Liverpool ,Liverpool (1.),0:4,RM,,,,,,32',,,,Marc Albrighton
19,20,12/28/19,A,Leicester,(2.),West Ham ,West Ham (17.),1:2,LM,,,,,,90',,,,Marc Albrighton
20,21,1/1/20,A,Leicester,(2.),Newcastle ,Newcastle (11.),0:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
21,22,1/11/20,H,Leicester,(2.),Southampton ,Southampton (12.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
22,23,1/19/20,A,Leicester,(3.),Burnley ,Burnley (15.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
23,24,1/22/20,H,Leicester,(3.),West Ham ,West Ham (16.),4:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
24,25,2/1/20,H,Leicester,(3.),Chelsea ,Chelsea (4.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
25,26,2/14/20,A,Leicester,(3.),Wolves ,Wolves (8.),0:0,RM,,,,,,22',,,,Marc Albrighton
26,27,2/22/20,H,Leicester,(3.),Man City ,Man City (2.),0:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Marc Albrighton
27,28,2/28/20,A,Leicester,(3.),Norwich ,Norwich (20.),1:0,,,,,,,12',,,,Marc Albrighton
28,29,3/9/20,H,Leicester,(3.),Aston Villa ,Aston Villa (19.),4:0,RM,,2,,,,90',,,,Marc Albrighton
