,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/9/19,A,Man City,(20.),Liverpool ,Liverpool (1.),4:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Patrick Roberts
1,2,8/17/19,H,Man City,(16.),Newcastle ,Newcastle (14.),3:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Patrick Roberts
2,3,8/24/19,H,Man City,(11.),Chelsea ,Chelsea (15.),2:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
3,4,8/31/19,A,Man City,(17.),West Ham ,West Ham (14.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
4,5,9/14/19,H,Man City,(19.),Man City ,Man City (2.),3:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
5,6,9/21/19,A,Man City,(13.),Burnley ,Burnley (14.),2:0,,,,,,,1',,,,Patrick Roberts
6,7,9/28/19,A,Man City,(16.),Crystal Palace ,Crystal Palace (12.),2:0,RW,,,,,,9',,,,Patrick Roberts
7,8,10/5/19,H,Man City,(17.),Aston Villa ,Aston Villa (18.),1:5,AM,,,,,,14',,,,Patrick Roberts
8,9,10/19/19,A,Man City,(19.),Bournemouth ,Bournemouth (10.),0:0,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,,,Patrick Roberts
9,10,10/27/19,H,Man City,(19.),Man Utd ,Man Utd (14.),1:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
10,11,11/2/19,A,Man City,(19.),Brighton ,Brighton (14.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
11,12,11/8/19,H,Man City,(19.),Watford ,Watford (20.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
12,13,11/23/19,A,Man City,(20.),Everton ,Everton (15.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Patrick Roberts
13,14,12/1/19,H,Man City,(18.),Arsenal ,Arsenal (8.),2:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Patrick Roberts
14,15,12/4/19,A,Man City,(19.),Southampton ,Southampton (18.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
15,16,12/8/19,H,Man City,(19.),Sheffield Utd. ,Sheffield Utd. (9.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
16,17,12/14/19,A,Man City,(19.),Leicester ,Leicester (2.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
17,18,12/21/19,H,Man City,(19.),Wolves ,Wolves (8.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
18,19,12/26/19,A,Man City,(19.),Aston Villa ,Aston Villa (18.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
19,20,12/28/19,H,Man City,(20.),Spurs ,Spurs (6.),2:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
20,,,,Man City,,,,,,,,,,,,,,,Patrick Roberts
21,21,1/1/20,H,Man City,(3.),Everton ,Everton (10.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
22,,,,Man City,,,,,,,,,,,,,,,Patrick Roberts
23,21,1/1/20,H,Man City,(20.),Crystal Palace ,Crystal Palace (9.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
24,,,,Man City,,,,,,,,,,,,,,,Patrick Roberts
25,28,6/17/20,H,Man City,(2.),Arsenal ,Arsenal (9.),3:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Patrick Roberts
