,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,H,Watford,(17.),Brighton ,Brighton (15.),0:3,LM,,,,,,45',,,,Roberto Pereyra
1,2,8/17/19,A,Watford,(17.),Everton ,Everton (11.),1:0,LM,,,62',,,90',,,,Roberto Pereyra
2,3,8/24/19,H,Watford,(20.),West Ham ,West Ham (16.),1:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Roberto Pereyra
3,4,8/31/19,A,Watford,(20.),Newcastle ,Newcastle (19.),1:1,LM,,,,,,90',,,,Roberto Pereyra
4,5,9/15/19,H,Watford,(20.),Arsenal ,Arsenal (5.),2:2,RM,1,,,,,27',,,,Roberto Pereyra
5,6,9/21/19,A,Watford,(20.),Man City ,Man City (2.),8:0,AM,,,,,,57',,,,Roberto Pereyra
6,7,9/28/19,A,Watford,(20.),Wolves ,Wolves (19.),2:0,LM,,,,,,45',,,,Roberto Pereyra
7,8,10/5/19,H,Watford,(20.),Sheffield Utd. ,Sheffield Utd. (12.),0:0,CM,,,,,,90',,,,Roberto Pereyra
8,9,10/19/19,A,Watford,(20.),Spurs ,Spurs (9.),1:1,SS,,,84',,,84',,,,Roberto Pereyra
9,10,10/26/19,H,Watford,(20.),Bournemouth ,Bournemouth (10.),0:0,CF,,,89',,,90',,,,Roberto Pereyra
10,11,11/2/19,H,Watford,(20.),Chelsea ,Chelsea (4.),1:2,LM,,,,,,90',,,,Roberto Pereyra
11,12,11/8/19,A,Watford,(20.),Norwich ,Norwich (19.),0:2,CF,,,,,,31',,,,Roberto Pereyra
12,13,11/23/19,H,Watford,(18.),Burnley ,Burnley (10.),0:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Roberto Pereyra
13,14,11/30/19,A,Watford,(20.),Southampton ,Southampton (19.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Roberto Pereyra
14,15,12/4/19,A,Watford,(20.),Leicester ,Leicester (2.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Roberto Pereyra
15,16,12/7/19,H,Watford,(20.),Crystal Palace ,Crystal Palace (7.),0:0,AM,,,,,,77',,,,Roberto Pereyra
16,17,12/14/19,A,Watford,(20.),Liverpool ,Liverpool (1.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Roberto Pereyra
17,18,12/22/19,H,Watford,(20.),Man Utd ,Man Utd (6.),2:0,AM,,,,,,13',,,,Roberto Pereyra
18,19,12/26/19,A,Watford,(20.),Sheffield Utd. ,Sheffield Utd. (5.),1:1,RM,,,,,,45',,,,Roberto Pereyra
19,20,12/28/19,H,Watford,(19.),Aston Villa ,Aston Villa (18.),3:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Roberto Pereyra
20,21,1/1/20,H,Watford,(19.),Wolves ,Wolves (7.),2:1,,,,,,,1',,,,Roberto Pereyra
21,22,1/12/20,A,Watford,(19.),Bournemouth ,Bournemouth (18.),0:3,RM,1,,,,,8',,,,Roberto Pereyra
22,23,1/18/20,H,Watford,(17.),Spurs ,Spurs (8.),0:0,AM,,,,,,11',,,,Roberto Pereyra
23,24,1/21/20,A,Watford,(17.),Aston Villa ,Aston Villa (18.),2:1,RM,,,,,,81',,,,Roberto Pereyra
24,25,2/1/20,H,Watford,(19.),Everton ,Everton (12.),2:3,RM,1,,,,,75',,,,Roberto Pereyra
25,26,2/8/20,A,Watford,(19.),Brighton ,Brighton (15.),1:1,RM,,,,,,82',,,,Roberto Pereyra
26,27,2/23/20,A,Watford,(19.),Man Utd ,Man Utd (7.),3:0,RW,,,,,,69',,,,Roberto Pereyra
27,28,2/29/20,H,Watford,(19.),Liverpool ,Liverpool (1.),3:0,LM,,,,,,53',,,,Roberto Pereyra
28,29,3/7/20,A,Watford,(17.),Crystal Palace ,Crystal Palace (12.),1:0,LM,,,,,,74',,,,Roberto Pereyra
