,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,08/11/2019,A,Wolves,-7,Leicester ,Leicester (3.),00:00,CB,,,,,,90',,,,Ryan Bennett (prior)
1,2,8/19/19,H,Wolves,-10,Man Utd ,Man Utd (2.),01:01,CB,,,67',,,90',,,,Ryan Bennett (prior)
2,3,8/25/19,H,Wolves,-12,Burnley ,Burnley (10.),01:01,CB,,,,,,90',,,,Ryan Bennett (prior)
3,4,09/01/2019,A,Wolves,-15,Everton ,Everton (12.),03:02,CB,,,58',,,90',,,,Ryan Bennett (prior)
4,5,9/14/19,H,Wolves,-17,Chelsea ,Chelsea (11.),02:05,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
5,6,9/22/19,A,Wolves,-19,Crystal Palace ,Crystal Palace (12.),01:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
6,7,9/28/19,H,Wolves,-19,Watford ,Watford (20.),02:00,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ryan Bennett (prior)
7,8,10/06/2019,A,Wolves,-13,Man City ,Man City (2.),00:02,CB,,,,,,77',,,,Ryan Bennett (prior)
8,9,10/19/19,H,Wolves,-11,Southampton ,Southampton (17.),01:01,CB,,,,,,18',,,,Ryan Bennett (prior)
9,10,10/27/19,A,Wolves,-13,Newcastle ,Newcastle (18.),01:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
10,11,11/02/2019,A,Wolves,-12,Arsenal ,Arsenal (5.),01:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
11,12,11/10/2019,H,Wolves,-12,Aston Villa ,Aston Villa (16.),02:01,,,,,,,4',,,,Ryan Bennett (prior)
12,13,11/23/19,A,Wolves,-8,Bournemouth ,Bournemouth (9.),01:02,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
13,14,12/01/2019,H,Wolves,-5,Sheffield Utd. ,Sheffield Utd. (6.),01:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
14,15,12/04/2019,H,Wolves,-6,West Ham ,West Ham (13.),02:00,,,,,,,1',,,,Ryan Bennett (prior)
15,16,12/08/2019,A,Wolves,-5,Brighton ,Brighton (13.),02:02,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ryan Bennett (prior)
16,17,12/15/19,H,Wolves,-6,Spurs ,Spurs (7.),01:02,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ryan Bennett (prior)
17,18,12/21/19,A,Wolves,-8,Norwich ,Norwich (19.),01:02,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ryan Bennett (prior)
18,19,12/27/19,H,Wolves,-6,Man City ,Man City (3.),03:02,,,,,,,1',,,,Ryan Bennett (prior)
19,20,12/29/19,A,Wolves,-5,Liverpool ,Liverpool (1.),01:00,CB,,,,,,90',,,,Ryan Bennett (prior)
20,21,01/01/2020,A,Wolves,-7,Watford ,Watford (19.),02:01,CB,,,,,,54',,,,Ryan Bennett (prior)
21,22,01/11/2020,H,Wolves,-7,Newcastle ,Newcastle (13.),01:01,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Ryan Bennett (prior)
22,23,1/18/20,A,Wolves,-7,Southampton ,Southampton (12.),02:03,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
23,24,1/23/20,H,Wolves,-6,Liverpool ,Liverpool (1.),01:02,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
24,,,,Wolves,,,,,,,,,,,,,,,Ryan Bennett (prior)
25,25,02/01/2020,H,Wolves,-3,Chelsea ,Chelsea (4.),02:02,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
26,26,2/14/20,A,Wolves,-3,Wolves ,Wolves (8.),00:00,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
27,27,2/22/20,H,Wolves,-3,Man City ,Man City (2.),00:01,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
28,28,2/28/20,A,Wolves,-3,Norwich ,Norwich (20.),01:00,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
29,29,03/09/2020,H,Wolves,-3,Aston Villa ,Aston Villa (19.),04:00,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Ryan Bennett (prior)
