,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,21,1/2/20,H,Liverpool,(1.),Sheffield Utd. ,Sheffield Utd. (8.),2:0,No eligibility,No eligibility,No eligibility,No eligibility,No eligibility,No eligibility,No eligibility,No eligibility,,,Takumi Minamino
1,22,1/11/20,A,Liverpool,(1.),Spurs ,Spurs (6.),0:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Takumi Minamino
2,23,1/19/20,H,Liverpool,(1.),Man Utd ,Man Utd (5.),2:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Takumi Minamino
3,24,1/23/20,A,Liverpool,(1.),Wolves ,Wolves (6.),1:2,LW,,,,,,57',,,,Takumi Minamino
4,18,1/29/20,A,Liverpool,(1.),West Ham ,West Ham (15.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Takumi Minamino
5,25,2/1/20,H,Liverpool,(1.),Southampton ,Southampton (9.),4:0,LW,,,,,,9',,,,Takumi Minamino
6,26,2/15/20,A,Liverpool,(1.),Norwich ,Norwich (20.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Takumi Minamino
7,27,2/24/20,H,Liverpool,(1.),West Ham ,West Ham (18.),3:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Takumi Minamino
8,28,2/29/20,A,Liverpool,(1.),Watford ,Watford (19.),3:0,AM,,,,,,11',,,,Takumi Minamino
9,29,3/7/20,H,Liverpool,(1.),Bournemouth ,Bournemouth (18.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Takumi Minamino
