,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/9/19,A,Norwich,(20.),Liverpool ,Liverpool (1.),4:1,LM,,,,,,90',,,,Todd Cantwell
1,2,8/17/19,H,Norwich,(16.),Newcastle ,Newcastle (14.),3:1,LM,,2,,,,90',,,,Todd Cantwell
2,3,8/24/19,H,Norwich,(11.),Chelsea ,Chelsea (15.),2:3,LM,1,,,,,90',,,,Todd Cantwell
3,4,8/31/19,A,Norwich,(17.),West Ham ,West Ham (14.),2:0,LM,,,,,,78',,,,Todd Cantwell
4,5,9/14/19,H,Norwich,(19.),Man City ,Man City (2.),3:2,LM,1,,87',,,90',,,,Todd Cantwell
5,6,9/21/19,A,Norwich,(13.),Burnley ,Burnley (14.),2:0,LM,,,,,,90',,,,Todd Cantwell
6,7,9/28/19,A,Norwich,(16.),Crystal Palace ,Crystal Palace (12.),2:0,LM,,,,,,81',,,,Todd Cantwell
7,8,10/5/19,H,Norwich,(17.),Aston Villa ,Aston Villa (18.),1:5,LM,,,,,,80',,,,Todd Cantwell
8,9,10/19/19,A,Norwich,(19.),Bournemouth ,Bournemouth (10.),0:0,LM,,,,,,81',,,,Todd Cantwell
9,10,10/27/19,H,Norwich,(19.),Man Utd ,Man Utd (14.),1:3,LM,,,,,,45',,,,Todd Cantwell
10,11,11/2/19,A,Norwich,(19.),Brighton ,Brighton (14.),2:0,,,,,,,6',,,,Todd Cantwell
11,12,11/8/19,H,Norwich,(19.),Watford ,Watford (20.),0:2,AM,,,,,,28',,,,Todd Cantwell
12,13,11/23/19,A,Norwich,(20.),Everton ,Everton (15.),0:2,RM,1,,,,,80',,,,Todd Cantwell
13,14,12/1/19,H,Norwich,(18.),Arsenal ,Arsenal (8.),2:2,RM,1,,,,,83',,,,Todd Cantwell
14,15,12/4/19,A,Norwich,(19.),Southampton ,Southampton (18.),2:1,RM,,,,,,83',,,,Todd Cantwell
15,16,12/8/19,H,Norwich,(19.),Sheffield Utd. ,Sheffield Utd. (9.),1:2,LM,,,,,,18',,,,Todd Cantwell
16,17,12/14/19,A,Norwich,(19.),Leicester ,Leicester (2.),1:1,LM,,,33',,,85',,,,Todd Cantwell
17,18,12/21/19,H,Norwich,(19.),Wolves ,Wolves (8.),1:2,LM,1,,,,,86',,,,Todd Cantwell
18,19,12/26/19,A,Norwich,(19.),Aston Villa ,Aston Villa (18.),1:0,LM,,,,,,90',,,,Todd Cantwell
19,20,12/28/19,H,Norwich,(20.),Spurs ,Spurs (6.),2:2,,,,,,,4',,,,Todd Cantwell
20,21,1/1/20,H,Norwich,(20.),Crystal Palace ,Crystal Palace (9.),1:1,LM,1,,,,,78',,,,Todd Cantwell
21,22,1/11/20,A,Norwich,(20.),Man Utd ,Man Utd (5.),4:0,LM,,,,,,90',,,,Todd Cantwell
22,23,1/18/20,H,Norwich,(20.),Bournemouth ,Bournemouth (19.),1:0,LM,,,,,,90',,,,Todd Cantwell
23,24,1/22/20,A,Norwich,(20.),Spurs ,Spurs (8.),2:1,LM,,,47',,,90',,,,Todd Cantwell
24,25,2/1/20,A,Norwich,(20.),Newcastle ,Newcastle (14.),0:0,LM,,,44',,,67',,,,Todd Cantwell
25,26,2/15/20,H,Norwich,(20.),Liverpool ,Liverpool (1.),0:1,LM,,,,,,90',,,,Todd Cantwell
26,27,2/23/20,A,Norwich,(20.),Wolves ,Wolves (8.),3:0,LM,,,,,,84',,,,Todd Cantwell
27,28,2/28/20,H,Norwich,(20.),Leicester ,Leicester (3.),1:0,LM,,,,,,68',,,,Todd Cantwell
28,29,3/7/20,A,Norwich,(20.),Sheffield Utd. ,Sheffield Utd. (7.),1:0,LM,,,,,,45',,,,Todd Cantwell
