,pred_01,gw_01,min_01,amp_01,gw_02,min_02,amp_02,gw_03,min_03,amp_03,gw_04,min_04,amp_04,gw_05,min_05,amp_05,gw_06,min_06,amp_06,gw_07,min_07,amp_07,gw_08,min_08,amp_08,gw_09,min_09,amp_09,gw_10,min_10,amp_10,gw_11,min_11,amp_11,gw_12,min_12,amp_12,gw_13,min_13,amp_13,gw_14,min_14,amp_14,gw_15,min_15,amp_15,gw_16,min_16,amp_16,gw_17,min_17,amp_17,gw_18,min_18,amp_18,gw_19,min_19,amp_19,gw_20,min_20,amp_20,gw_21,min_21,amp_21,gw_22,min_22,amp_22,gw_23,min_23,amp_23,gw_24,min_24,amp_24,gw_25,min_25,amp_25,gw_26,min_26,amp_26,gw_27,min_27,amp_27,gw_28,min_28,amp_28,gw_29,min_29,amp_29,team,name,position
0,13.23,15.75,90.0,2,9.25,90.0,2,7.25,90.0,-1,16.75,90.0,0,16.75,90.0,2,14.5,90.0,4,10.0,90.0,0,15.0,90.0,2,5.25,90.0,2,7.75,90.0,1,17.0,90.0,1,13.0,90.0,-1,14.75,90.0,3,15.0,90.0,3,16.5,90.0,1,9.0,90.0,2,11.25,90.0,-1,11.0,90.0,0,10.5,90.0,1,8.0,90.0,-1,20.75,90.0,0,5.0,90.0,0,7.0,90.0,0,14.5,90.0,-2,16.5,90.0,0,0.0,90.0,1,0.0,90.0,1,0.0,90.0,-2,0.0,90.0,2,ARS,Bernd Leno,G
1,0.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,2,0.0,0.0,4,0.0,0.0,0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,3,0.0,0.0,1,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-2,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,-2,0.0,0.0,2,ARS,Emiliano Martinez,G
2,0.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,2,0.0,0.0,4,0.0,0.0,0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,3,0.0,0.0,1,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-2,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,-2,0.0,0.0,2,ARS,Matt Macey,G
3,0.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,2,0.0,0.0,4,0.0,0.0,0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,3,0.0,0.0,1,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-2,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,-2,0.0,0.0,2,ARS,Cedric Soares,D
4,11.9,0.0,0.0,2,4.8,90.0,2,4.0,90.0,-1,7.75,90.0,0,7.1,90.0,2,6.05,90.0,4,8.7,90.0,0,25.65,90.0,2,5.5,90.0,2,17.9,90.0,1,5.1,90.0,1,6.6,90.0,-1,10.85,90.0,3,5.75,90.0,3,3.85,90.0,1,0.0,0.0,2,0.0,0.0,-1,16.85,90.0,0,5.7,90.0,1,4.15,90.0,-1,14.95,90.0,0,6.05,90.0,0,8.5,90.0,0,-13.85,26.0,-2,15.15,90.0,0,0.0,90.0,1,0.0,90.0,1,0.0,25.0,-2,0.0,90.0,2,ARS,David Luiz,D
5,9.3,0.0,0.0,2,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,2,0.0,0.0,4,0.0,0.0,0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,4.7,90.0,-1,8.02,83.0,3,0.0,0.0,3,5.95,90.0,1,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,18.9,90.0,-2,18.05,90.0,0,0.0,90.0,1,0.0,90.0,1,0.0,90.0,-2,0.0,1.0,2,ARS,Hector Bellerin,D
6,0.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,2,0.0,0.0,4,0.0,0.0,0,0.0,0.0,2,0.0,0.0,2,8.04,75.0,1,7.34,87.0,1,0.0,0.0,-1,8.9,90.0,3,0.0,0.0,3,20.0,18.0,1,7.6,29.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-2,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,90.0,-2,0.0,0.0,2,ARS,Kieran Tierney,D
7,0.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,2,0.0,0.0,4,0.0,0.0,0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,3,0.0,0.0,1,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-2,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,24.0,-2,0.0,90.0,2,ARS,Pablo Mari,D
8,0.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,2,0.0,0.0,4,0.0,0.0,0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,8.88,77.0,-1,0.0,0.0,3,0.0,0.0,3,0.0,0.0,1,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7.25,9.0,-2,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,-2,0.0,0.0,2,ARS,Rob Holding,D
9,10.3,0.0,0.0,2,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,0.0,0.0,2,0.0,0.0,4,0.0,0.0,0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,3,13.35,90.0,3,0.0,0.0,1,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,0,8.13,13.0,1,4.9,67.0,-1,0.0,0.0,0,0.0,0.0,0,12.55,90.0,0,13.15,90.0,-2,17.4,90.0,0,0.0,90.0,1,0.0,90.0,1,0.0,90.0,-2,0.0,0.0,2,ARS,Shkodran Mustafi,D
