player,pre,club_pos_id
Bernd Leno,12.75,1
Runar Alex Runarsson,10.75,2
Mat Ryan,11.25,3
Hector Bellerin,11.7,4
Cedric Soares,12.6,5
Calum Chambers,11.55,6
Pablo Mari,12.25,7
Rob Holding,7.8,8
Gabriel Magalhaes,10.5,9
David Luiz,8.65,10
Shkodran Mustafi,10.95,11
Kieran Tierney,12.6,12
Sead Kolasinac,9.9,13
Bukayo Saka,11.1,14
Mohamed Elneny,10.5,15
Granit Xhaka,9.15,16
Thomas Partey,10.25,17
Martin Odegaard,10.25,18
Emile Smith Rowe,11.5,19
Dani Ceballos,12.25,20
Gabriel Martinelli,12.6,21
Nicolas Pepe,14.1,22
Willian,16.85,23
Pierre-Emerick Aubameyang,13.5,24
Reiss Nelson,13.35,25
Alexandre Lacazette,16.7,26
Eddie Nketiah,10.25,27
Emiliano Martinez,13.65,1
Matthew Cash,11.75,2
Ahmed El Mohamady,11.9,3
Ezri Konsa Ngoyo,10.3,4
Tyone Mings,8.85,5
Kortney Hause,9.3,6
Matt Targett,11.55,7
Neil Taylor,7.85,8
Marvelous Nakamba,10.65,9
Douglas Luiz,11.6,10
Morgan Sanson,11.1,11
Conor Hourihane,13.15,12
Ross Barkley,13.75,13
Carney Chukwuemeka,12,14
Jaden Philogene-Bidace,12,15
John McGinn,12.7,16
Jacob Ramsey,12.1,17
Jack Grealish,13.15,18
Bertrand Traore,12.65,19
Trezeguet,12.75,20
Anwar El Ghazi,13.75,21
Keinan Davis,11.3,22
Ollie Watkins,12.6,23
Wesley,8.3,24
Robert Sanchez,11,1
Ben White,9.5,2
Adam Webster,10,3
Lewis Dunk,10.6,4
Dan Burn,10.6,5
Bernardo,10.1,6
Tariq Lamptey,12.7,7
Joel Veltman,11.1,8
Solly March,11.65,9
Davy Propper,10.55,10
Yves Bissouma,13.5,11
Steven Alzate,12.1,12
Jakub Moder,12,13
Reda Khadra,12,14
Adam Lallana,12.5,15
Pascal Gross,12.1,16
Jayson Molumby,12.15,17
Alexis Mac Allister,10.2,18
Leandro Trossard,13.45,19
Neal Maupay,10.1,20
Aaron Connolly,9,21
Alireza Jahanbakhsh,15.1,22
Danny Welbeck,9.55,23
Percy Tau,10.9,24
Andi Zeqiri,10.9,25
Jose Izquierdo,10.9,26
Nick Pope,13.35,1
Bailey Peacock-Farrell,10.75,2
Will Norris,9.75,3
Matthew Lowton,10.8,4
Phil Bardsley,11.8,5
James Tarkowski,12.7,6
Ben Mee,11.35,7
Kevin Long,10.5,8
Jimmy Dunne,10.5,9
Charlie Taylor,12.3,10
Erik Pieters,11,11
Johann Gudmundsson,13.1,12
Dale Stephens,11,13
Ashley Westwood,11,14
Jack Cork,8.45,15
Josh Bronwhill,8.7,16
Josh Benson,9.8,17
Dwight McNeil,12.65,18
Robbie Brady,17.2,19
Lewis Richardson,11.35,20
Chris Wood,10.8,21
Ashley Barnes,9.2,22
Jay Rodriguez,12,23
