player,pre,club_pos_id
Mark Travers,8.7,1
Orjan Nyland,8.8,2
Lloyd Kelly,12.15,3
Jack Stacey,8.45,4
Adam Smith,11.35,5
Nathaniel Phillips,10.55,6
Chris Mepham,9.9,7
Jordan Zemura,14.25,8
Leif Davis,8.25,9
Philip Billing,11.55,10
Jeffrson Lerma,10.3,11
Lewis Cook,10.75,12
Ryan Christie,12.3,13
Ben Pearson,9.55,14
Emiliano Marcondes,13.05,15
Gavin Kilkenny,11.35,16
Robbie Brady,21.25,17
David Brooks,14.45,18
Dominic Solanke,15.6,19
Jaidon Anthony,14.8,20
Kiefer Moore,14.9,21
Siriki Dembele,12.6,22
Morgan Rogers,10.75,23
Jamal Lowe,14.75,24
Junior Stanislas,11.35,25
Marek Rodak,11.25,1
Paulo Gazzaniga,12.75,2
Kenny Tete,11.6,3
Denis Odoi,10.65,4
Tosin Adarabioyo,12.25,5
Tim Ream,11.55,6
Alfie Mawson,12.4,7
Michael Hector,5.9,8
Antonee Robinson,14.6,9
Joe Bryan,11.65,10
Andre-Frank Zambo Anguissa,13.2,11
Fabio Carvalho,13.45,12
Harrison Reed,9.65,13
Bobby De Cordova-Reid,9.9,14
Tom Cairney,7.1,15
Jean Michael Seri,12.2,16
Nathaniel Chalobah,5.8,17
Josh Onomah,9.9,18
Tyrese Francois,7.1,19
Anthony Knockaert,11.25,20
Harry Wilson,12.2,21
Neeskens Kebano,11.25,22
Aleksandar Mitrovic,12.1,23
Rodrigo Muniz,9.15,24
Ivan Cavaleiro,10.5,25
Jay Stansfield,9.15,26
Brice Samba,10.1,1
Ethan Horvath,10.6,2
Djed Spence,14.45,3
Richie Laryeah,11.5,4
Jordan Lawrence-Gabriel,9.1,5
Joe Worrall,10.2,6
Scott McKenna,8.35,7
Steve Cook,10,55,8
Jonathan Panzo,9.1,9
Tobias Figueiredo,10,10
Max Lowe,10.25,11
Loic Mbe Soh,6,12
Gaetan Bong,10,13
Brennan Johnson,14.5,14
James Garner,11.95,15
Ryan Yates,11.6,16
Braian Ojeda,10.7,17
Cafu,12,18
Jack Colback,11.6,19
Alex Mighten,11.85,20
Philip Zinckernagel,10.7,21
Joe Lolley,9.35,22
Sam Surridge,11.4,23
Lewis Grabban,10.15,24
Lyle Taylor,7,25
Xande Silva,8.85,26
