player,position,team
Aaron Connolly,F,BHA
Aaron Cresswell,D,WHU
Aaron Ramsdale,G,SHU
Aaron Wan-Bissaka,D,MUN
Abdoulaye Doucoure,M,EVE
Aboubakar Kamara,F,FUL
Adam Lallana,M,BHA
Adam Webster,D,BHA
Adama Traore,"M,F",WOL
Ademola Lookman,"M,F",FUL
Adrian,G,LIV
Ahmed El Mohamady,D,AVL
Ahmed Hegazi,D,WBA
Ainsley Maitland-Niles,"D,M",ARS
,,WBA
Aleksandar Mitrovic,F,FUL
Alex Iwobi,"M,F,",EVE
Alex McCarthy,G,SOU
Alex Oxlade-Chamberlain,M,LIV
Alex Telles,D,MUN
Alexandre Jankewitz,M,SOU
Alexandre Lacazette,F,ARS
Alexis Mac Allister,M,BHA
Alireza Jahanbakhsh,F,BHA
Alisson,G,LIV
Allan,M,EVE
Allan Saint-Maximin,"M,F",NEW
Allan Tchaptchet,D,SOU
Alphonse Areola,G,FUL
Amad Diallo,F,MUN
Andi Zeqiri,F,BHA
Andre Gomes,M,EVE
Andre-Frank Zambo Anguissa,M,FUL
Andreas Christensen,D,CHE
Andrew Robertson,D,LIV
Andriy Yarmolenko,"M,F",WHU
Andros Townsend,"M,F",CRY
Andy Carroll,F,NEW
Angelo Ogbonna,D,WHU
Anthony Elanga,F,MUN
Anthony Gordon,F,EVE
Anthony Martial,F,MUN
Antonee Robinson,"D,M",FUL
Antonio Rudiger,D,CHE
Antwoine Hackford,F,SHU
Anwar El Ghazi,"M,F",AVL
Arthur Masuaku,D,WHU
Ashley Barnes,F,BUR
Ashley Westwood,M,BUR
Axel Tuanzebe,D,MUN
Aymeric Laporte,D,MCI
Ayoze Perez,"M,F",LEI
Bailey Peacock-Farrell,G,BUR
Ben Chilwell,"D,M",CHE
Ben Davies,D,TOT
Ben Godfrey,"D,M",EVE
Ben Johnson,D,WHU
Ben Mee,D,BUR
Ben Osborn,M,SHU
Ben White,D,BHA
Benjamin Mendy,D,MCI
Bernard,"M,F",EVE
Bernardo,D,BHA
Bernardo Silva,M,MCI
Bernd Leno,G,ARS
