,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Marek Rodak,G,1,May 23,FUL,NEW,L 0-2,7.5,90,1
1,Marek Rodak,G,1,Sep 12,FUL,ARS,L 0-3,5.0,90,1
0,Alphonse Areola,G,1,May 18,FUL,@MUN,T 1-1,8.5,90,1
1,Alphonse Areola,G,1,May 15,FUL,@SOU,L 1-3,7.0,90,1
2,Alphonse Areola,G,1,May 10,FUL,BUR,L 0-2,8.0,90,1
3,Alphonse Areola,G,1,May 1,FUL,@CHE,L 0-2,8.0,90,1
4,Alphonse Areola,G,1,Apr 18,FUL,@ARS,T 1-1,8.0,90,1
5,Alphonse Areola,G,1,Apr 9,FUL,WOL,L 0-1,6.0,90,1
6,Alphonse Areola,G,1,Apr 4,FUL,@AVL,L 1-3,5.5,90,1
7,Alphonse Areola,G,1,Mar 19,FUL,LEE,L 1-2,6.0,90,1
8,Alphonse Areola,G,1,Mar 13,FUL,MCI,L 0-3,8.5,90,1
9,Alphonse Areola,G,1,Mar 7,FUL,@LIV,W 1-0,19.0,90,1
10,Alphonse Areola,G,1,Mar 4,FUL,TOT,L 0-1,7.0,90,1
11,Alphonse Areola,G,1,Feb 28,FUL,@CRY,T 0-0,13.5,90,1
12,Alphonse Areola,G,1,Feb 20,FUL,SHU,W 1-0,15.0,90,1
13,Alphonse Areola,G,1,Feb 17,FUL,@BUR,T 1-1,8.0,90,1
14,Alphonse Areola,G,1,Feb 14,FUL,@EVE,W 2-0,15.5,90,1
15,Alphonse Areola,G,1,Feb 6,FUL,WHU,T 0-0,13.5,90,1
16,Alphonse Areola,G,1,Feb 3,FUL,LEI,L 0-2,7.0,90,1
17,Alphonse Areola,G,1,Jan 30,FUL,@WBA,T 2-2,4.0,90,1
18,Alphonse Areola,G,1,Jan 27,FUL,@BHA,T 0-0,24.5,90,1
19,Alphonse Areola,G,1,Jan 20,FUL,MUN,L 1-2,7.0,90,1
20,Alphonse Areola,G,1,Jan 16,FUL,CHE,L 0-1,13.5,90,1
21,Alphonse Areola,G,1,Jan 13,FUL,@TOT,T 1-1,12.0,90,1
22,Alphonse Areola,G,1,Dec 26,FUL,SOU,T 0-0,15.0,90,1
23,Alphonse Areola,G,1,Dec 19,FUL,@NEW,T 1-1,9.0,90,1
24,Alphonse Areola,G,1,Dec 16,FUL,BHA,T 0-0,19.0,90,1
25,Alphonse Areola,G,1,Dec 13,FUL,LIV,T 1-1,11.0,90,1
26,Alphonse Areola,G,1,Dec 5,FUL,@MCI,L 0-2,9.0,90,1
27,Alphonse Areola,G,1,Nov 30,FUL,@LEI,W 2-1,7.5,90,1
28,Alphonse Areola,G,1,Nov 22,FUL,EVE,L 2-3,9.5,90,1
29,Alphonse Areola,G,1,Nov 7,FUL,@WHU,L 0-1,15.0,90,1
30,Alphonse Areola,G,1,Nov 2,FUL,WBA,W 2-0,13.5,90,1
31,Alphonse Areola,G,1,Oct 24,FUL,CRY,L 1-2,15.5,90,1
32,Alphonse Areola,G,1,Oct 18,FUL,@SHU,T 1-1,10.5,90,1
33,Alphonse Areola,G,1,Oct 4,FUL,@WOL,L 0-1,10.5,90,1
34,Alphonse Areola,G,1,Sep 28,FUL,AVL,L 0-3,5.0,90,1
35,Alphonse Areola,G,1,Sep 19,FUL,@LEE,L 3-4,8.0,90,1
0,Kenny Tete,D,2,May 23,FUL,NEW,L 0-2,7.4,90,1
1,Kenny Tete,D,2,May 18,FUL,@MUN,T 1-1,3.0,1,0
2,Kenny Tete,D,2,May 15,FUL,@SOU,L 1-3,13.1,90,1
3,Kenny Tete,D,2,May 10,FUL,BUR,L 0-2,9.25,53,1
4,Kenny Tete,D,2,Apr 9,FUL,WOL,L 0-1,5.75,90,1
5,Kenny Tete,D,2,Apr 4,FUL,@AVL,L 1-3,14.25,90,1
6,Kenny Tete,D,2,Mar 19,FUL,LEE,L 1-2,2.35,17,0
7,Kenny Tete,D,2,Mar 13,FUL,MCI,L 0-3,6.55,90,1
8,Kenny Tete,D,2,Mar 7,FUL,@LIV,W 1-0,16.1,90,1
9,Kenny Tete,D,2,Feb 28,FUL,@CRY,T 0-0,16.8,90,1
10,Kenny Tete,D,2,Feb 20,FUL,SHU,W 1-0,1.6,11,0
11,Kenny Tete,D,2,Feb 17,FUL,@BUR,T 1-1,7.0,77,1
12,Kenny Tete,D,2,Feb 14,FUL,@EVE,W 2-0,17.05,90,1
13,Kenny Tete,D,2,Feb 6,FUL,WHU,T 0-0,14.85,90,1
14,Kenny Tete,D,2,Feb 3,FUL,LEI,L 0-2,4.1,44,1
15,Kenny Tete,D,2,Jan 30,FUL,@WBA,T 2-2,2.85,8,0
16,Kenny Tete,D,2,Jan 27,FUL,@BHA,T 0-0,17.85,78,1
17,Kenny Tete,D,2,Jan 20,FUL,MUN,L 1-2,16.25,90,1
18,Kenny Tete,D,2,Jan 16,FUL,CHE,L 0-1,10.2,90,1
19,Kenny Tete,D,2,Jan 13,FUL,@TOT,T 1-1,7.95,66,1
20,Kenny Tete,D,2,Sep 28,FUL,AVL,L 0-3,4.85,39,1
21,Kenny Tete,D,2,Sep 19,FUL,@LEE,L 3-4,17.05,90,1
0,Ola Aina,D,2,May 15,FUL,@SOU,L 1-3,5.0,61,1
1,Ola Aina,D,2,May 1,FUL,@CHE,L 0-2,7.0,90,1
2,Ola Aina,D,2,Apr 18,FUL,@ARS,T 1-1,6.55,90,1
3,Ola Aina,D,2,Apr 9,FUL,WOL,L 0-1,14.35,83,1
4,Ola Aina,D,2,Apr 4,FUL,@AVL,L 1-3,5.65,90,1
5,Ola Aina,D,2,Mar 19,FUL,LEE,L 1-2,3.6,71,1
6,Ola Aina,D,2,Mar 13,FUL,MCI,L 0-3,9.0,90,1
7,Ola Aina,D,2,Mar 7,FUL,@LIV,W 1-0,15.45,90,1
8,Ola Aina,D,2,Mar 4,FUL,TOT,L 0-1,15.5,90,1
9,Ola Aina,D,2,Feb 28,FUL,@CRY,T 0-0,3.5,44,1
10,Ola Aina,D,2,Feb 20,FUL,SHU,W 1-0,20.55,90,1
11,Ola Aina,D,2,Feb 17,FUL,@BUR,T 1-1,16.0,90,1
12,Ola Aina,D,2,Feb 14,FUL,@EVE,W 2-0,21.5,90,1
13,Ola Aina,D,2,Feb 3,FUL,LEI,L 0-2,5.35,90,1
14,Ola Aina,D,2,Jan 30,FUL,@WBA,T 2-2,5.3,80,1
15,Ola Aina,D,2,Jan 27,FUL,@BHA,T 0-0,15.35,90,1
16,Ola Aina,D,2,Jan 20,FUL,MUN,L 1-2,4.05,82,1
17,Ola Aina,D,2,Jan 16,FUL,CHE,L 0-1,8.5,82,1
18,Ola Aina,D,2,Jan 13,FUL,@TOT,T 1-1,7.95,90,1
19,Ola Aina,D,2,Dec 26,FUL,SOU,T 0-0,17.15,90,1
20,Ola Aina,D,2,Dec 19,FUL,@NEW,T 1-1,8.55,90,1
21,Ola Aina,D,2,Dec 16,FUL,BHA,T 0-0,16.45,90,1
22,Ola Aina,D,2,Dec 13,FUL,LIV,T 1-1,7.8,90,1
23,Ola Aina,D,2,Dec 5,FUL,@MCI,L 0-2,5.25,90,1
24,Ola Aina,D,2,Nov 30,FUL,@LEI,W 2-1,8.85,90,1
25,Ola Aina,D,2,Nov 22,FUL,EVE,L 2-3,10.45,90,1
26,Ola Aina,D,2,Nov 7,FUL,@WHU,L 0-1,7.75,90,1
27,Ola Aina,D,2,Nov 2,FUL,WBA,W 2-0,25.5,90,1
28,Ola Aina,D,2,Oct 24,FUL,CRY,L 1-2,9.65,90,1
29,Ola Aina,D,2,Oct 18,FUL,@SHU,T 1-1,9.6,90,1
30,Ola Aina,D,2,Oct 4,FUL,@WOL,L 0-1,7.95,90,1
0,Denis Odoi,D,2,Sep 28,FUL,AVL,L 0-3,9.95,90,1
1,Denis Odoi,D,2,Sep 19,FUL,@LEE,L 3-4,5.35,90,1
2,Denis Odoi,D,2,Sep 12,FUL,ARS,L 0-3,6.2,90,1
0,Tim Ream,D,2,May 23,FUL,NEW,L 0-2,6.8,90,1
1,Tim Ream,D,2,May 18,FUL,@MUN,T 1-1,5.8,90,1
2,Tim Ream,D,2,Oct 24,FUL,CRY,L 1-2,7.05,90,1
3,Tim Ream,D,2,Oct 18,FUL,@SHU,T 1-1,9.05,90,1
4,Tim Ream,D,2,Oct 4,FUL,@WOL,L 0-1,6.95,90,1
5,Tim Ream,D,2,Sep 28,FUL,AVL,L 0-3,5.45,90,1
6,Tim Ream,D,2,Sep 12,FUL,ARS,L 0-3,5.95,90,1
0,Joachim Andersen,D,2,May 18,FUL,@MUN,T 1-1,8.45,57,0
1,Joachim Andersen,D,2,May 15,FUL,@SOU,L 1-3,6.05,90,1
2,Joachim Andersen,D,2,May 10,FUL,BUR,L 0-2,10.5,90,1
3,Joachim Andersen,D,2,May 1,FUL,@CHE,L 0-2,11.6,90,1
4,Joachim Andersen,D,2,Apr 18,FUL,@ARS,T 1-1,3.4,90,1
5,Joachim Andersen,D,2,Apr 9,FUL,WOL,L 0-1,5.4,90,1
6,Joachim Andersen,D,2,Apr 4,FUL,@AVL,L 1-3,4.6,90,1
7,Joachim Andersen,D,2,Mar 19,FUL,LEE,L 1-2,15.4,90,1
8,Joachim Andersen,D,2,Mar 13,FUL,MCI,L 0-3,4.25,90,1
9,Joachim Andersen,D,2,Mar 7,FUL,@LIV,W 1-0,18.1,90,1
10,Joachim Andersen,D,2,Mar 4,FUL,TOT,L 0-1,11.3,90,1
11,Joachim Andersen,D,2,Feb 28,FUL,@CRY,T 0-0,17.35,90,1
12,Joachim Andersen,D,2,Feb 20,FUL,SHU,W 1-0,17.7,90,1
13,Joachim Andersen,D,2,Feb 17,FUL,@BUR,T 1-1,16.85,90,1
14,Joachim Andersen,D,2,Feb 14,FUL,@EVE,W 2-0,13.5,90,1
15,Joachim Andersen,D,2,Feb 6,FUL,WHU,T 0-0,17.8,90,1
16,Joachim Andersen,D,2,Feb 3,FUL,LEI,L 0-2,9.5,90,1
17,Joachim Andersen,D,2,Jan 30,FUL,@WBA,T 2-2,8.55,90,1
18,Joachim Andersen,D,2,Jan 27,FUL,@BHA,T 0-0,19.2,90,1
19,Joachim Andersen,D,2,Jan 20,FUL,MUN,L 1-2,7.15,90,1
20,Joachim Andersen,D,2,Jan 16,FUL,CHE,L 0-1,13.15,90,1
21,Joachim Andersen,D,2,Jan 13,FUL,@TOT,T 1-1,4.55,90,1
22,Joachim Andersen,D,2,Dec 26,FUL,SOU,T 0-0,14.15,90,1
23,Joachim Andersen,D,2,Dec 19,FUL,@NEW,T 1-1,8.8,62,1
24,Joachim Andersen,D,2,Dec 16,FUL,BHA,T 0-0,18.6,90,1
25,Joachim Andersen,D,2,Dec 13,FUL,LIV,T 1-1,2.6,90,1
26,Joachim Andersen,D,2,Dec 5,FUL,@MCI,L 0-2,9.65,90,1
27,Joachim Andersen,D,2,Nov 30,FUL,@LEI,W 2-1,8.0,90,1
28,Joachim Andersen,D,2,Nov 22,FUL,EVE,L 2-3,9.9,90,1
29,Joachim Andersen,D,2,Nov 7,FUL,@WHU,L 0-1,4.2,90,1
30,Joachim Andersen,D,2,Nov 2,FUL,WBA,W 2-0,14.75,90,1
0,Tosin Adarabioyo,D,2,May 23,FUL,NEW,L 0-2,7.9,90,1
1,Tosin Adarabioyo,D,2,May 18,FUL,@MUN,T 1-1,6.35,90,1
2,Tosin Adarabioyo,D,2,May 15,FUL,@SOU,L 1-3,6.4,90,1
3,Tosin Adarabioyo,D,2,May 10,FUL,BUR,L 0-2,7.75,73,1
4,Tosin Adarabioyo,D,2,May 1,FUL,@CHE,L 0-2,4.05,90,1
5,Tosin Adarabioyo,D,2,Apr 18,FUL,@ARS,T 1-1,7.8,90,1
6,Tosin Adarabioyo,D,2,Apr 4,FUL,@AVL,L 1-3,5.9,90,1
7,Tosin Adarabioyo,D,2,Mar 19,FUL,LEE,L 1-2,5.45,90,1
