,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Tim Krul,G,1,May 22,NOR,TOT,L 0-5,11.5,90,1
1,Tim Krul,G,1,May 8,NOR,WHU,L 0-4,3.5,90,1
2,Tim Krul,G,1,Apr 30,NOR,@AVL,L 0-2,8.5,90,1
3,Tim Krul,G,1,Apr 23,NOR,NEW,L 0-3,8.5,90,1
4,Tim Krul,G,1,Apr 16,NOR,@MUN,L 2-3,12.5,90,1
5,Tim Krul,G,1,Apr 10,NOR,BUR,W 2-0,17.5,90,1
6,Tim Krul,G,1,Apr 2,NOR,@BHA,T 0-0,19.0,90,1
7,Tim Krul,G,1,Mar 13,NOR,@LEE,L 1-2,12.0,90,1
8,Tim Krul,G,1,Mar 10,NOR,CHE,L 1-3,8.0,90,1
9,Tim Krul,G,1,Mar 5,NOR,BRF,L 1-3,6.5,90,1
10,Tim Krul,G,1,Jan 15,NOR,EVE,W 2-1,12.0,90,1
11,Tim Krul,G,1,Jan 12,NOR,@WHU,L 0-2,7.0,90,1
12,Tim Krul,G,1,Dec 14,NOR,AVL,L 0-2,9.0,90,1
13,Tim Krul,G,1,Dec 11,NOR,MUN,L 0-1,9.5,90,1
14,Tim Krul,G,1,Dec 5,NOR,@TOT,L 0-3,8.5,90,1
15,Tim Krul,G,1,Nov 30,NOR,@NEW,T 1-1,3.0,90,1
16,Tim Krul,G,1,Nov 27,NOR,WOL,T 0-0,16.5,90,1
17,Tim Krul,G,1,Nov 20,NOR,SOU,W 2-1,10.0,90,1
18,Tim Krul,G,1,Nov 6,NOR,@BRF,W 2-1,13.5,90,1
19,Tim Krul,G,1,Oct 31,NOR,LEE,L 1-2,7.0,90,1
20,Tim Krul,G,1,Oct 23,NOR,@CHE,L 0-7,11.5,90,1
21,Tim Krul,G,1,Oct 16,NOR,BHA,T 0-0,16.5,90,1
22,Tim Krul,G,1,Oct 2,NOR,@BUR,T 0-0,20.5,90,1
23,Tim Krul,G,1,Sep 25,NOR,@EVE,L 0-2,5.5,90,1
24,Tim Krul,G,1,Sep 18,NOR,WAT,L 1-3,9.5,90,1
25,Tim Krul,G,1,Sep 11,NOR,@ARS,L 0-1,11.0,90,1
26,Tim Krul,G,1,Aug 28,NOR,LEI,L 1-2,4.0,90,1
27,Tim Krul,G,1,Aug 21,NOR,@MCI,L 0-5,3.0,90,1
28,Tim Krul,G,1,Aug 14,NOR,LIV,L 0-3,7.0,90,1
0,Angus Gunn,G,1,May 15,NOR,@WOL,T 1-1,9.0,90,1
1,Angus Gunn,G,1,May 11,NOR,@LEI,L 0-3,10.5,90,1
2,Angus Gunn,G,1,Feb 25,NOR,@SOU,L 0-2,14.0,90,1
3,Angus Gunn,G,1,Feb 19,NOR,@LIV,L 1-3,10.0,90,1
4,Angus Gunn,G,1,Feb 12,NOR,MCI,L 0-4,14.5,90,1
5,Angus Gunn,G,1,Feb 9,NOR,CRY,T 1-1,10.0,90,1
6,Angus Gunn,G,1,Jan 21,NOR,@WAT,W 3-0,16.5,90,1
7,Angus Gunn,G,1,Dec 28,NOR,@CRY,L 0-3,7.5,90,1
8,Angus Gunn,G,1,Dec 26,NOR,ARS,L 0-5,3.0,90,1
0,Max Aarons,D,2,May 22,NOR,TOT,L 0-5,5.45,90,1
1,Max Aarons,D,2,May 15,NOR,@WOL,T 1-1,11.2,90,1
2,Max Aarons,D,2,May 11,NOR,@LEI,L 0-3,9.3,90,1
3,Max Aarons,D,2,May 8,NOR,WHU,L 0-4,5.4,90,1
4,Max Aarons,D,2,Apr 30,NOR,@AVL,L 0-2,5.75,90,1
5,Max Aarons,D,2,Apr 23,NOR,NEW,L 0-3,4.5,31,0
6,Max Aarons,D,2,Mar 13,NOR,@LEE,L 1-2,8.45,87,1
7,Max Aarons,D,2,Mar 10,NOR,CHE,L 1-3,3.1,90,1
8,Max Aarons,D,2,Mar 5,NOR,BRF,L 1-3,1.25,8,0
9,Max Aarons,D,2,Feb 25,NOR,@SOU,L 0-2,5.7,90,1
10,Max Aarons,D,2,Feb 19,NOR,@LIV,L 1-3,9.2,90,1
11,Max Aarons,D,2,Feb 12,NOR,MCI,L 0-4,5.3,62,1
12,Max Aarons,D,2,Feb 9,NOR,CRY,T 1-1,13.4,90,1
13,Max Aarons,D,2,Jan 21,NOR,@WAT,W 3-0,15.55,90,1
14,Max Aarons,D,2,Jan 15,NOR,EVE,W 2-1,1.75,79,1
15,Max Aarons,D,2,Jan 12,NOR,@WHU,L 0-2,11.45,90,1
16,Max Aarons,D,2,Dec 26,NOR,ARS,L 0-5,4.45,90,1
17,Max Aarons,D,2,Dec 14,NOR,AVL,L 0-2,8.2,90,1
