,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Emiliano Martinez,G,1,Oct 29,AVL,@NEW,L 0-4,2.5,34,1
1,Emiliano Martinez,G,1,Oct 23,AVL,BRF,W 4-0,19.5,90,1
2,Emiliano Martinez,G,1,Oct 20,AVL,@FUL,L 0-3,11.0,90,1
3,Emiliano Martinez,G,1,Oct 16,AVL,CHE,L 0-2,5.5,90,1
4,Emiliano Martinez,G,1,Oct 10,AVL,@NOT,T 1-1,6.0,90,1
5,Emiliano Martinez,G,1,Oct 2,AVL,@LEE,T 0-0,14.0,90,1
6,Emiliano Martinez,G,1,Sep 16,AVL,SOU,W 1-0,13.5,90,1
7,Emiliano Martinez,G,1,Sep 3,AVL,MCI,T 1-1,7.5,90,1
8,Emiliano Martinez,G,1,Aug 31,AVL,@ARS,L 1-2,14.0,90,1
9,Emiliano Martinez,G,1,Aug 28,AVL,WHU,L 0-1,4.5,90,1
10,Emiliano Martinez,G,1,Aug 20,AVL,@CRY,L 1-3,16.0,90,1
11,Emiliano Martinez,G,1,Aug 13,AVL,EVE,W 2-1,9.5,90,1
12,Emiliano Martinez,G,1,Aug 6,AVL,@BOU,L 0-2,6.0,90,1
0,Robin Olsen,G,1,Oct 29,AVL,@NEW,L 0-4,4.0,54,0
0,Matty Cash,D,2,Oct 29,AVL,@NEW,L 0-4,5.85,68,1
1,Matty Cash,D,2,Oct 23,AVL,BRF,W 4-0,14.7,80,1
2,Matty Cash,D,2,Oct 20,AVL,@FUL,L 0-3,1.7,45,0
3,Matty Cash,D,2,Oct 16,AVL,CHE,L 0-2,11.0,90,1
4,Matty Cash,D,2,Oct 10,AVL,@NOT,T 1-1,9.0,90,1
5,Matty Cash,D,2,Sep 3,AVL,MCI,T 1-1,-0.5,26,1
6,Matty Cash,D,2,Aug 31,AVL,@ARS,L 1-2,6.7,90,1
7,Matty Cash,D,2,Aug 28,AVL,WHU,L 0-1,7.55,90,1
8,Matty Cash,D,2,Aug 20,AVL,@CRY,L 1-3,11.75,90,1
9,Matty Cash,D,2,Aug 13,AVL,EVE,W 2-1,8.1,88,1
10,Matty Cash,D,2,Aug 6,AVL,@BOU,L 0-2,8.35,90,1
0,Calum Chambers,D,2,Oct 23,AVL,BRF,W 4-0,1.25,8,0
1,Calum Chambers,D,2,Aug 28,AVL,WHU,L 0-1,10.85,90,1
2,Calum Chambers,D,2,Aug 13,AVL,EVE,W 2-1,2.0,1,0
0,Tyrone Mings,D,2,Oct 29,AVL,@NEW,L 0-4,7.95,90,1
1,Tyrone Mings,D,2,Oct 23,AVL,BRF,W 4-0,16.55,90,1
2,Tyrone Mings,D,2,Oct 20,AVL,@FUL,L 0-3,0.8,90,1
3,Tyrone Mings,D,2,Oct 16,AVL,CHE,L 0-2,6.7,90,1
4,Tyrone Mings,D,2,Oct 10,AVL,@NOT,T 1-1,7.45,90,1
5,Tyrone Mings,D,2,Oct 2,AVL,@LEE,T 0-0,13.0,90,1
6,Tyrone Mings,D,2,Sep 16,AVL,SOU,W 1-0,15.85,90,1
7,Tyrone Mings,D,2,Sep 3,AVL,MCI,T 1-1,7.1,90,1
8,Tyrone Mings,D,2,Aug 31,AVL,@ARS,L 1-2,10.1,90,1
9,Tyrone Mings,D,2,Aug 20,AVL,@CRY,L 1-3,6.05,90,1
10,Tyrone Mings,D,2,Aug 13,AVL,EVE,W 2-1,7.1,90,1
0,Ezri Konsa,D,2,Oct 29,AVL,@NEW,L 0-4,3.25,90,1
1,Ezri Konsa,D,2,Oct 23,AVL,BRF,W 4-0,17.6,90,1
2,Ezri Konsa,D,2,Oct 20,AVL,@FUL,L 0-3,8.35,90,1
3,Ezri Konsa,D,2,Oct 16,AVL,CHE,L 0-2,8.2,90,1
4,Ezri Konsa,D,2,Oct 10,AVL,@NOT,T 1-1,3.6,90,1
5,Ezri Konsa,D,2,Oct 2,AVL,@LEE,T 0-0,16.05,90,1
6,Ezri Konsa,D,2,Sep 16,AVL,SOU,W 1-0,13.5,90,1
7,Ezri Konsa,D,2,Sep 3,AVL,MCI,T 1-1,3.85,90,1
8,Ezri Konsa,D,2,Aug 31,AVL,@ARS,L 1-2,5.1,90,1
9,Ezri Konsa,D,2,Aug 28,AVL,WHU,L 0-1,7.25,90,1
10,Ezri Konsa,D,2,Aug 20,AVL,@CRY,L 1-3,5.7,90,1
11,Ezri Konsa,D,2,Aug 13,AVL,EVE,W 2-1,0.5,1,0
12,Ezri Konsa,D,2,Aug 6,AVL,@BOU,L 0-2,8.9,90,1
0,Diego Carlos,D,2,Aug 13,AVL,EVE,W 2-1,7.35,88,1
1,Diego Carlos,D,2,Aug 6,AVL,@BOU,L 0-2,4.6,90,1
0,Jan Bednarek,D,2,Oct 20,AVL,@FUL,L 0-3,4.3,45,1
1,Jan Bednarek,D,2,Oct 2,AVL,@LEE,T 0-0,5.0,45,0
2,Jan Bednarek,D,2,Aug 13,SOU,LEE,T 2-2,7.8,69,1
3,Jan Bednarek,D,2,Aug 6,SOU,@TOT,L 1-4,8.05,90,1
0,Lucas Digne,D,2,Oct 29,AVL,@NEW,L 0-4,1.45,20,0
1,Lucas Digne,D,2,Sep 16,AVL,SOU,W 1-0,14.8,90,1
2,Lucas Digne,D,2,Sep 3,AVL,MCI,T 1-1,6.25,90,1
3,Lucas Digne,D,2,Aug 31,AVL,@ARS,L 1-2,6.6,90,1
4,Lucas Digne,D,2,Aug 28,AVL,WHU,L 0-1,11.35,90,1
5,Lucas Digne,D,2,Aug 20,AVL,@CRY,L 1-3,11.85,90,1
6,Lucas Digne,D,2,Aug 13,AVL,EVE,W 2-1,1.8,90,1
7,Lucas Digne,D,2,Aug 6,AVL,@BOU,L 0-2,9.45,90,1
0,Ludwig Augustinsson,D,2,Oct 2,AVL,@LEE,T 0-0,2.6,45,1
0,Ashley Young,D,2,Oct 29,AVL,@NEW,L 0-4,7.7,90,1
1,Ashley Young,D,2,Oct 23,AVL,BRF,W 4-0,17.45,90,1
2,Ashley Young,D,2,Oct 20,AVL,@FUL,L 0-3,8.35,90,1
3,Ashley Young,D,2,Oct 16,AVL,CHE,L 0-2,8.7,90,1
4,Ashley Young,D,2,Oct 10,AVL,@NOT,T 1-1,18.95,90,1
5,Ashley Young,D,2,Oct 2,AVL,@LEE,T 0-0,21.85,90,1
6,Ashley Young,D,2,Sep 16,AVL,SOU,W 1-0,13.35,90,1
7,Ashley Young,D,2,Sep 3,AVL,MCI,T 1-1,7.4,62,0
8,Ashley Young,D,2,Aug 13,AVL,EVE,W 2-1,-1.5,1,0
0,Douglas Luiz,M,4,Oct 29,AVL,@NEW,L 0-4,7.25,90,1
1,Douglas Luiz,M,4,Oct 23,AVL,BRF,W 4-0,20.0,90,1
2,Douglas Luiz,M,4,Oct 20,AVL,@FUL,L 0-3,0.25,61,1
3,Douglas Luiz,M,4,Oct 16,AVL,CHE,L 0-2,10.0,90,1
4,Douglas Luiz,M,4,Oct 10,AVL,@NOT,T 1-1,11.6,90,1
5,Douglas Luiz,M,4,Oct 2,AVL,@LEE,T 0-0,16.85,90,1
6,Douglas Luiz,M,4,Sep 16,AVL,SOU,W 1-0,7.25,45,0
7,Douglas Luiz,M,4,Sep 3,AVL,MCI,T 1-1,6.7,90,1
8,Douglas Luiz,M,4,Aug 31,AVL,@ARS,L 1-2,10.75,16,0
9,Douglas Luiz,M,4,Aug 28,AVL,WHU,L 0-1,7.0,65,1
10,Douglas Luiz,M,4,Aug 20,AVL,@CRY,L 1-3,4.25,16,0
11,Douglas Luiz,M,4,Aug 6,AVL,@BOU,L 0-2,-1.0,7,0
0,Boubacar Kamara,M,4,Sep 16,AVL,SOU,W 1-0,2.7,43,1
1,Boubacar Kamara,M,4,Sep 3,AVL,MCI,T 1-1,6.35,90,1
2,Boubacar Kamara,M,4,Aug 31,AVL,@ARS,L 1-2,7.2,82,1
3,Boubacar Kamara,M,4,Aug 28,AVL,WHU,L 0-1,7.7,90,1
4,Boubacar Kamara,M,4,Aug 20,AVL,@CRY,L 1-3,9.25,90,1
5,Boubacar Kamara,M,4,Aug 13,AVL,EVE,W 2-1,12.45,90,1
6,Boubacar Kamara,M,4,Aug 6,AVL,@BOU,L 0-2,8.0,81,1
0,Leander Dendoncker,M,4,Oct 29,AVL,@NEW,L 0-4,7.25,68,1
