,player,position,position_id,date,team,opp,score,fpts,min,starts
0,David Raya,G,1,Oct 8,BRF,@NEW,L 1-5,4.0,90,1
1,David Raya,G,1,Oct 1,BRF,@BOU,T 0-0,12.0,90,1
2,David Raya,G,1,Sep 18,BRF,ARS,L 0-3,8.0,90,1
3,David Raya,G,1,Sep 3,BRF,LEE,W 5-2,10.5,90,1
4,David Raya,G,1,Aug 30,BRF,@CRY,T 1-1,7.5,90,1
5,David Raya,G,1,Aug 27,BRF,EVE,T 1-1,12.0,90,1
6,David Raya,G,1,Aug 20,BRF,@FUL,L 2-3,12.5,90,1
7,David Raya,G,1,Aug 13,BRF,MUN,W 4-0,20.5,90,1
8,David Raya,G,1,Aug 7,BRF,@LEI,T 2-2,7.0,90,1
0,Aaron Hickey,D,2,Oct 8,BRF,@NEW,L 1-5,12.0,83,1
1,Aaron Hickey,D,2,Oct 1,BRF,@BOU,T 0-0,0.6,28,0
2,Aaron Hickey,D,2,Sep 18,BRF,ARS,L 0-3,11.05,90,1
3,Aaron Hickey,D,2,Sep 3,BRF,LEE,W 5-2,10.35,90,1
4,Aaron Hickey,D,2,Aug 30,BRF,@CRY,T 1-1,11.25,78,1
5,Aaron Hickey,D,2,Aug 27,BRF,EVE,T 1-1,4.7,90,1
6,Aaron Hickey,D,2,Aug 20,BRF,@FUL,L 2-3,2.35,58,1
7,Aaron Hickey,D,2,Aug 13,BRF,MUN,W 4-0,15.1,79,1
8,Aaron Hickey,D,2,Aug 7,BRF,@LEI,T 2-2,4.0,82,1
0,Mads Roerslav,D,2,Aug 13,BRF,MUN,W 4-0,13.6,90,1
0,Mads Bech Sorensen,D,2,Aug 27,BRF,EVE,T 1-1,0.5,1,0
1,Mads Bech Sorensen,D,2,Aug 13,BRF,MUN,W 4-0,1.0,9,0
2,Mads Bech Sorensen,D,2,Aug 7,BRF,@LEI,T 2-2,2.35,6,0
0,Kristoffer Ajer,D,2,Oct 8,BRF,@NEW,L 1-5,4.7,90,1
1,Kristoffer Ajer,D,2,Oct 1,BRF,@BOU,T 0-0,12.6,60,1
2,Kristoffer Ajer,D,2,Sep 18,BRF,ARS,L 0-3,4.45,90,1
0,Pontus Jansson,D,2,Oct 1,BRF,@BOU,T 0-0,14.4,63,1
1,Pontus Jansson,D,2,Sep 18,BRF,ARS,L 0-3,6.3,90,1
2,Pontus Jansson,D,2,Sep 3,BRF,LEE,W 5-2,8.85,90,1
3,Pontus Jansson,D,2,Aug 20,BRF,@FUL,L 2-3,7.2,90,1
4,Pontus Jansson,D,2,Aug 13,BRF,MUN,W 4-0,15.45,90,1
5,Pontus Jansson,D,2,Aug 7,BRF,@LEI,T 2-2,5.05,90,1
0,Zanka,D,2,Oct 1,BRF,@BOU,T 0-0,1.85,25,0
1,Zanka,D,2,Sep 3,BRF,LEE,W 5-2,0.85,22,0
2,Zanka,D,2,Aug 30,BRF,@CRY,T 1-1,9.75,90,1
3,Zanka,D,2,Aug 27,BRF,EVE,T 1-1,7.45,67,1
0,Ben Mee,D,2,Oct 8,BRF,@NEW,L 1-5,7.0,70,1
1,Ben Mee,D,2,Oct 1,BRF,@BOU,T 0-0,20.9,90,1
2,Ben Mee,D,2,Sep 18,BRF,ARS,L 0-3,8.9,90,1
3,Ben Mee,D,2,Sep 3,BRF,LEE,W 5-2,12.5,90,1
4,Ben Mee,D,2,Aug 30,BRF,@CRY,T 1-1,6.95,90,1
5,Ben Mee,D,2,Aug 27,BRF,EVE,T 1-1,12.35,90,1
6,Ben Mee,D,2,Aug 20,BRF,@FUL,L 2-3,6.1,90,1
7,Ben Mee,D,2,Aug 13,BRF,MUN,W 4-0,23.85,90,1
8,Ben Mee,D,2,Aug 7,BRF,@LEI,T 2-2,4.6,58,1
0,Ethan Pinnock,D,2,Oct 8,BRF,@NEW,L 1-5,3.75,90,1
0,Rico Henry,"D,M",3,Oct 8,BRF,@NEW,L 1-5,6.5,90,1
1,Rico Henry,"D,M",3,Oct 1,BRF,@BOU,T 0-0,17.05,90,1
2,Rico Henry,"D,M",3,Sep 18,BRF,ARS,L 0-3,6.6,90,1
3,Rico Henry,"D,M",3,Sep 3,BRF,LEE,W 5-2,7.1,90,1
4,Rico Henry,"D,M",3,Aug 30,BRF,@CRY,T 1-1,8.0,90,1
5,Rico Henry,"D,M",3,Aug 27,BRF,EVE,T 1-1,7.1,90,1
6,Rico Henry,"D,M",3,Aug 20,BRF,@FUL,L 2-3,6.6,90,1
7,Rico Henry,"D,M",3,Aug 13,BRF,MUN,W 4-0,14.45,90,1
8,Rico Henry,"D,M",3,Aug 7,BRF,@LEI,T 2-2,11.35,90,1
0,Shandon Baptiste,M,4,Oct 8,BRF,@NEW,L 1-5,9.6,62,1
1,Shandon Baptiste,M,4,Oct 1,BRF,@BOU,T 0-0,10.1,83,1
2,Shandon Baptiste,M,4,Sep 18,BRF,ARS,L 0-3,2.5,20,0
3,Shandon Baptiste,M,4,Sep 3,BRF,LEE,W 5-2,11.25,58,1
4,Shandon Baptiste,M,4,Aug 30,BRF,@CRY,T 1-1,6.25,67,1
5,Shandon Baptiste,M,4,Aug 27,BRF,EVE,T 1-1,1.75,21,0
6,Shandon Baptiste,M,4,Aug 20,BRF,@FUL,L 2-3,4.35,15,0
7,Shandon Baptiste,M,4,Aug 13,BRF,MUN,W 4-0,3.5,15,0
8,Shandon Baptiste,M,4,Aug 7,BRF,@LEI,T 2-2,2.35,16,0
0,Frank Onyeka,M,4,Oct 8,BRF,@NEW,L 1-5,2.25,26,0
1,Frank Onyeka,M,4,Oct 1,BRF,@BOU,T 0-0,1.0,5,0
2,Frank Onyeka,M,4,Sep 18,BRF,ARS,L 0-3,2.5,26,0
3,Frank Onyeka,M,4,Sep 3,BRF,LEE,W 5-2,3.95,30,0
4,Frank Onyeka,M,4,Aug 30,BRF,@CRY,T 1-1,3.85,21,0
5,Frank Onyeka,M,4,Aug 13,BRF,MUN,W 4-0,1.0,9,0
0,Vitaly Janelt,M,4,Oct 8,BRF,@NEW,L 1-5,4.6,45,0
1,Vitaly Janelt,M,4,Oct 1,BRF,@BOU,T 0-0,9.85,90,1
2,Vitaly Janelt,M,4,Sep 18,BRF,ARS,L 0-3,7.25,62,1
3,Vitaly Janelt,M,4,Sep 3,BRF,LEE,W 5-2,11.85,66,1
4,Vitaly Janelt,M,4,Aug 30,BRF,@CRY,T 1-1,21.25,90,1
5,Vitaly Janelt,M,4,Aug 27,BRF,EVE,T 1-1,12.0,20,0
6,Vitaly Janelt,M,4,Aug 20,BRF,@FUL,L 2-3,1.75,29,0
7,Vitaly Janelt,M,4,Aug 13,BRF,MUN,W 4-0,4.35,27,0
8,Vitaly Janelt,M,4,Aug 7,BRF,@LEI,T 2-2,7.6,90,1
0,Christian Norgaard,M,4,Aug 27,BRF,EVE,T 1-1,11.0,68,1
1,Christian Norgaard,M,4,Aug 20,BRF,@FUL,L 2-3,20.5,90,1
2,Christian Norgaard,M,4,Aug 13,BRF,MUN,W 4-0,8.05,79,1
3,Christian Norgaard,M,4,Aug 7,BRF,@LEI,T 2-2,7.25,72,1
0,Mathias Jensen,M,4,Oct 8,BRF,@NEW,L 1-5,9.75,90,1
1,Mathias Jensen,M,4,Oct 1,BRF,@BOU,T 0-0,12.85,90,1
2,Mathias Jensen,M,4,Sep 18,BRF,ARS,L 0-3,8.7,68,1
3,Mathias Jensen,M,4,Sep 3,BRF,LEE,W 5-2,12.1,82,1
4,Mathias Jensen,M,4,Aug 30,BRF,@CRY,T 1-1,8.0,78,1
5,Mathias Jensen,M,4,Aug 27,BRF,EVE,T 1-1,9.5,90,1
6,Mathias Jensen,M,4,Aug 20,BRF,@FUL,L 2-3,11.25,59,1
7,Mathias Jensen,M,4,Aug 13,BRF,MUN,W 4-0,25.1,73,1
8,Mathias Jensen,M,4,Aug 7,BRF,@LEI,T 2-2,4.25,58,1
0,Pelenda Joshua Da Silva,M,4,Oct 8,BRF,@NEW,L 1-5,5.85,45,1
1,Pelenda Joshua Da Silva,M,4,Oct 1,BRF,@BOU,T 0-0,3.0,28,0
2,Pelenda Joshua Da Silva,M,4,Sep 18,BRF,ARS,L 0-3,4.25,62,1
3,Pelenda Joshua Da Silva,M,4,Sep 3,BRF,LEE,W 5-2,2.85,30,0
4,Pelenda Joshua Da Silva,M,4,Aug 30,BRF,@CRY,T 1-1,3.25,21,0
5,Pelenda Joshua Da Silva,M,4,Aug 27,BRF,EVE,T 1-1,9.25,88,1
6,Pelenda Joshua Da Silva,M,4,Aug 20,BRF,@FUL,L 2-3,2.25,73,1
7,Pelenda Joshua Da Silva,M,4,Aug 13,BRF,MUN,W 4-0,15.75,61,1
8,Pelenda Joshua Da Silva,M,4,Aug 7,BRF,@LEI,T 2-2,11.0,30,0
0,Mikkel Damsgaard,M,4,Oct 8,BRF,@NEW,L 1-5,1.0,18,0
1,Mikkel Damsgaard,M,4,Oct 1,BRF,@BOU,T 0-0,9.85,60,1
2,Mikkel Damsgaard,M,4,Sep 18,BRF,ARS,L 0-3,7.5,26,0
3,Mikkel Damsgaard,M,4,Sep 3,BRF,LEE,W 5-2,1.35,6,0
4,Mikkel Damsgaard,M,4,Aug 30,BRF,@CRY,T 1-1,4.25,21,0
5,Mikkel Damsgaard,M,4,Aug 27,BRF,EVE,T 1-1,1.25,11,0
0,Yoane Wissa,"M,F",5,Oct 8,BRF,@NEW,L 1-5,1.6,26,0
1,Yoane Wissa,"M,F",5,Oct 1,BRF,@BOU,T 0-0,1.75,28,0
2,Yoane Wissa,"M,F",5,Sep 18,BRF,ARS,L 0-3,1.0,13,0
3,Yoane Wissa,"M,F",5,Sep 3,BRF,LEE,W 5-2,12.0,6,0
4,Yoane Wissa,"M,F",5,Aug 30,BRF,@CRY,T 1-1,10.5,10,0
5,Yoane Wissa,"M,F",5,Aug 27,BRF,EVE,T 1-1,1.75,67,1
6,Yoane Wissa,"M,F",5,Aug 20,BRF,@FUL,L 2-3,11.35,82,1
7,Yoane Wissa,"M,F",5,Aug 13,BRF,MUN,W 4-0,1.25,16,0
8,Yoane Wissa,"M,F",5,Aug 7,BRF,@LEI,T 2-2,5.35,82,1
0,Bryan Mbeumo,"M,F",5,Oct 8,BRF,@NEW,L 1-5,4.75,62,1
1,Bryan Mbeumo,"M,F",5,Oct 1,BRF,@BOU,T 0-0,4.25,60,1
2,Bryan Mbeumo,"M,F",5,Sep 18,BRF,ARS,L 0-3,4.25,75,1
3,Bryan Mbeumo,"M,F",5,Sep 3,BRF,LEE,W 5-2,18.1,82,1
4,Bryan Mbeumo,"M,F",5,Aug 30,BRF,@CRY,T 1-1,3.5,67,1
5,Bryan Mbeumo,"M,F",5,Aug 27,BRF,EVE,T 1-1,4.75,77,1
6,Bryan Mbeumo,"M,F",5,Aug 20,BRF,@FUL,L 2-3,10.85,90,1
7,Bryan Mbeumo,"M,F",5,Aug 13,BRF,MUN,W 4-0,13.0,72,1
