,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Vicente Guaita,G,1,Jan 21,CRY,NEW,T 0-0,24.0,90,1
1,Vicente Guaita,G,1,Jan 18,CRY,MUN,T 1-1,9.0,90,1
2,Vicente Guaita,G,1,Jan 15,CRY,@CHE,L 0-1,11.5,90,1
3,Vicente Guaita,G,1,Jan 4,CRY,TOT,L 0-4,4.5,90,1
4,Vicente Guaita,G,1,Dec 31,CRY,@BOU,W 2-0,16.0,90,1
5,Vicente Guaita,G,1,Dec 26,CRY,FUL,L 0-3,13.0,90,1
6,Vicente Guaita,G,1,Nov 12,CRY,@NOT,L 0-1,6.5,90,1
7,Vicente Guaita,G,1,Nov 6,CRY,@WHU,W 2-1,4.5,90,1
8,Vicente Guaita,G,1,Oct 29,CRY,SOU,W 1-0,20.5,90,1
9,Vicente Guaita,G,1,Oct 22,CRY,@EVE,L 0-3,7.0,90,1
10,Vicente Guaita,G,1,Oct 18,CRY,WOL,W 2-1,7.5,90,1
11,Vicente Guaita,G,1,Oct 15,CRY,@LEI,T 0-0,24.5,90,1
12,Vicente Guaita,G,1,Oct 9,CRY,LEE,W 2-1,8.5,90,1
13,Vicente Guaita,G,1,Oct 1,CRY,CHE,L 1-2,5.0,90,1
14,Vicente Guaita,G,1,Sep 3,CRY,@NEW,T 0-0,20.0,90,1
15,Vicente Guaita,G,1,Aug 30,CRY,BRF,T 1-1,6.0,90,1
16,Vicente Guaita,G,1,Aug 27,CRY,@MCI,L 2-4,4.0,90,1
17,Vicente Guaita,G,1,Aug 20,CRY,AVL,W 3-1,9.0,90,1
18,Vicente Guaita,G,1,Aug 15,CRY,@LIV,T 1-1,6.0,90,1
19,Vicente Guaita,G,1,Aug 5,CRY,ARS,L 0-2,4.5,90,1
0,Nathaniel Clyne,D,2,Jan 21,CRY,NEW,T 0-0,1.25,18,0
1,Nathaniel Clyne,D,2,Jan 18,CRY,MUN,T 1-1,9.45,90,1
2,Nathaniel Clyne,D,2,Jan 15,CRY,@CHE,L 0-1,4.2,90,1
3,Nathaniel Clyne,D,2,Jan 4,CRY,TOT,L 0-4,7.1,90,1
4,Nathaniel Clyne,D,2,Dec 31,CRY,@BOU,W 2-0,17.45,90,1
5,Nathaniel Clyne,D,2,Dec 26,CRY,FUL,L 0-3,5.6,66,1
6,Nathaniel Clyne,D,2,Nov 12,CRY,@NOT,L 0-1,4.35,77,1
7,Nathaniel Clyne,D,2,Nov 6,CRY,@WHU,W 2-1,6.85,90,1
8,Nathaniel Clyne,D,2,Oct 1,CRY,CHE,L 1-2,1.0,43,1
9,Nathaniel Clyne,D,2,Sep 3,CRY,@NEW,T 0-0,3.0,26,0
10,Nathaniel Clyne,D,2,Aug 30,CRY,BRF,T 1-1,7.8,90,1
11,Nathaniel Clyne,D,2,Aug 27,CRY,@MCI,L 2-4,2.0,73,1
12,Nathaniel Clyne,D,2,Aug 15,CRY,@LIV,T 1-1,8.35,90,1
13,Nathaniel Clyne,D,2,Aug 5,CRY,ARS,L 0-2,4.2,90,1
0,Chris Richards,D,2,Jan 21,CRY,NEW,T 0-0,15.05,90,1
1,Chris Richards,D,2,Jan 18,CRY,MUN,T 1-1,9.15,90,1
2,Chris Richards,D,2,Dec 26,CRY,FUL,L 0-3,0.9,29,0
3,Chris Richards,D,2,Aug 27,CRY,@MCI,L 2-4,1.1,32,0
4,Chris Richards,D,2,Aug 20,CRY,AVL,W 3-1,0.75,1,0
5,Chris Richards,D,2,Aug 15,CRY,@LIV,T 1-1,5.15,10,0
0,Joel Ward,D,2,Jan 21,CRY,NEW,T 0-0,14.55,70,1
1,Joel Ward,D,2,Jan 4,CRY,TOT,L 0-4,7.85,90,1
2,Joel Ward,D,2,Dec 31,CRY,@BOU,W 2-0,12.95,90,1
3,Joel Ward,D,2,Dec 26,CRY,FUL,L 0-3,4.25,22,0
4,Joel Ward,D,2,Nov 12,CRY,@NOT,L 0-1,-0.5,29,0
5,Joel Ward,D,2,Oct 29,CRY,SOU,W 1-0,17.0,90,1
6,Joel Ward,D,2,Oct 22,CRY,@EVE,L 0-3,4.75,90,1
7,Joel Ward,D,2,Oct 18,CRY,WOL,W 2-1,5.4,90,1
8,Joel Ward,D,2,Oct 15,CRY,@LEI,T 0-0,15.5,90,1
9,Joel Ward,D,2,Oct 9,CRY,LEE,W 2-1,8.3,90,1
10,Joel Ward,D,2,Oct 1,CRY,CHE,L 1-2,7.85,90,1
11,Joel Ward,D,2,Sep 3,CRY,@NEW,T 0-0,18.3,90,1
12,Joel Ward,D,2,Aug 30,CRY,BRF,T 1-1,7.7,90,1
13,Joel Ward,D,2,Aug 27,CRY,@MCI,L 2-4,5.65,90,1
14,Joel Ward,D,2,Aug 20,CRY,AVL,W 3-1,5.95,90,1
15,Joel Ward,D,2,Aug 15,CRY,@LIV,T 1-1,8.6,90,1
0,James Tomkins,D,2,Jan 15,CRY,@CHE,L 0-1,4.15,51,0
1,James Tomkins,D,2,Dec 26,CRY,FUL,L 0-3,2.85,56,1
2,James Tomkins,D,2,Oct 1,CRY,CHE,L 1-2,4.95,45,0
0,Joachim Andersen,D,2,Jan 15,CRY,@CHE,L 0-1,2.95,37,1
1,Joachim Andersen,D,2,Jan 4,CRY,TOT,L 0-4,7.95,90,1
2,Joachim Andersen,D,2,Dec 31,CRY,@BOU,W 2-0,14.05,90,1
3,Joachim Andersen,D,2,Dec 26,CRY,FUL,L 0-3,8.75,90,1
4,Joachim Andersen,D,2,Nov 12,CRY,@NOT,L 0-1,7.5,90,1
5,Joachim Andersen,D,2,Nov 6,CRY,@WHU,W 2-1,4.45,90,1
6,Joachim Andersen,D,2,Oct 29,CRY,SOU,W 1-0,16.7,90,1
7,Joachim Andersen,D,2,Oct 22,CRY,@EVE,L 0-3,7.9,90,1
8,Joachim Andersen,D,2,Oct 18,CRY,WOL,W 2-1,4.9,90,1
9,Joachim Andersen,D,2,Oct 15,CRY,@LEI,T 0-0,13.25,90,1
10,Joachim Andersen,D,2,Oct 9,CRY,LEE,W 2-1,8.1,90,1
11,Joachim Andersen,D,2,Sep 3,CRY,@NEW,T 0-0,22.8,90,1
12,Joachim Andersen,D,2,Aug 30,CRY,BRF,T 1-1,9.35,90,1
13,Joachim Andersen,D,2,Aug 27,CRY,@MCI,L 2-4,14.05,90,1
14,Joachim Andersen,D,2,Aug 20,CRY,AVL,W 3-1,7.55,90,1
15,Joachim Andersen,D,2,Aug 15,CRY,@LIV,T 1-1,9.75,90,1
16,Joachim Andersen,D,2,Aug 5,CRY,ARS,L 0-2,9.65,90,1
0,Marc Guehi,D,2,Jan 21,CRY,NEW,T 0-0,15.15,90,1
1,Marc Guehi,D,2,Jan 18,CRY,MUN,T 1-1,12.55,90,1
2,Marc Guehi,D,2,Jan 15,CRY,@CHE,L 0-1,3.75,90,1
3,Marc Guehi,D,2,Jan 4,CRY,TOT,L 0-4,5.45,90,1
4,Marc Guehi,D,2,Dec 31,CRY,@BOU,W 2-0,18.15,90,1
5,Marc Guehi,D,2,Nov 12,CRY,@NOT,L 0-1,6.85,90,1
6,Marc Guehi,D,2,Nov 6,CRY,@WHU,W 2-1,6.2,90,1
7,Marc Guehi,D,2,Oct 29,CRY,SOU,W 1-0,15.6,90,1
8,Marc Guehi,D,2,Oct 22,CRY,@EVE,L 0-3,1.15,90,1
9,Marc Guehi,D,2,Oct 18,CRY,WOL,W 2-1,7.2,90,1
10,Marc Guehi,D,2,Oct 15,CRY,@LEI,T 0-0,17.25,90,1
11,Marc Guehi,D,2,Oct 9,CRY,LEE,W 2-1,5.4,90,1
12,Marc Guehi,D,2,Oct 1,CRY,CHE,L 1-2,7.4,90,1
13,Marc Guehi,D,2,Sep 3,CRY,@NEW,T 0-0,18.2,90,1
14,Marc Guehi,D,2,Aug 30,CRY,BRF,T 1-1,7.7,90,1
15,Marc Guehi,D,2,Aug 27,CRY,@MCI,L 2-4,3.25,90,1
16,Marc Guehi,D,2,Aug 20,CRY,AVL,W 3-1,4.45,90,1
17,Marc Guehi,D,2,Aug 15,CRY,@LIV,T 1-1,9.1,90,1
18,Marc Guehi,D,2,Aug 5,CRY,ARS,L 0-2,2.85,90,1
0,Tyrick Mitchell,D,2,Jan 21,CRY,NEW,T 0-0,19.0,90,1
1,Tyrick Mitchell,D,2,Jan 18,CRY,MUN,T 1-1,14.2,90,1
2,Tyrick Mitchell,D,2,Jan 15,CRY,@CHE,L 0-1,9.4,90,1
3,Tyrick Mitchell,D,2,Dec 26,CRY,FUL,L 0-3,-1.9,33,1
4,Tyrick Mitchell,D,2,Nov 12,CRY,@NOT,L 0-1,3.3,59,1
5,Tyrick Mitchell,D,2,Nov 6,CRY,@WHU,W 2-1,6.95,90,1
6,Tyrick Mitchell,D,2,Oct 29,CRY,SOU,W 1-0,20.1,90,1
7,Tyrick Mitchell,D,2,Oct 22,CRY,@EVE,L 0-3,5.8,90,1
8,Tyrick Mitchell,D,2,Oct 18,CRY,WOL,W 2-1,5.45,90,1
9,Tyrick Mitchell,D,2,Oct 15,CRY,@LEI,T 0-0,4.75,55,1
10,Tyrick Mitchell,D,2,Oct 9,CRY,LEE,W 2-1,1.0,24,0
11,Tyrick Mitchell,D,2,Oct 1,CRY,CHE,L 1-2,5.45,90,1
12,Tyrick Mitchell,D,2,Sep 3,CRY,@NEW,T 0-0,14.1,62,1
13,Tyrick Mitchell,D,2,Aug 30,CRY,BRF,T 1-1,1.25,9,0
14,Tyrick Mitchell,D,2,Aug 27,CRY,@MCI,L 2-4,3.35,56,1
15,Tyrick Mitchell,D,2,Aug 20,CRY,AVL,W 3-1,15.75,90,1
16,Tyrick Mitchell,D,2,Aug 15,CRY,@LIV,T 1-1,11.7,78,1
17,Tyrick Mitchell,D,2,Aug 5,CRY,ARS,L 0-2,8.05,90,1
0,Cheick Oumar Doucoure,M,4,Jan 21,CRY,NEW,T 0-0,9.2,90,1
1,Cheick Oumar Doucoure,M,4,Jan 18,CRY,MUN,T 1-1,10.5,70,1
2,Cheick Oumar Doucoure,M,4,Jan 15,CRY,@CHE,L 0-1,14.35,90,1
3,Cheick Oumar Doucoure,M,4,Jan 4,CRY,TOT,L 0-4,16.2,90,1
4,Cheick Oumar Doucoure,M,4,Dec 31,CRY,@BOU,W 2-0,13.35,90,1
5,Cheick Oumar Doucoure,M,4,Dec 26,CRY,FUL,L 0-3,11.7,83,1
6,Cheick Oumar Doucoure,M,4,Nov 12,CRY,@NOT,L 0-1,7.35,84,1
7,Cheick Oumar Doucoure,M,4,Nov 6,CRY,@WHU,W 2-1,7.5,76,1
8,Cheick Oumar Doucoure,M,4,Oct 18,CRY,WOL,W 2-1,9.35,90,1
9,Cheick Oumar Doucoure,M,4,Oct 15,CRY,@LEI,T 0-0,4.0,55,1
10,Cheick Oumar Doucoure,M,4,Oct 9,CRY,LEE,W 2-1,8.35,63,1
11,Cheick Oumar Doucoure,M,4,Oct 1,CRY,CHE,L 1-2,7.85,83,1
12,Cheick Oumar Doucoure,M,4,Sep 3,CRY,@NEW,T 0-0,18.35,90,1
13,Cheick Oumar Doucoure,M,4,Aug 30,CRY,BRF,T 1-1,19.55,90,1
14,Cheick Oumar Doucoure,M,4,Aug 27,CRY,@MCI,L 2-4,7.55,90,1
15,Cheick Oumar Doucoure,M,4,Aug 20,CRY,AVL,W 3-1,5.5,90,1
16,Cheick Oumar Doucoure,M,4,Aug 15,CRY,@LIV,T 1-1,11.25,78,1
17,Cheick Oumar Doucoure,M,4,Aug 5,CRY,ARS,L 0-2,6.1,74,1
0,Luka Milivojevic,M,4,Jan 18,CRY,MUN,T 1-1,2.25,5,0
1,Luka Milivojevic,M,4,Dec 26,CRY,FUL,L 0-3,3.0,5,0
2,Luka Milivojevic,M,4,Nov 6,CRY,@WHU,W 2-1,2.85,12,0
3,Luka Milivojevic,M,4,Oct 29,CRY,SOU,W 1-0,12.65,90,1
4,Luka Milivojevic,M,4,Oct 22,CRY,@EVE,L 0-3,3.95,61,1
5,Luka Milivojevic,M,4,Oct 15,CRY,@LEI,T 0-0,3.75,33,0
6,Luka Milivojevic,M,4,Oct 9,CRY,LEE,W 2-1,0.75,25,0
7,Luka Milivojevic,M,4,Aug 30,CRY,BRF,T 1-1,4.6,13,0
8,Luka Milivojevic,M,4,Aug 20,CRY,AVL,W 3-1,2.25,7,0
9,Luka Milivojevic,M,4,Aug 15,CRY,@LIV,T 1-1,1.25,10,0
10,Luka Milivojevic,M,4,Aug 5,CRY,ARS,L 0-2,1.5,14,0
0,Jairo Riedewald,M,4,Dec 26,CRY,FUL,L 0-3,1.2,6,0
1,Jairo Riedewald,M,4,Oct 29,CRY,SOU,W 1-0,1.0,3,0
2,Jairo Riedewald,M,4,Oct 18,CRY,WOL,W 2-1,0.5,1,0
3,Jairo Riedewald,M,4,Oct 15,CRY,@LEI,T 0-0,3.45,33,0
0,Jeffrey Schlupp,M,4,Jan 21,CRY,NEW,T 0-0,7.0,64,1
1,Jeffrey Schlupp,M,4,Jan 18,CRY,MUN,T 1-1,10.0,18,0
2,Jeffrey Schlupp,M,4,Jan 15,CRY,@CHE,L 0-1,7.7,68,1
3,Jeffrey Schlupp,M,4,Jan 4,CRY,TOT,L 0-4,6.1,60,1
4,Jeffrey Schlupp,M,4,Dec 31,CRY,@BOU,W 2-0,10.45,90,1
5,Jeffrey Schlupp,M,4,Dec 26,CRY,FUL,L 0-3,6.5,82,1
6,Jeffrey Schlupp,M,4,Nov 12,CRY,@NOT,L 0-1,5.25,90,1
7,Jeffrey Schlupp,M,4,Nov 6,CRY,@WHU,W 2-1,11.1,90,1
8,Jeffrey Schlupp,M,4,Oct 29,CRY,SOU,W 1-0,10.35,90,1
9,Jeffrey Schlupp,M,4,Oct 22,CRY,@EVE,L 0-3,1.0,27,0
10,Jeffrey Schlupp,M,4,Oct 18,CRY,WOL,W 2-1,12.0,90,1
11,Jeffrey Schlupp,M,4,Oct 15,CRY,@LEI,T 0-0,4.85,90,1
12,Jeffrey Schlupp,M,4,Oct 9,CRY,LEE,W 2-1,14.2,90,1
13,Jeffrey Schlupp,M,4,Oct 1,CRY,CHE,L 1-2,1.0,15,0
14,Jeffrey Schlupp,M,4,Sep 3,CRY,@NEW,T 0-0,7.45,90,1
15,Jeffrey Schlupp,M,4,Aug 30,CRY,BRF,T 1-1,7.0,75,1
16,Jeffrey Schlupp,M,4,Aug 27,CRY,@MCI,L 2-4,7.0,90,1
17,Jeffrey Schlupp,M,4,Aug 20,CRY,AVL,W 3-1,4.35,81,1
18,Jeffrey Schlupp,M,4,Aug 15,CRY,@LIV,T 1-1,11.8,87,1
19,Jeffrey Schlupp,M,4,Aug 5,CRY,ARS,L 0-2,10.75,85,1
0,Will Hughes,M,4,Jan 21,CRY,NEW,T 0-0,2.0,24,0
1,Will Hughes,M,4,Jan 18,CRY,MUN,T 1-1,7.75,83,1
2,Will Hughes,M,4,Jan 15,CRY,@CHE,L 0-1,-0.5,20,0
3,Will Hughes,M,4,Jan 4,CRY,TOT,L 0-4,1.75,15,0
4,Will Hughes,M,4,Dec 31,CRY,@BOU,W 2-0,0.5,1,0
5,Will Hughes,M,4,Dec 26,CRY,FUL,L 0-3,1.75,5,0
6,Will Hughes,M,4,Nov 12,CRY,@NOT,L 0-1,1.5,11,0
7,Will Hughes,M,4,Oct 29,CRY,SOU,W 1-0,1.0,14,0
8,Will Hughes,M,4,Oct 9,CRY,LEE,W 2-1,2.0,4,0
9,Will Hughes,M,4,Oct 1,CRY,CHE,L 1-2,1.5,5,0
10,Will Hughes,M,4,Aug 27,CRY,@MCI,L 2-4,1.6,22,0
11,Will Hughes,M,4,Aug 20,CRY,AVL,W 3-1,4.25,7,0
12,Will Hughes,M,4,Aug 15,CRY,@LIV,T 1-1,1.5,10,0
