,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Jordan Pickford,G,1,Oct 9,EVE,MUN,L 1-2,6.0,90,1
1,Jordan Pickford,G,1,Oct 1,EVE,@SOU,W 2-1,12.5,90,1
2,Jordan Pickford,G,1,Sep 3,EVE,LIV,T 0-0,22.0,90,1
3,Jordan Pickford,G,1,Aug 30,EVE,@LEE,T 1-1,9.5,90,1
4,Jordan Pickford,G,1,Aug 27,EVE,@BRF,T 1-1,11.0,90,1
5,Jordan Pickford,G,1,Aug 20,EVE,NOT,T 1-1,11.5,90,1
6,Jordan Pickford,G,1,Aug 13,EVE,@AVL,L 1-2,5.5,90,1
7,Jordan Pickford,G,1,Aug 6,EVE,CHE,L 0-1,11.0,90,1
0,Asmir Begovic,G,1,Sep 18,EVE,WHU,W 1-0,20.5,90,1
0,Nathan Patterson,D,2,Sep 18,EVE,WHU,W 1-0,18.6,90,1
1,Nathan Patterson,D,2,Sep 3,EVE,LIV,T 0-0,16.85,90,1
2,Nathan Patterson,D,2,Aug 30,EVE,@LEE,T 1-1,9.05,90,1
3,Nathan Patterson,D,2,Aug 27,EVE,@BRF,T 1-1,10.6,90,1
4,Nathan Patterson,D,2,Aug 20,EVE,NOT,T 1-1,8.35,90,1
5,Nathan Patterson,D,2,Aug 13,EVE,@AVL,L 1-2,9.65,90,1
6,Nathan Patterson,D,2,Aug 6,EVE,CHE,L 0-1,6.8,90,1
0,Seamus Coleman,D,2,Oct 9,EVE,MUN,L 1-2,8.2,74,1
1,Seamus Coleman,D,2,Oct 1,EVE,@SOU,W 2-1,10.3,90,1
0,Mason Holgate,D,2,Aug 27,EVE,@BRF,T 1-1,15.2,67,1
1,Mason Holgate,D,2,Aug 20,EVE,NOT,T 1-1,8.8,90,1
2,Mason Holgate,D,2,Aug 13,EVE,@AVL,L 1-2,8.3,90,1
3,Mason Holgate,D,2,Aug 6,EVE,CHE,L 0-1,8.4,71,0
0,Ben Godfrey,D,2,Aug 6,EVE,CHE,L 0-1,2.0,17,1
0,Michael Keane,D,2,Aug 27,EVE,@BRF,T 1-1,1.4,21,0
0,Conor Coady,D,2,Oct 9,EVE,MUN,L 1-2,6.95,90,1
1,Conor Coady,D,2,Oct 1,EVE,@SOU,W 2-1,14.4,90,1
2,Conor Coady,D,2,Sep 18,EVE,WHU,W 1-0,15.15,90,1
3,Conor Coady,D,2,Sep 3,EVE,LIV,T 0-0,12.45,90,1
4,Conor Coady,D,2,Aug 30,EVE,@LEE,T 1-1,6.75,90,1
5,Conor Coady,D,2,Aug 27,EVE,@BRF,T 1-1,12.65,90,1
6,Conor Coady,D,2,Aug 20,EVE,NOT,T 1-1,6.25,90,1
7,Conor Coady,D,2,Aug 13,EVE,@AVL,L 1-2,5.65,80,1
0,Yerry Mina,D,2,Aug 6,EVE,CHE,L 0-1,3.3,69,1
0,James Tarkowski,D,2,Oct 9,EVE,MUN,L 1-2,8.8,90,1
1,James Tarkowski,D,2,Oct 1,EVE,@SOU,W 2-1,7.0,90,1
2,James Tarkowski,D,2,Sep 18,EVE,WHU,W 1-0,17.4,90,1
3,James Tarkowski,D,2,Sep 3,EVE,LIV,T 0-0,19.55,90,1
4,James Tarkowski,D,2,Aug 30,EVE,@LEE,T 1-1,8.5,90,1
5,James Tarkowski,D,2,Aug 27,EVE,@BRF,T 1-1,13.0,90,1
6,James Tarkowski,D,2,Aug 20,EVE,NOT,T 1-1,9.4,90,1
7,James Tarkowski,D,2,Aug 13,EVE,@AVL,L 1-2,9.3,90,1
8,James Tarkowski,D,2,Aug 6,EVE,CHE,L 0-1,13.3,90,1
0,Ruben Vinagre,D,2,Aug 27,EVE,@BRF,T 1-1,3.25,3,0
1,Ruben Vinagre,D,2,Aug 6,EVE,CHE,L 0-1,2.35,19,0
0,Vitalii Mykolenko,D,2,Oct 9,EVE,MUN,L 1-2,9.1,90,1
1,Vitalii Mykolenko,D,2,Oct 1,EVE,@SOU,W 2-1,13.15,90,1
2,Vitalii Mykolenko,D,2,Sep 18,EVE,WHU,W 1-0,18.95,90,1
3,Vitalii Mykolenko,D,2,Sep 3,EVE,LIV,T 0-0,13.65,90,1
4,Vitalii Mykolenko,D,2,Aug 30,EVE,@LEE,T 1-1,8.0,90,1
5,Vitalii Mykolenko,D,2,Aug 27,EVE,@BRF,T 1-1,8.1,85,1
6,Vitalii Mykolenko,D,2,Aug 20,EVE,NOT,T 1-1,9.5,90,1
7,Vitalii Mykolenko,D,2,Aug 13,EVE,@AVL,L 1-2,9.75,90,1
