,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Illian Meslier,G,1,Oct 20,LEE,@LEI,L 0-2,3.0,90,1
1,Illian Meslier,G,1,Oct 16,LEE,ARS,L 0-1,8.0,90,1
2,Illian Meslier,G,1,Oct 9,LEE,@CRY,L 1-2,7.0,90,1
3,Illian Meslier,G,1,Oct 2,LEE,AVL,T 0-0,21.5,90,1
4,Illian Meslier,G,1,Sep 3,LEE,@BRF,L 2-5,6.5,90,1
5,Illian Meslier,G,1,Aug 30,LEE,EVE,T 1-1,5.5,90,1
6,Illian Meslier,G,1,Aug 27,LEE,@BHA,L 0-1,9.5,90,1
7,Illian Meslier,G,1,Aug 21,LEE,CHE,W 3-0,16.5,90,1
8,Illian Meslier,G,1,Aug 13,LEE,@SOU,T 2-2,6.0,90,1
9,Illian Meslier,G,1,Aug 6,LEE,WOL,W 2-1,10.5,90,1
0,Rasmus Kristensen,D,2,Oct 20,LEE,@LEI,L 0-2,11.65,90,1
1,Rasmus Kristensen,D,2,Oct 16,LEE,ARS,L 0-1,9.0,90,1
2,Rasmus Kristensen,D,2,Oct 9,LEE,@CRY,L 1-2,6.45,83,1
3,Rasmus Kristensen,D,2,Oct 2,LEE,AVL,T 0-0,15.3,67,1
4,Rasmus Kristensen,D,2,Aug 30,LEE,EVE,T 1-1,10.75,90,1
5,Rasmus Kristensen,D,2,Aug 27,LEE,@BHA,L 0-1,8.85,90,1
6,Rasmus Kristensen,D,2,Aug 21,LEE,CHE,W 3-0,17.55,90,1
7,Rasmus Kristensen,D,2,Aug 13,LEE,@SOU,T 2-2,6.6,90,1
8,Rasmus Kristensen,D,2,Aug 6,LEE,WOL,W 2-1,9.4,90,1
0,Luke Ayling,D,2,Oct 9,LEE,@CRY,L 1-2,2.0,5,0
1,Luke Ayling,D,2,Oct 2,LEE,AVL,T 0-0,2.5,21,0
2,Luke Ayling,D,2,Sep 3,LEE,@BRF,L 2-5,12.75,19,0
0,Cody Drameh,D,2,Sep 3,LEE,@BRF,L 2-5,8.6,69,1
0,Robin Koch,D,2,Oct 20,LEE,@LEI,L 0-2,-4.25,45,1
1,Robin Koch,D,2,Oct 16,LEE,ARS,L 0-1,7.6,90,1
2,Robin Koch,D,2,Oct 9,LEE,@CRY,L 1-2,5.85,90,1
3,Robin Koch,D,2,Oct 2,LEE,AVL,T 0-0,14.0,90,1
4,Robin Koch,D,2,Sep 3,LEE,@BRF,L 2-5,4.45,90,1
5,Robin Koch,D,2,Aug 30,LEE,EVE,T 1-1,8.35,90,1
6,Robin Koch,D,2,Aug 27,LEE,@BHA,L 0-1,10.05,90,1
7,Robin Koch,D,2,Aug 21,LEE,CHE,W 3-0,15.85,90,1
8,Robin Koch,D,2,Aug 13,LEE,@SOU,T 2-2,7.8,90,1
9,Robin Koch,D,2,Aug 6,LEE,WOL,W 2-1,10.15,90,1
0,Diego Llorente,D,2,Oct 20,LEE,@LEI,L 0-2,8.75,90,1
1,Diego Llorente,D,2,Sep 3,LEE,@BRF,L 2-5,3.7,90,1
2,Diego Llorente,D,2,Aug 30,LEE,EVE,T 1-1,7.05,90,1
3,Diego Llorente,D,2,Aug 27,LEE,@BHA,L 0-1,14.1,90,1
4,Diego Llorente,D,2,Aug 21,LEE,CHE,W 3-0,17.3,90,1
5,Diego Llorente,D,2,Aug 13,LEE,@SOU,T 2-2,9.9,90,1
6,Diego Llorente,D,2,Aug 6,LEE,WOL,W 2-1,11.4,90,1
0,Liam Cooper,D,2,Oct 20,LEE,@LEI,L 0-2,11.45,45,0
1,Liam Cooper,D,2,Oct 16,LEE,ARS,L 0-1,11.6,90,1
2,Liam Cooper,D,2,Oct 9,LEE,@CRY,L 1-2,8.45,90,1
3,Liam Cooper,D,2,Oct 2,LEE,AVL,T 0-0,13.8,90,1
0,Pascal Struijk,D,2,Oct 16,LEE,ARS,L 0-1,11.0,90,1
1,Pascal Struijk,D,2,Oct 9,LEE,@CRY,L 1-2,19.75,90,1
2,Pascal Struijk,D,2,Oct 2,LEE,AVL,T 0-0,14.35,90,1
3,Pascal Struijk,D,2,Sep 3,LEE,@BRF,L 2-5,5.8,90,1
4,Pascal Struijk,D,2,Aug 30,LEE,EVE,T 1-1,15.7,90,1
5,Pascal Struijk,D,2,Aug 27,LEE,@BHA,L 0-1,7.1,90,1
6,Pascal Struijk,D,2,Aug 21,LEE,CHE,W 3-0,18.7,90,1
7,Pascal Struijk,D,2,Aug 13,LEE,@SOU,T 2-2,20.45,90,1
8,Pascal Struijk,D,2,Aug 6,LEE,WOL,W 2-1,12.8,90,1
0,Junior Firpo,D,2,Oct 20,LEE,@LEI,L 0-2,6.25,81,1
1,Junior Firpo,D,2,Oct 2,LEE,AVL,T 0-0,4.85,31,0
0,Adam Forshaw,M,4,Aug 27,LEE,@BHA,L 0-1,4.5,15,0
1,Adam Forshaw,M,4,Aug 21,LEE,CHE,W 3-0,1.25,28,0
2,Adam Forshaw,M,4,Aug 13,LEE,@SOU,T 2-2,0.75,1,0
0,Marc Roca,M,4,Oct 20,LEE,@LEI,L 0-2,4.0,45,1
1,Marc Roca,M,4,Oct 16,LEE,ARS,L 0-1,8.75,83,1
2,Marc Roca,M,4,Oct 9,LEE,@CRY,L 1-2,6.5,83,1
