,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Alisson,G,1,Oct 1,LIV,BHA,T 3-3,6.5,90,1
1,Alisson,G,1,Sep 3,LIV,@EVE,T 0-0,20.0,90,1
2,Alisson,G,1,Aug 31,LIV,NEW,W 2-1,4.5,90,1
3,Alisson,G,1,Aug 27,LIV,BOU,W 9-0,15.5,90,1
4,Alisson,G,1,Aug 22,LIV,@MUN,L 1-2,7.5,90,1
5,Alisson,G,1,Aug 15,LIV,CRY,T 1-1,6.0,90,1
6,Alisson,G,1,Aug 6,LIV,@FUL,T 2-2,4.0,90,1
0,Trent Alexander-Arnold,D,2,Oct 1,LIV,BHA,T 3-3,7.05,90,1
1,Trent Alexander-Arnold,D,2,Sep 3,LIV,@EVE,T 0-0,6.1,58,1
2,Trent Alexander-Arnold,D,2,Aug 31,LIV,NEW,W 2-1,7.25,70,1
3,Trent Alexander-Arnold,D,2,Aug 27,LIV,BOU,W 9-0,35.0,82,1
4,Trent Alexander-Arnold,D,2,Aug 22,LIV,@MUN,L 1-2,9.0,90,1
5,Trent Alexander-Arnold,D,2,Aug 15,LIV,CRY,T 1-1,13.1,90,1
6,Trent Alexander-Arnold,D,2,Aug 6,LIV,@FUL,T 2-2,8.7,90,1
0,Joseph Gomez,D,2,Sep 3,LIV,@EVE,T 0-0,23.05,90,1
1,Joseph Gomez,D,2,Aug 31,LIV,NEW,W 2-1,10.0,90,1
2,Joseph Gomez,D,2,Aug 27,LIV,BOU,W 9-0,18.75,90,1
3,Joseph Gomez,D,2,Aug 22,LIV,@MUN,L 1-2,10.2,90,1
4,Joseph Gomez,D,2,Aug 15,LIV,CRY,T 1-1,3.35,26,0
0,Stefan Bajcetic,D,2,Aug 27,LIV,BOU,W 9-0,2.75,19,0
0,Joel Matip,D,2,Oct 1,LIV,BHA,T 3-3,6.75,90,1
1,Joel Matip,D,2,Sep 3,LIV,@EVE,T 0-0,1.0,9,0
2,Joel Matip,D,2,Aug 6,LIV,@FUL,T 2-2,11.15,90,1
0,Nathaniel Phillips,D,2,Aug 15,LIV,CRY,T 1-1,10.1,62,1
0,Virgil van Dijk,D,2,Oct 1,LIV,BHA,T 3-3,7.8,90,1
1,Virgil van Dijk,D,2,Sep 3,LIV,@EVE,T 0-0,15.5,90,1
2,Virgil van Dijk,D,2,Aug 31,LIV,NEW,W 2-1,9.3,90,1
3,Virgil van Dijk,D,2,Aug 27,LIV,BOU,W 9-0,28.35,90,1
4,Virgil van Dijk,D,2,Aug 22,LIV,@MUN,L 1-2,10.2,90,1
5,Virgil van Dijk,D,2,Aug 15,LIV,CRY,T 1-1,6.8,90,1
6,Virgil van Dijk,D,2,Aug 6,LIV,@FUL,T 2-2,7.1,90,1
0,Andrew Robertson,D,2,Sep 3,LIV,@EVE,T 0-0,5.1,30,0
1,Andrew Robertson,D,2,Aug 31,LIV,NEW,W 2-1,7.75,70,1
2,Andrew Robertson,D,2,Aug 27,LIV,BOU,W 9-0,18.75,68,1
3,Andrew Robertson,D,2,Aug 22,LIV,@MUN,L 1-2,4.75,84,1
4,Andrew Robertson,D,2,Aug 15,LIV,CRY,T 1-1,5.75,62,1
5,Andrew Robertson,D,2,Aug 6,LIV,@FUL,T 2-2,6.1,90,1
0,Konstantinos Tsimikas,D,2,Oct 1,LIV,BHA,T 3-3,3.6,58,1
1,Konstantinos Tsimikas,D,2,Sep 3,LIV,@EVE,T 0-0,11.6,58,1
2,Konstantinos Tsimikas,D,2,Aug 31,LIV,NEW,W 2-1,3.5,18,0
3,Konstantinos Tsimikas,D,2,Aug 27,LIV,BOU,W 9-0,15.25,20,0
4,Konstantinos Tsimikas,D,2,Aug 22,LIV,@MUN,L 1-2,3.0,4,0
5,Konstantinos Tsimikas,D,2,Aug 15,LIV,CRY,T 1-1,1.5,26,0
0,Fabinho,M,4,Oct 1,LIV,BHA,T 3-3,10.35,90,1
1,Fabinho,M,4,Sep 3,LIV,@EVE,T 0-0,7.55,90,1
2,Fabinho,M,4,Aug 31,LIV,NEW,W 2-1,4.6,90,1
3,Fabinho,M,4,Aug 27,LIV,BOU,W 9-0,11.25,90,1
4,Fabinho,M,4,Aug 22,LIV,@MUN,L 1-2,3.0,30,0
5,Fabinho,M,4,Aug 15,LIV,CRY,T 1-1,11.35,90,1
6,Fabinho,M,4,Aug 6,LIV,@FUL,T 2-2,6.75,58,1
0,Jordan Henderson,M,4,Oct 1,LIV,BHA,T 3-3,6.0,58,1
1,Jordan Henderson,M,4,Aug 31,LIV,NEW,W 2-1,5.25,70,1
2,Jordan Henderson,M,4,Aug 27,LIV,BOU,W 9-0,9.35,69,1
3,Jordan Henderson,M,4,Aug 22,LIV,@MUN,L 1-2,7.75,58,1
4,Jordan Henderson,M,4,Aug 15,LIV,CRY,T 1-1,5.25,26,0
5,Jordan Henderson,M,4,Aug 6,LIV,@FUL,T 2-2,8.35,90,1
0,James Milner,M,4,Oct 1,LIV,BHA,T 3-3,1.25,30,0
1,James Milner,M,4,Sep 3,LIV,@EVE,T 0-0,5.25,30,0
2,James Milner,M,4,Aug 31,LIV,NEW,W 2-1,6.25,18,0
3,James Milner,M,4,Aug 27,LIV,BOU,W 9-0,2.75,20,0
4,James Milner,M,4,Aug 22,LIV,@MUN,L 1-2,7.85,72,1
5,James Milner,M,4,Aug 15,LIV,CRY,T 1-1,15.1,62,1
6,James Milner,M,4,Aug 6,LIV,@FUL,T 2-2,1.75,30,0
0,Thiago,M,4,Oct 1,LIV,BHA,T 3-3,9.95,88,1
1,Thiago,M,4,Aug 6,LIV,@FUL,T 2-2,7.0,50,1
0,Harvey Elliott,M,4,Oct 1,LIV,BHA,T 3-3,3.25,30,0
1,Harvey Elliott,M,4,Sep 3,LIV,@EVE,T 0-0,6.5,79,1
2,Harvey Elliott,M,4,Aug 31,LIV,NEW,W 2-1,11.0,90,1
3,Harvey Elliott,M,4,Aug 27,LIV,BOU,W 9-0,15.0,45,1
4,Harvey Elliott,M,4,Aug 22,LIV,@MUN,L 1-2,6.25,90,1
5,Harvey Elliott,M,4,Aug 15,LIV,CRY,T 1-1,13.5,78,1
6,Harvey Elliott,M,4,Aug 6,LIV,@FUL,T 2-2,4.0,38,0
0,Fabio Carvalho,M,4,Oct 1,LIV,BHA,T 3-3,3.25,45,1
1,Fabio Carvalho,M,4,Sep 3,LIV,@EVE,T 0-0,2.5,45,1
2,Fabio Carvalho,M,4,Aug 31,LIV,NEW,W 2-1,12.25,18,0
3,Fabio Carvalho,M,4,Aug 27,LIV,BOU,W 9-0,13.5,45,0
4,Fabio Carvalho,M,4,Aug 22,LIV,@MUN,L 1-2,9.25,16,0
5,Fabio Carvalho,M,4,Aug 15,LIV,CRY,T 1-1,0.75,10,0
6,Fabio Carvalho,M,4,Aug 6,LIV,@FUL,T 2-2,3.75,11,0
0,Mohamed Salah,F,6,Oct 1,LIV,BHA,T 3-3,13.35,90,1
1,Mohamed Salah,F,6,Sep 3,LIV,@EVE,T 0-0,10.0,90,1
2,Mohamed Salah,F,6,Aug 31,LIV,NEW,W 2-1,23.0,90,1
3,Mohamed Salah,F,6,Aug 27,LIV,BOU,W 9-0,6.5,90,1
4,Mohamed Salah,F,6,Aug 22,LIV,@MUN,L 1-2,17.5,90,1
5,Mohamed Salah,F,6,Aug 15,LIV,CRY,T 1-1,14.25,90,1
6,Mohamed Salah,F,6,Aug 6,LIV,@FUL,T 2-2,24.5,90,1
0,Roberto Firmino,F,6,Oct 1,LIV,BHA,T 3-3,26.25,74,1
1,Roberto Firmino,F,6,Sep 3,LIV,@EVE,T 0-0,10.25,45,0
2,Roberto Firmino,F,6,Aug 31,LIV,NEW,W 2-1,17.75,90,1
3,Roberto Firmino,F,6,Aug 27,LIV,BOU,W 9-0,50.5,68,1
4,Roberto Firmino,F,6,Aug 22,LIV,@MUN,L 1-2,9.35,90,1
5,Roberto Firmino,F,6,Aug 6,LIV,@FUL,T 2-2,4.0,50,1
0,Darwin Nunez,F,6,Oct 1,LIV,BHA,T 3-3,1.0,1,0
1,Darwin Nunez,F,6,Sep 3,LIV,@EVE,T 0-0,8.75,79,1
2,Darwin Nunez,F,6,Aug 15,LIV,CRY,T 1-1,-1.5,56,1
3,Darwin Nunez,F,6,Aug 6,LIV,@FUL,T 2-2,23.25,38,0
0,Luis Diaz,F,6,Oct 1,LIV,BHA,T 3-3,9.5,45,0
1,Luis Diaz,F,6,Sep 3,LIV,@EVE,T 0-0,5.75,90,1
2,Luis Diaz,F,6,Aug 31,LIV,NEW,W 2-1,10.75,90,1
3,Luis Diaz,F,6,Aug 27,LIV,BOU,W 9-0,29.0,90,1
4,Luis Diaz,F,6,Aug 22,LIV,@MUN,L 1-2,5.25,90,1
5,Luis Diaz,F,6,Aug 15,LIV,CRY,T 1-1,25.75,90,1
6,Luis Diaz,F,6,Aug 6,LIV,@FUL,T 2-2,2.0,77,1
0,Diogo Jota,F,6,Oct 1,LIV,BHA,T 3-3,1.75,14,0
1,Diogo Jota,F,6,Sep 3,LIV,@EVE,T 0-0,4.5,9,0
