,player,position,position_id,date,team,opp,score,fpts,min,starts
0,David de Gea,G,1,Jan 22,MUN,@ARS,L 2-3,7.0,90,1
1,David de Gea,G,1,Jan 18,MUN,@CRY,T 1-1,9.0,90,1
2,David de Gea,G,1,Jan 14,MUN,MCI,W 2-1,3.0,90,1
3,David de Gea,G,1,Jan 3,MUN,BOU,W 3-0,18.5,90,1
4,David de Gea,G,1,Dec 31,MUN,@WOL,W 1-0,16.5,90,1
5,David de Gea,G,1,Dec 27,MUN,NOT,W 3-0,16.5,90,1
6,David de Gea,G,1,Nov 13,MUN,@FUL,W 2-1,12.5,90,1
7,David de Gea,G,1,Nov 6,MUN,@AVL,L 1-3,3.5,90,1
8,David de Gea,G,1,Oct 30,MUN,WHU,W 1-0,19.0,90,1
9,David de Gea,G,1,Oct 22,MUN,@CHE,T 1-1,4.5,90,1
10,David de Gea,G,1,Oct 19,MUN,TOT,W 2-0,16.0,90,1
11,David de Gea,G,1,Oct 16,MUN,NEW,T 0-0,15.5,90,1
12,David de Gea,G,1,Oct 9,MUN,@EVE,W 2-1,5.0,90,1
13,David de Gea,G,1,Oct 2,MUN,@MCI,L 3-6,5.0,90,1
14,David de Gea,G,1,Sep 4,MUN,ARS,W 3-1,8.5,90,1
15,David de Gea,G,1,Sep 1,MUN,@LEI,W 1-0,16.0,90,1
16,David de Gea,G,1,Aug 27,MUN,@SOU,W 1-0,18.5,90,1
17,David de Gea,G,1,Aug 22,MUN,LIV,W 2-1,12.0,90,1
18,David de Gea,G,1,Aug 13,MUN,@BRF,L 0-4,6.5,90,1
19,David de Gea,G,1,Aug 7,MUN,BHA,L 1-2,5.5,90,1
0,Diogo Dalot,D,2,Jan 3,MUN,BOU,W 3-0,5.0,20,0
1,Diogo Dalot,D,2,Nov 6,MUN,@AVL,L 1-3,8.25,90,1
2,Diogo Dalot,D,2,Oct 30,MUN,WHU,W 1-0,25.75,90,1
3,Diogo Dalot,D,2,Oct 22,MUN,@CHE,T 1-1,10.25,90,1
4,Diogo Dalot,D,2,Oct 19,MUN,TOT,W 2-0,19.85,90,1
5,Diogo Dalot,D,2,Oct 16,MUN,NEW,T 0-0,18.7,90,1
6,Diogo Dalot,D,2,Oct 9,MUN,@EVE,W 2-1,8.8,90,1
7,Diogo Dalot,D,2,Oct 2,MUN,@MCI,L 3-6,4.0,90,1
8,Diogo Dalot,D,2,Sep 4,MUN,ARS,W 3-1,8.3,90,1
9,Diogo Dalot,D,2,Sep 1,MUN,@LEI,W 1-0,18.85,90,1
10,Diogo Dalot,D,2,Aug 27,MUN,@SOU,W 1-0,26.8,90,1
11,Diogo Dalot,D,2,Aug 22,MUN,LIV,W 2-1,10.65,85,1
12,Diogo Dalot,D,2,Aug 13,MUN,@BRF,L 0-4,8.05,90,1
13,Diogo Dalot,D,2,Aug 7,MUN,BHA,L 1-2,13.1,90,1
0,Aaron Wan-Bissaka,D,2,Jan 22,MUN,@ARS,L 2-3,9.35,90,1
1,Aaron Wan-Bissaka,D,2,Jan 18,MUN,@CRY,T 1-1,10.7,90,1
2,Aaron Wan-Bissaka,D,2,Jan 14,MUN,MCI,W 2-1,11.35,90,1
3,Aaron Wan-Bissaka,D,2,Jan 3,MUN,BOU,W 3-0,15.1,68,1
4,Aaron Wan-Bissaka,D,2,Dec 31,MUN,@WOL,W 1-0,18.2,90,1
5,Aaron Wan-Bissaka,D,2,Dec 27,MUN,NOT,W 3-0,18.0,90,1
6,Aaron Wan-Bissaka,D,2,Aug 22,MUN,LIV,W 2-1,1.7,3,0
0,Harry Maguire,D,2,Jan 14,MUN,MCI,W 2-1,0.85,1,0
1,Harry Maguire,D,2,Jan 3,MUN,BOU,W 3-0,17.55,90,1
2,Harry Maguire,D,2,Dec 31,MUN,@WOL,W 1-0,0.7,1,0
3,Harry Maguire,D,2,Dec 27,MUN,NOT,W 3-0,2.35,12,0
4,Harry Maguire,D,2,Oct 30,MUN,WHU,W 1-0,14.55,90,1
5,Harry Maguire,D,2,Sep 4,MUN,ARS,W 3-1,-0.8,9,0
6,Harry Maguire,D,2,Aug 13,MUN,@BRF,L 0-4,5.95,90,1
7,Harry Maguire,D,2,Aug 7,MUN,BHA,L 1-2,8.95,90,1
0,Raphael Varane,D,2,Jan 22,MUN,@ARS,L 2-3,7.05,88,1
1,Raphael Varane,D,2,Jan 18,MUN,@CRY,T 1-1,8.7,90,1
2,Raphael Varane,D,2,Jan 14,MUN,MCI,W 2-1,5.75,90,1
3,Raphael Varane,D,2,Dec 31,MUN,@WOL,W 1-0,16.7,90,1
4,Raphael Varane,D,2,Dec 27,MUN,NOT,W 3-0,13.9,76,1
5,Raphael Varane,D,2,Oct 22,MUN,@CHE,T 1-1,5.2,59,1
6,Raphael Varane,D,2,Oct 19,MUN,TOT,W 2-0,16.5,90,1
7,Raphael Varane,D,2,Oct 16,MUN,NEW,T 0-0,13.65,90,1
8,Raphael Varane,D,2,Oct 9,MUN,@EVE,W 2-1,1.7,1,0
9,Raphael Varane,D,2,Oct 2,MUN,@MCI,L 3-6,0.85,39,1
