,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Nick Pope,G,1,Sep 17,NEW,BOU,T 1-1,6.0,90,1
1,Nick Pope,G,1,Sep 3,NEW,CRY,T 0-0,27.0,90,1
2,Nick Pope,G,1,Aug 31,NEW,@LIV,L 1-2,10.5,90,1
3,Nick Pope,G,1,Aug 28,NEW,@WOL,T 1-1,8.5,90,1
4,Nick Pope,G,1,Aug 21,NEW,MCI,T 3-3,13.0,90,1
5,Nick Pope,G,1,Aug 13,NEW,@BHA,T 0-0,20.0,90,1
6,Nick Pope,G,1,Aug 6,NEW,NOT,W 2-0,12.5,90,1
0,Kieran Trippier,D,2,Sep 17,NEW,BOU,T 1-1,13.25,90,1
1,Kieran Trippier,D,2,Sep 3,NEW,CRY,T 0-0,25.2,90,1
2,Kieran Trippier,D,2,Aug 31,NEW,@LIV,L 1-2,6.6,90,1
3,Kieran Trippier,D,2,Aug 28,NEW,@WOL,T 1-1,10.7,90,1
4,Kieran Trippier,D,2,Aug 21,NEW,MCI,T 3-3,14.95,90,1
5,Kieran Trippier,D,2,Aug 13,NEW,@BHA,T 0-0,18.3,90,1
6,Kieran Trippier,D,2,Aug 6,NEW,NOT,W 2-0,23.35,90,1
0,Emil Krafth,D,2,Aug 21,NEW,MCI,T 3-3,0.5,1,0
0,Fabian Schar,D,2,Sep 17,NEW,BOU,T 1-1,9.3,90,1
1,Fabian Schar,D,2,Sep 3,NEW,CRY,T 0-0,20.4,90,1
2,Fabian Schar,D,2,Aug 28,NEW,@WOL,T 1-1,7.35,90,1
3,Fabian Schar,D,2,Aug 21,NEW,MCI,T 3-3,9.3,90,1
4,Fabian Schar,D,2,Aug 13,NEW,@BHA,T 0-0,14.05,90,1
5,Fabian Schar,D,2,Aug 6,NEW,NOT,W 2-0,30.4,90,1
0,Jamaal Lascelles,D,2,Aug 31,NEW,@LIV,L 1-2,2.45,90,1
0,Sven Botman,D,2,Sep 3,NEW,CRY,T 0-0,15.95,90,1
1,Sven Botman,D,2,Aug 28,NEW,@WOL,T 1-1,6.9,90,1
2,Sven Botman,D,2,Aug 21,NEW,MCI,T 3-3,6.55,90,1
3,Sven Botman,D,2,Aug 13,NEW,@BHA,T 0-0,14.9,90,1
4,Sven Botman,D,2,Aug 6,NEW,NOT,W 2-0,0.5,1,0
0,Dan Burn,D,2,Sep 17,NEW,BOU,T 1-1,6.55,90,1
1,Dan Burn,D,2,Sep 3,NEW,CRY,T 0-0,2.35,10,0
2,Dan Burn,D,2,Aug 31,NEW,@LIV,L 1-2,11.05,90,1
3,Dan Burn,D,2,Aug 28,NEW,@WOL,T 1-1,5.6,64,1
4,Dan Burn,D,2,Aug 21,NEW,MCI,T 3-3,7.05,88,1
5,Dan Burn,D,2,Aug 13,NEW,@BHA,T 0-0,18.1,90,1
6,Dan Burn,D,2,Aug 6,NEW,NOT,W 2-0,16.5,90,1
0,Matt Targett,D,2,Sep 17,NEW,BOU,T 1-1,6.45,90,1
1,Matt Targett,D,2,Sep 3,NEW,CRY,T 0-0,15.75,78,1
2,Matt Targett,D,2,Aug 31,NEW,@LIV,L 1-2,14.0,90,1
3,Matt Targett,D,2,Aug 28,NEW,@WOL,T 1-1,2.85,24,0
4,Matt Targett,D,2,Aug 6,NEW,NOT,W 2-0,20.35,90,1
0,Matt Ritchie,"D,M",3,Aug 28,NEW,@WOL,T 1-1,0.5,1,0
0,Sean Longstaff,M,4,Sep 17,NEW,BOU,T 1-1,2.75,17,0
1,Sean Longstaff,M,4,Sep 3,NEW,CRY,T 0-0,8.95,90,1
2,Sean Longstaff,M,4,Aug 31,NEW,@LIV,L 1-2,16.8,90,1
3,Sean Longstaff,M,4,Aug 28,NEW,@WOL,T 1-1,4.85,90,1
4,Sean Longstaff,M,4,Aug 21,NEW,MCI,T 3-3,1.75,19,0
5,Sean Longstaff,M,4,Aug 13,NEW,@BHA,T 0-0,1.25,13,0
6,Sean Longstaff,M,4,Aug 6,NEW,NOT,W 2-0,3.0,9,0
0,Joe Willock,M,4,Sep 17,NEW,BOU,T 1-1,9.25,90,1
1,Joe Willock,M,4,Sep 3,NEW,CRY,T 0-0,9.25,90,1
2,Joe Willock,M,4,Aug 31,NEW,@LIV,L 1-2,11.4,90,1
3,Joe Willock,M,4,Aug 28,NEW,@WOL,T 1-1,10.0,83,1
4,Joe Willock,M,4,Aug 21,NEW,MCI,T 3-3,8.75,69,1
5,Joe Willock,M,4,Aug 13,NEW,@BHA,T 0-0,10.8,75,1
6,Joe Willock,M,4,Aug 6,NEW,NOT,W 2-0,8.75,79,1
0,Elliot Anderson,M,4,Sep 3,NEW,CRY,T 0-0,4.5,19,0
1,Elliot Anderson,M,4,Aug 31,NEW,@LIV,L 1-2,2.25,5,0
2,Elliot Anderson,M,4,Aug 28,NEW,@WOL,T 1-1,5.0,5,0
0,Bruno Guimaraes,M,4,Sep 17,NEW,BOU,T 1-1,8.75,71,1
1,Bruno Guimaraes,M,4,Aug 21,NEW,MCI,T 3-3,6.95,90,1
2,Bruno Guimaraes,M,4,Aug 13,NEW,@BHA,T 0-0,11.1,90,1
3,Bruno Guimaraes,M,4,Aug 6,NEW,NOT,W 2-0,16.5,88,1
0,Miguel Almiron,M,4,Sep 17,NEW,BOU,T 1-1,6.5,88,1
1,Miguel Almiron,M,4,Sep 3,NEW,CRY,T 0-0,7.75,69,1
2,Miguel Almiron,M,4,Aug 31,NEW,@LIV,L 1-2,5.6,83,1
3,Miguel Almiron,M,4,Aug 28,NEW,@WOL,T 1-1,6.25,82,1
4,Miguel Almiron,M,4,Aug 21,NEW,MCI,T 3-3,16.0,82,1
5,Miguel Almiron,M,4,Aug 13,NEW,@BHA,T 0-0,10.7,90,1
6,Miguel Almiron,M,4,Aug 6,NEW,NOT,W 2-0,11.85,80,1
0,Ryan Fraser,M,4,Sep 17,NEW,BOU,T 1-1,6.0,70,1
1,Ryan Fraser,M,4,Sep 3,NEW,CRY,T 0-0,4.25,69,1
2,Ryan Fraser,M,4,Aug 31,NEW,@LIV,L 1-2,4.7,63,1
3,Ryan Fraser,M,4,Aug 28,NEW,@WOL,T 1-1,5.25,24,0
4,Ryan Fraser,M,4,Aug 6,NEW,NOT,W 2-0,2.25,8,0
0,Jacob Murphy,M,4,Sep 17,NEW,BOU,T 1-1,1.0,18,0
1,Jacob Murphy,M,4,Sep 3,NEW,CRY,T 0-0,1.6,19,0
2,Jacob Murphy,M,4,Aug 31,NEW,@LIV,L 1-2,1.0,25,0
3,Jacob Murphy,M,4,Aug 28,NEW,@WOL,T 1-1,1.0,6,0
4,Jacob Murphy,M,4,Aug 21,NEW,MCI,T 3-3,1.0,6,0
5,Jacob Murphy,M,4,Aug 13,NEW,@BHA,T 0-0,2.25,14,0
6,Jacob Murphy,M,4,Aug 6,NEW,NOT,W 2-0,0.5,1,0
0,Joelinton,"M,F",5,Sep 17,NEW,BOU,T 1-1,6.1,90,1
1,Joelinton,"M,F",5,Sep 3,NEW,CRY,T 0-0,13.95,90,1
2,Joelinton,"M,F",5,Aug 31,NEW,@LIV,L 1-2,13.8,90,1
3,Joelinton,"M,F",5,Aug 28,NEW,@WOL,T 1-1,16.1,90,1
4,Joelinton,"M,F",5,Aug 21,NEW,MCI,T 3-3,11.95,90,1
